,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년12월_계_총인구수,"62,542","7,151","6,229","7,855","10,704","3,749","1,686","3,005","8,008","4,301","6,761","3,093"
2020년12월_계_연령구간인구수,"62,542","7,151","6,229","7,855","10,704","3,749","1,686","3,005","8,008","4,301","6,761","3,093"
2020년12월_계_0~9세,"3,742",465,258,363,846,139,93,84,479,320,585,110
2020년12월_계_10~19세,"5,029",608,491,619,914,218,111,174,693,431,570,200
2020년12월_계_20~29세,"6,640",782,720,806,"1,205",400,173,276,832,503,619,324
2020년12월_계_30~39세,"6,863",808,549,766,"1,452",363,167,221,891,549,851,246
2020년12월_계_40~49세,"9,993","1,216",898,"1,224","1,807",519,260,386,"1,347",746,"1,167",423
2020년12월_계_50~59세,"10,171","1,190","1,084","1,290","1,623",688,254,507,"1,287",755,"1,035",458
2020년12월_계_60~69세,"10,028","1,079","1,076","1,361","1,511",702,297,624,"1,230",574,986,588
2020년12월_계_70~79세,"6,710",642,772,954,972,454,212,445,846,297,623,493
2020년12월_계_80~89세,"2,846",302,315,415,319,241,102,246,338,96,265,207
2020년12월_계_90~99세,447,49,55,50,44,25,16,36,58,25,54,35
2020년12월_계_100세 이상,73,10,11,7,11,0,1,6,7,5,6,9
2020년12월_남_총인구수,"31,575","3,678","3,154","3,895","5,290","1,921",832,"1,539","4,097","2,220","3,387","1,562"
2020년12월_남_연령구간인구수,"31,575","3,678","3,154","3,895","5,290","1,921",832,"1,539","4,097","2,220","3,387","1,562"
2020년12월_남_0~9세,"1,964",251,144,189,422,72,48,50,263,160,307,58
2020년12월_남_10~19세,"2,608",316,255,304,484,106,51,82,357,214,319,120
2020년12월_남_20~29세,"3,616",437,391,430,638,226,99,169,487,253,318,168
2020년12월_남_30~39세,"3,655",423,292,422,735,202,92,126,488,314,428,133
2020년12월_남_40~49세,"5,394",659,470,680,940,298,142,228,702,394,636,245
2020년12월_남_50~59세,"5,415",662,594,676,791,377,125,289,699,409,539,254
2020년12월_남_60~69세,"4,823",543,521,640,696,360,152,290,583,288,466,284
2020년12월_남_70~79세,"2,964",277,352,401,451,190,88,202,370,144,279,210
2020년12월_남_80~89세,"1,003",94,121,140,119,80,30,92,130,35,88,74
2020년12월_남_90~99세,110,13,12,12,9,10,5,9,16,6,7,11
2020년12월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년12월_여_총인구수,"30,967","3,473","3,075","3,960","5,414","1,828",854,"1,466","3,911","2,081","3,374","1,531"
2020년12월_여_연령구간인구수,"30,967","3,473","3,075","3,960","5,414","1,828",854,"1,466","3,911","2,081","3,374","1,531"
2020년12월_여_0~9세,"1,778",214,114,174,424,67,45,34,216,160,278,52
2020년12월_여_10~19세,"2,421",292,236,315,430,112,60,92,336,217,251,80
2020년12월_여_20~29세,"3,024",345,329,376,567,174,74,107,345,250,301,156
2020년12월_여_30~39세,"3,208",385,257,344,717,161,75,95,403,235,423,113
2020년12월_여_40~49세,"4,599",557,428,544,867,221,118,158,645,352,531,178
2020년12월_여_50~59세,"4,756",528,490,614,832,311,129,218,588,346,496,204
2020년12월_여_60~69세,"5,205",536,555,721,815,342,145,334,647,286,520,304
2020년12월_여_70~79세,"3,746",365,420,553,521,264,124,243,476,153,344,283
2020년12월_여_80~89세,"1,843",208,194,275,200,161,72,154,208,61,177,133
2020년12월_여_90~99세,337,36,43,38,35,15,11,27,42,19,47,24
2020년12월_여_100세 이상,50,7,9,6,6,0,1,4,5,2,6,4
