,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년12월_계_총인구수,"100,102","38,232","8,520","28,834","3,500","3,432","2,919","2,311","2,103","3,252","3,533","3,466"
2020년12월_계_연령구간인구수,"100,102","38,232","8,520","28,834","3,500","3,432","2,919","2,311","2,103","3,252","3,533","3,466"
2020년12월_계_0~9세,"7,716","2,458",282,"4,380",96,125,74,40,23,78,74,86
2020년12월_계_10~19세,"9,606","4,341",487,"3,713",126,224,115,69,65,144,145,177
2020년12월_계_20~29세,"9,730","4,874",591,"2,784",236,233,147,127,117,207,202,212
2020년12월_계_30~39세,"10,481","3,583",477,"5,147",206,183,143,97,94,150,204,197
2020년12월_계_40~49세,"14,480","6,107",810,"5,452",324,358,229,168,127,286,272,347
2020년12월_계_50~59세,"15,925","6,783","1,466","3,460",644,586,467,385,359,552,581,642
2020년12월_계_60~69세,"14,759","5,164","1,841","2,115",784,710,635,539,530,787,849,805
2020년12월_계_70~79세,"10,058","3,100","1,564","1,062",582,535,565,461,418,596,620,555
2020년12월_계_80~89세,"6,405","1,587",862,633,437,431,494,354,323,385,505,394
2020년12월_계_90~99세,881,217,119,86,64,45,48,70,47,60,76,49
2020년12월_계_100세 이상,61,18,21,2,1,2,2,1,0,7,5,2
2020년12월_남_총인구수,"49,796","18,957","4,173","14,445","1,778","1,726","1,400","1,169","1,033","1,597","1,774","1,744"
2020년12월_남_연령구간인구수,"49,796","18,957","4,173","14,445","1,778","1,726","1,400","1,169","1,033","1,597","1,774","1,744"
2020년12월_남_0~9세,"4,012","1,265",145,"2,280",54,70,39,21,11,36,45,46
2020년12월_남_10~19세,"4,917","2,221",268,"1,901",69,113,57,35,27,63,78,85
2020년12월_남_20~29세,"5,354","2,679",351,"1,401",142,159,86,82,81,125,121,127
2020년12월_남_30~39세,"5,448","1,879",269,"2,535",130,104,86,66,63,86,127,103
2020년12월_남_40~49세,"7,554","2,987",476,"2,770",198,197,144,110,86,191,181,214
2020년12월_남_50~59세,"8,318","3,474",752,"1,817",358,315,256,216,187,281,312,350
2020년12월_남_60~69세,"7,240","2,460",880,"1,022",406,370,308,276,258,397,434,429
2020년12월_남_70~79세,"4,474","1,374",682,492,252,247,238,216,188,266,266,253
2020년12월_남_80~89세,"2,235",551,307,212,150,143,173,129,125,136,183,126
2020년12월_남_90~99세,225,60,37,15,18,8,12,18,7,14,25,11
2020년12월_남_100세 이상,19,7,6,0,1,0,1,0,0,2,2,0
2020년12월_여_총인구수,"50,306","19,275","4,347","14,389","1,722","1,706","1,519","1,142","1,070","1,655","1,759","1,722"
2020년12월_여_연령구간인구수,"50,306","19,275","4,347","14,389","1,722","1,706","1,519","1,142","1,070","1,655","1,759","1,722"
2020년12월_여_0~9세,"3,704","1,193",137,"2,100",42,55,35,19,12,42,29,40
2020년12월_여_10~19세,"4,689","2,120",219,"1,812",57,111,58,34,38,81,67,92
2020년12월_여_20~29세,"4,376","2,195",240,"1,383",94,74,61,45,36,82,81,85
2020년12월_여_30~39세,"5,033","1,704",208,"2,612",76,79,57,31,31,64,77,94
2020년12월_여_40~49세,"6,926","3,120",334,"2,682",126,161,85,58,41,95,91,133
2020년12월_여_50~59세,"7,607","3,309",714,"1,643",286,271,211,169,172,271,269,292
2020년12월_여_60~69세,"7,519","2,704",961,"1,093",378,340,327,263,272,390,415,376
2020년12월_여_70~79세,"5,584","1,726",882,570,330,288,327,245,230,330,354,302
2020년12월_여_80~89세,"4,170","1,036",555,421,287,288,321,225,198,249,322,268
2020년12월_여_90~99세,656,157,82,71,46,37,36,52,40,46,51,38
2020년12월_여_100세 이상,42,11,15,2,0,2,1,1,0,5,3,2
