카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년02월_계_총인구수,"269,201","3,255","4,814","3,509","2,742","2,640","5,177","3,119","3,012","2,278","3,624","3,175","2,456","5,945","7,529","5,911","2,919","12,802","21,127","7,703","5,550","2,985","55,999","13,251","24,311","33,244","17,066","13,058"
2020년02월_계_연령구간인구수,"269,201","3,255","4,814","3,509","2,742","2,640","5,177","3,119","3,012","2,278","3,624","3,175","2,456","5,945","7,529","5,911","2,919","12,802","21,127","7,703","5,550","2,985","55,999","13,251","24,311","33,244","17,066","13,058"
2020년02월_계_0~9세,"22,151",98,580,186,76,80,181,86,105,58,114,137,128,230,409,192,77,"1,101","2,368",427,354,167,"7,173",727,"1,922","2,968","1,343",864
2020년02월_계_10~19세,"27,532",134,385,362,119,111,248,170,153,110,201,151,147,440,680,365,107,"1,161","1,978",533,483,267,"7,771","1,276","3,054","4,461","1,695",970
2020년02월_계_20~29세,"29,668",246,425,254,248,185,373,289,263,149,376,262,182,523,816,614,202,"1,396","2,424",755,585,326,"6,602","1,709","3,012","4,207","1,847","1,398"
2020년02월_계_30~39세,"32,117",213,721,235,153,174,402,196,209,122,294,267,239,524,663,447,241,"1,725","3,571",808,594,264,"8,221","1,434","2,376","3,955","2,286","1,783"
2020년02월_계_40~49세,"44,369",330,746,507,276,248,557,330,313,249,553,404,287,791,"1,032",665,343,"1,988","3,442","1,138",737,394,"11,031","1,925","4,063","6,413","3,238","2,369"
2020년02월_계_50~59세,"44,178",606,713,565,514,476,868,639,619,423,795,483,390,"1,039","1,173",997,502,"2,042","3,012","1,290","1,020",514,"7,769","2,501","4,184","5,513","3,117","2,414"
2020년02월_계_60~69세,"35,924",702,597,596,594,575,"1,125",651,634,494,702,616,496,"1,158","1,338","1,187",678,"1,727","2,460","1,398",986,513,"4,319","2,113","3,143","3,244","2,083","1,795"
2020년02월_계_70~79세,"21,893",554,373,447,435,413,826,451,437,377,394,546,424,842,997,952,542,"1,189","1,291",975,559,335,"2,135","1,101","1,624","1,692","1,006",976
2020년02월_계_80~89세,"9,815",313,241,306,262,313,502,267,235,253,172,261,137,341,372,429,191,424,511,332,196,176,847,404,821,705,374,430
2020년02월_계_90~99세,"1,443",54,33,51,61,60,88,36,42,40,20,42,19,47,44,59,34,46,68,43,35,27,127,60,109,80,66,52
2020년02월_계_100세 이상,111,5,0,0,4,5,7,4,2,3,3,6,7,10,5,4,2,3,2,4,1,2,4,1,3,6,11,7
2020년02월_남_총인구수,"135,975","1,669","2,456","1,798","1,384","1,327","2,577","1,579","1,532","1,184","2,029","1,606","1,191","2,975","3,754","2,899","1,528","6,478","10,750","3,876","2,794","1,538","27,800","6,631","11,774","16,558","9,259","7,029"
2020년02월_남_연령구간인구수,"135,975","1,669","2,456","1,798","1,384","1,327","2,577","1,579","1,532","1,184","2,029","1,606","1,191","2,975","3,754","2,899","1,528","6,478","10,750","3,876","2,794","1,538","27,800","6,631","11,774","16,558","9,259","7,029"
2020년02월_남_0~9세,"11,290",50,297,95,41,42,91,43,46,36,56,70,60,121,218,102,50,592,"1,228",210,179,76,"3,636",380,940,"1,493",711,427
2020년02월_남_10~19세,"14,274",75,189,197,64,56,139,95,80,60,112,82,67,224,346,183,47,606,"1,044",282,256,158,"4,018",684,"1,528","2,299",878,505
2020년02월_남_20~29세,"16,131",151,240,141,144,112,209,168,167,84,223,153,94,292,466,361,115,745,"1,279",408,335,201,"3,433",951,"1,613","2,227","1,018",801
2020년02월_남_30~39세,"16,790",134,354,121,90,106,214,109,110,71,191,145,129,289,345,247,148,905,"1,874",477,314,148,"3,922",789,"1,172","2,011","1,323","1,052"
2020년02월_남_40~49세,"23,270",202,424,295,176,162,346,186,173,155,362,240,165,428,540,373,225,"1,069","1,798",636,369,200,"5,419",933,"1,907","3,200","1,866","1,421"
2020년02월_남_50~59세,"23,050",331,381,335,277,264,497,341,319,252,445,271,190,554,587,499,277,"1,047","1,517",657,478,263,"4,041","1,217","2,113","2,780","1,748","1,369"
2020년02월_남_60~69세,"17,750",356,312,316,312,302,535,335,340,259,394,305,237,546,620,551,317,814,"1,201",640,512,252,"2,096","1,032","1,545","1,580","1,127",914
2020년02월_남_70~79세,"9,774",252,179,182,194,176,355,215,207,177,181,244,193,369,480,403,272,523,622,425,269,159,936,494,681,712,458,416
2020년02월_남_80~89세,"3,321",107,76,108,73,92,170,85,78,81,57,83,48,136,141,164,70,167,175,129,77,73,272,141,252,237,113,116
2020년02월_남_90~99세,291,9,4,8,13,13,20,2,11,8,6,12,5,12,10,15,7,9,12,10,4,7,25,9,23,17,12,8
2020년02월_남_100세 이상,34,2,0,0,0,2,1,0,1,1,2,1,3,4,1,1,0,1,0,2,1,1,2,1,0,2,5,0
2020년02월_여_총인구수,"133,226","1,586","2,358","1,711","1,358","1,313","2,600","1,540","1,480","1,094","1,595","1,569","1,265","2,970","3,775","3,012","1,391","6,324","10,377","3,827","2,756","1,447","28,199","6,620","12,537","16,686","7,807","6,029"
2020년02월_여_연령구간인구수,"133,226","1,586","2,358","1,711","1,358","1,313","2,600","1,540","1,480","1,094","1,595","1,569","1,265","2,970","3,775","3,012","1,391","6,324","10,377","3,827","2,756","1,447","28,199","6,620","12,537","16,686","7,807","6,029"
2020년02월_여_0~9세,"10,861",48,283,91,35,38,90,43,59,22,58,67,68,109,191,90,27,509,"1,140",217,175,91,"3,537",347,982,"1,475",632,437
2020년02월_여_10~19세,"13,258",59,196,165,55,55,109,75,73,50,89,69,80,216,334,182,60,555,934,251,227,109,"3,753",592,"1,526","2,162",817,465
2020년02월_여_20~29세,"13,537",95,185,113,104,73,164,121,96,65,153,109,88,231,350,253,87,651,"1,145",347,250,125,"3,169",758,"1,399","1,980",829,597
2020년02월_여_30~39세,"15,327",79,367,114,63,68,188,87,99,51,103,122,110,235,318,200,93,820,"1,697",331,280,116,"4,299",645,"1,204","1,944",963,731
2020년02월_여_40~49세,"21,099",128,322,212,100,86,211,144,140,94,191,164,122,363,492,292,118,919,"1,644",502,368,194,"5,612",992,"2,156","3,213","1,372",948
2020년02월_여_50~59세,"21,128",275,332,230,237,212,371,298,300,171,350,212,200,485,586,498,225,995,"1,495",633,542,251,"3,728","1,284","2,071","2,733","1,369","1,045"
2020년02월_여_60~69세,"18,174",346,285,280,282,273,590,316,294,235,308,311,259,612,718,636,361,913,"1,259",758,474,261,"2,223","1,081","1,598","1,664",956,881
2020년02월_여_70~79세,"12,119",302,194,265,241,237,471,236,230,200,213,302,231,473,517,549,270,666,669,550,290,176,"1,199",607,943,980,548,560
