,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년07월_계_총인구수,"140,219","7,045","3,040","3,114","2,416","3,311","3,989","3,110","3,414","1,958","2,221","2,810","1,543","1,247","2,319","1,038","6,624","7,578","3,942","25,424","20,287","11,045","22,744"
2021년07월_계_연령구간인구수,"140,219","7,045","3,040","3,114","2,416","3,311","3,989","3,110","3,414","1,958","2,221","2,810","1,543","1,247","2,319","1,038","6,624","7,578","3,942","25,424","20,287","11,045","22,744"
2021년07월_계_0~9세,"10,150",340,122,71,50,71,154,87,84,59,50,61,42,24,51,8,191,214,129,"2,015","1,339",867,"4,121"
2021년07월_계_10~19세,"12,333",403,127,138,99,101,167,138,185,75,85,81,53,37,327,33,347,419,231,"3,218","2,326","1,077","2,666"
2021년07월_계_20~29세,"14,410",517,259,223,167,166,295,239,280,146,133,160,77,56,109,44,632,791,310,"3,752","2,313","1,418","2,323"
2021년07월_계_30~39세,"14,613",526,216,198,141,164,205,175,194,112,121,123,70,49,107,22,534,683,248,"2,805","1,949","1,296","4,675"
2021년07월_계_40~49세,"19,213",827,302,295,194,240,398,268,310,188,189,189,96,100,143,86,794,852,393,"4,066","2,917","1,806","4,560"
2021년07월_계_50~59세,"23,476","1,404",555,581,451,582,721,578,696,368,413,514,255,210,356,209,"1,054","1,301",668,"4,297","3,682","1,928","2,653"
2021년07월_계_60~69세,"23,045","1,509",672,724,633,866,940,806,827,448,567,712,385,328,506,303,"1,555","1,620",882,"2,914","3,176","1,519","1,153"
2021년07월_계_70~79세,"13,343",868,439,467,377,560,635,499,457,287,341,510,290,221,368,156,977,"1,053",663,"1,425","1,602",752,396
2021년07월_계_80~89세,"8,346",552,306,350,259,480,402,276,320,240,281,384,239,191,308,159,485,571,369,825,859,328,162
2021년07월_계_90~99세,"1,258",97,41,65,44,81,71,44,58,35,39,75,34,29,42,18,55,71,48,101,123,53,34
2021년07월_계_100세 이상,32,2,1,2,1,0,1,0,3,0,2,1,2,2,2,0,0,3,1,6,1,1,1
2021년07월_남_총인구수,"70,335","3,556","1,596","1,598","1,225","1,645","2,041","1,601","1,739","1,009","1,117","1,389",770,621,"1,158",498,"3,376","3,694","1,910","12,592","10,141","5,630","11,429"
2021년07월_남_연령구간인구수,"70,335","3,556","1,596","1,598","1,225","1,645","2,041","1,601","1,739","1,009","1,117","1,389",770,621,"1,158",498,"3,376","3,694","1,910","12,592","10,141","5,630","11,429"
2021년07월_남_0~9세,"5,242",176,59,40,31,43,87,44,45,41,26,32,21,15,33,5,105,107,73,"1,034",676,435,"2,114"
2021년07월_남_10~19세,"6,697",213,72,75,49,52,104,83,97,45,46,51,34,20,171,18,167,232,126,"1,662","1,423",603,"1,354"
2021년07월_남_20~29세,"8,053",292,150,143,108,114,185,131,175,78,76,85,48,31,71,28,372,458,163,"2,059","1,345",786,"1,155"
2021년07월_남_30~39세,"7,687",275,126,108,85,91,110,113,109,77,74,70,45,29,63,9,337,408,134,"1,427",984,738,"2,275"
2021년07월_남_40~49세,"10,128",472,195,182,126,147,229,169,184,118,115,122,57,65,82,46,476,471,211,"1,974","1,434",933,"2,320"
2021년07월_남_50~59세,"12,262",750,327,326,247,320,399,308,370,198,224,292,154,125,194,125,587,652,360,"2,129","1,767",988,"1,420"
2021년07월_남_60~69세,"11,393",788,345,392,327,473,493,422,441,231,299,372,211,187,265,156,698,706,402,"1,437","1,469",710,569
2021년07월_남_70~79세,"5,861",387,187,212,168,241,288,230,202,134,166,234,114,87,172,63,443,429,286,595,715,331,177
2021년07월_남_80~89세,"2,741",183,122,110,73,146,135,86,109,81,82,112,73,55,98,45,178,220,141,250,305,97,40
2021년07월_남_90~99세,268,19,13,10,11,18,11,15,7,6,9,18,12,7,9,3,13,11,14,25,23,9,5
2021년07월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"69,884","3,489","1,444","1,516","1,191","1,666","1,948","1,509","1,675",949,"1,104","1,421",773,626,"1,161",540,"3,248","3,884","2,032","12,832","10,146","5,415","11,315"
2021년07월_여_연령구간인구수,"69,884","3,489","1,444","1,516","1,191","1,666","1,948","1,509","1,675",949,"1,104","1,421",773,626,"1,161",540,"3,248","3,884","2,032","12,832","10,146","5,415","11,315"
2021년07월_여_0~9세,"4,908",164,63,31,19,28,67,43,39,18,24,29,21,9,18,3,86,107,56,981,663,432,"2,007"
2021년07월_여_10~19세,"5,636",190,55,63,50,49,63,55,88,30,39,30,19,17,156,15,180,187,105,"1,556",903,474,"1,312"
2021년07월_여_20~29세,"6,357",225,109,80,59,52,110,108,105,68,57,75,29,25,38,16,260,333,147,"1,693",968,632,"1,168"
2021년07월_여_30~39세,"6,926",251,90,90,56,73,95,62,85,35,47,53,25,20,44,13,197,275,114,"1,378",965,558,"2,400"
2021년07월_여_40~49세,"9,085",355,107,113,68,93,169,99,126,70,74,67,39,35,61,40,318,381,182,"2,092","1,483",873,"2,240"
2021년07월_여_50~59세,"11,214",654,228,255,204,262,322,270,326,170,189,222,101,85,162,84,467,649,308,"2,168","1,915",940,"1,233"
2021년07월_여_60~69세,"11,652",721,327,332,306,393,447,384,386,217,268,340,174,141,241,147,857,914,480,"1,477","1,707",809,584
2021년07월_여_70~79세,"7,482",481,252,255,209,319,347,269,255,153,175,276,176,134,196,93,534,624,377,830,887,421,219
2021년07월_여_80~89세,"5,605",369,184,240,186,334,267,190,211,159,199,272,166,136,210,114,307,351,228,575,554,231,122
2021년07월_여_90~99세,990,78,28,55,33,63,60,29,51,29,30,57,22,22,33,15,42,60,34,76,100,44,29
2021년07월_여_100세 이상,29,1,1,2,1,0,1,0,3,0,2,0,1,2,2,0,0,3,1,6,1,1,1
