카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2021년05월_계_총인구수,"37,442","9,789","2,109","1,922","2,306","3,127","2,164","5,121","3,345","2,752","2,059","2,748"
2021년05월_계_연령구간인구수,"37,442","9,789","2,109","1,922","2,306","3,127","2,164","5,121","3,345","2,752","2,059","2,748"
2021년05월_계_0~9세,"1,280",614,58,48,42,80,45,115,85,73,48,72
2021년05월_계_10~19세,"1,957",892,124,58,81,133,94,201,112,105,58,99
2021년05월_계_20~29세,"2,795","1,180",121,106,127,225,132,251,190,210,114,139
2021년05월_계_30~39세,"2,353",958,109,77,107,193,127,231,171,136,116,128
2021년05월_계_40~49세,"3,711","1,422",171,152,194,298,183,375,269,262,167,218
2021년05월_계_50~59세,"7,088","1,654",417,409,407,661,417,"1,055",657,513,374,524
2021년05월_계_60~69세,"9,000","1,551",547,539,670,732,552,"1,442",929,671,608,759
2021년05월_계_70~79세,"5,368",946,309,290,378,478,350,854,514,461,336,452
2021년05월_계_80~89세,"3,415",520,217,216,266,293,227,511,359,289,198,319
2021년05월_계_90~99세,458,51,36,27,32,33,35,81,58,31,37,37
2021년05월_계_100세 이상,17,1,0,0,2,1,2,5,1,1,3,1
2021년05월_남_총인구수,"19,256","5,018","1,110",973,"1,200","1,582","1,099","2,655","1,711","1,419","1,059","1,430"
2021년05월_남_연령구간인구수,"19,256","5,018","1,110",973,"1,200","1,582","1,099","2,655","1,711","1,419","1,059","1,430"
2021년05월_남_0~9세,647,314,30,28,18,34,23,62,40,35,23,40
2021년05월_남_10~19세,"1,005",457,60,30,45,68,41,113,54,51,29,57
2021년05월_남_20~29세,"1,657",675,70,64,78,115,83,170,114,131,68,89
2021년05월_남_30~39세,"1,342",514,69,45,66,111,73,124,99,82,77,82
2021년05월_남_40~49세,"2,153",772,108,80,121,184,109,211,163,156,106,143
2021년05월_남_50~59세,"3,857",908,235,226,212,365,228,572,368,289,184,270
2021년05월_남_60~69세,"4,774",768,300,295,368,399,280,786,490,358,331,399
2021년05월_남_70~79세,"2,507",412,144,124,181,213,185,411,245,208,168,216
2021년05월_남_80~89세,"1,210",185,86,77,103,85,69,188,123,102,65,127
2021년05월_남_90~99세,99,12,8,4,7,8,8,17,15,6,8,6
2021년05월_남_100세 이상,5,1,0,0,1,0,0,1,0,1,0,1
2021년05월_여_총인구수,"18,186","4,771",999,949,"1,106","1,545","1,065","2,466","1,634","1,333","1,000","1,318"
2021년05월_여_연령구간인구수,"18,186","4,771",999,949,"1,106","1,545","1,065","2,466","1,634","1,333","1,000","1,318"
2021년05월_여_0~9세,633,300,28,20,24,46,22,53,45,38,25,32
2021년05월_여_10~19세,952,435,64,28,36,65,53,88,58,54,29,42
2021년05월_여_20~29세,"1,138",505,51,42,49,110,49,81,76,79,46,50
2021년05월_여_30~39세,"1,011",444,40,32,41,82,54,107,72,54,39,46
2021년05월_여_40~49세,"1,558",650,63,72,73,114,74,164,106,106,61,75
2021년05월_여_50~59세,"3,231",746,182,183,195,296,189,483,289,224,190,254
2021년05월_여_60~69세,"4,226",783,247,244,302,333,272,656,439,313,277,360
2021년05월_여_70~79세,"2,861",534,165,166,197,265,165,443,269,253,168,236
2021년05월_여_80~89세,"2,205",335,131,139,163,208,158,323,236,187,133,192
2021년05월_여_90~99세,359,39,28,23,25,25,27,64,43,25,29,31
2021년05월_여_100세 이상,12,0,0,0,1,1,2,4,1,0,3,0
