,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동
2020년06월_남_40~49세,"34,333",382,485,431,267,629,939,"2,804","1,429",929,935,"1,933",743,497,"1,441","1,204","1,211",569,"1,184",916,"1,197","2,592","1,092",898,852,156,"5,263","3,355"
2020년06월_남_50~59세,"35,409",393,514,401,336,629,"1,010","3,190","1,499","1,140","1,159","1,769",952,497,"1,550","1,454","1,206",688,"1,454","1,337","1,368","2,781","1,137","1,155","1,211",323,"3,430","2,826"
2020년06월_남_60~69세,"24,649",364,502,308,305,533,788,"2,035","1,191",954,901,"1,186",944,337,"1,234","1,035",890,580,"1,228","1,296",710,"1,090",741,750,"1,021",281,"1,783","1,662"
2020년06월_남_70~79세,"12,882",198,317,207,182,405,491,"1,071",594,588,395,619,586,231,718,461,455,449,688,644,318,453,334,355,481,166,736,740
2020년06월_남_80~89세,"4,113",70,158,78,65,111,173,310,163,202,120,146,186,69,218,154,186,133,195,218,86,196,114,86,145,68,217,246
2020년06월_남_90~99세,330,6,15,4,9,10,9,22,10,11,12,18,14,4,18,13,18,13,13,15,7,23,8,6,8,8,17,19
2020년06월_남_100세 이상,13,2,1,0,1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
2020년06월_여_총인구수,"218,185","2,439","3,407","2,398","1,543","4,118","5,473","19,185","10,198","6,274","7,331","11,896","5,624","3,076","9,746","8,517","8,632","4,055","8,454","7,319","7,080","15,726","7,302","5,763","6,579","1,299","26,251","18,500"
2020년06월_여_연령구간인구수,"218,185","2,439","3,407","2,398","1,543","4,118","5,473","19,185","10,198","6,274","7,331","11,896","5,624","3,076","9,746","8,517","8,632","4,055","8,454","7,319","7,080","15,726","7,302","5,763","6,579","1,299","26,251","18,500"
2020년06월_여_0~9세,"16,925",118,141,140,42,290,210,"1,309",899,331,477,"1,098",214,275,758,595,605,151,507,252,510,"1,210",616,349,288,42,"3,635","1,863"
