카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021년12월_계_총인구수,"262,451","47,025","4,779","13,167","51,020","38,307","29,542","25,232","23,050","7,783","3,596","18,950"
2021년12월_계_연령구간인구수,"262,451","47,025","4,779","13,167","51,020","38,307","29,542","25,232","23,050","7,783","3,596","18,950"
2021년12월_계_0~9세,"28,509","2,971",297,710,"5,554","5,951","4,986","2,507","2,329",388,91,"2,725"
2021년12월_계_10~19세,"24,477","4,259",180,"1,279","6,089","3,608","3,636","1,767","1,747",484,121,"1,307"
2021년12월_계_20~29세,"28,382","6,098",463,"1,772","5,561","3,709","2,337","2,460","3,141",635,252,"1,954"
2021년12월_계_30~39세,"40,506","4,966",616,"1,286","6,939","7,816","5,720","3,832","4,190",588,262,"4,291"
2021년12월_계_40~49세,"44,717","6,718",555,"2,313","9,648","7,409","6,257","3,727","3,645",898,293,"3,254"
2021년12월_계_50~59세,"41,035","9,516",918,"2,981","8,019","4,966","3,063","4,224","3,093","1,313",772,"2,170"
2021년12월_계_60~69세,"32,570","7,533",927,"1,759","5,698","3,255","2,234","3,999","2,760","1,690",878,"1,837"
2021년12월_계_70~79세,"14,634","3,357",496,656,"2,487","1,166",871,"1,832","1,389","1,047",508,825
2021년12월_계_80~89세,"6,736","1,422",284,368,904,377,381,794,683,630,366,527
2021년12월_계_90~99세,868,183,41,42,120,48,56,90,71,105,52,60
2021년12월_계_100세 이상,17,2,2,1,1,2,1,0,2,5,1,0
2021년12월_남_총인구수,"133,149","23,342","2,578","6,996","25,177","19,469","14,989","12,729","12,117","3,870","1,941","9,941"
2021년12월_남_연령구간인구수,"133,149","23,342","2,578","6,996","25,177","19,469","14,989","12,729","12,117","3,870","1,941","9,941"
2021년12월_남_0~9세,"14,530","1,534",152,352,"2,823","3,002","2,545","1,312","1,195",204,40,"1,371"
2021년12월_남_10~19세,"12,740","2,194",90,687,"3,163","1,870","1,892",928,913,261,65,677
2021년12월_남_20~29세,"15,666","3,348",274,"1,066","2,954","1,933","1,299","1,297","1,840",377,159,"1,119"
2021년12월_남_30~39세,"21,187","2,681",354,710,"3,418","3,943","2,834","1,997","2,396",301,162,"2,391"
2021년12월_남_40~49세,"23,333","3,226",347,"1,245","4,753","4,018","3,223","1,999","2,043",468,186,"1,825"
2021년12월_남_50~59세,"20,418","4,581",499,"1,621","3,799","2,443","1,568","2,073","1,567",705,458,"1,104"
2021년12월_남_60~69세,"16,112","3,702",527,923,"2,731","1,608","1,074","1,970","1,355",815,509,898
2021년12월_남_70~79세,"6,784","1,529",231,278,"1,190",542,419,854,592,519,246,384
2021년12월_남_80~89세,"2,201",514,94,104,326,103,117,277,203,198,105,160
2021년12월_남_90~99세,175,33,10,10,20,7,18,22,13,20,10,12
2021년12월_남_100세 이상,3,0,0,0,0,0,0,0,0,2,1,0
2021년12월_여_총인구수,"129,302","23,683","2,201","6,171","25,843","18,838","14,553","12,503","10,933","3,913","1,655","9,009"
2021년12월_여_연령구간인구수,"129,302","23,683","2,201","6,171","25,843","18,838","14,553","12,503","10,933","3,913","1,655","9,009"
2021년12월_여_0~9세,"13,979","1,437",145,358,"2,731","2,949","2,441","1,195","1,134",184,51,"1,354"
2021년12월_여_10~19세,"11,737","2,065",90,592,"2,926","1,738","1,744",839,834,223,56,630
2021년12월_여_20~29세,"12,716","2,750",189,706,"2,607","1,776","1,038","1,163","1,301",258,93,835
2021년12월_여_30~39세,"19,319","2,285",262,576,"3,521","3,873","2,886","1,835","1,794",287,100,"1,900"
2021년12월_여_40~49세,"21,384","3,492",208,"1,068","4,895","3,391","3,034","1,728","1,602",430,107,"1,429"
2021년12월_여_50~59세,"20,617","4,935",419,"1,360","4,220","2,523","1,495","2,151","1,526",608,314,"1,066"
2021년12월_여_60~69세,"16,458","3,831",400,836,"2,967","1,647","1,160","2,029","1,405",875,369,939
2021년12월_여_70~79세,"7,850","1,828",265,378,"1,297",624,452,978,797,528,262,441
2021년12월_여_80~89세,"4,535",908,190,264,578,274,264,517,480,432,261,367
2021년12월_여_90~99세,693,150,31,32,100,41,38,68,58,85,42,48
2021년12월_여_100세 이상,14,2,2,1,1,2,1,0,2,3,0,0
