,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년12월_계_총인구수,"113,822","32,755","24,383","31,178","4,096","5,335","3,428","9,523","3,124"
2021년12월_계_연령구간인구수,"113,822","32,755","24,383","31,178","4,096","5,335","3,428","9,523","3,124"
2021년12월_계_0~9세,"8,686","2,143","1,732","4,077",79,118,83,269,185
2021년12월_계_10~19세,"11,350","3,271","3,120","3,812",99,155,108,601,184
2021년12월_계_20~29세,"11,574","3,695","2,862","2,960",282,380,214,984,197
2021년12월_계_30~39세,"13,720","3,222","2,345","6,488",233,324,195,630,283
2021년12월_계_40~49세,"20,557","5,228","5,099","7,384",351,456,351,"1,276",412
2021년12월_계_50~59세,"20,000","6,277","5,007","3,443",760,"1,076",701,"2,195",541
2021년12월_계_60~69세,"14,926","4,752","2,499","1,805","1,053","1,423",907,"1,845",642
2021년12월_계_70~79세,"7,686","2,421","1,084",771,687,799,537,"1,027",360
2021년12월_계_80~89세,"4,635","1,530",558,385,482,509,273,625,273
2021년12월_계_90~99세,670,207,77,53,69,93,59,68,44
2021년12월_계_100세 이상,18,9,0,0,1,2,0,3,3
2021년12월_남_총인구수,"59,260","16,404","12,651","16,866","2,193","2,719","1,861","4,934","1,632"
2021년12월_남_연령구간인구수,"59,260","16,404","12,651","16,866","2,193","2,719","1,861","4,934","1,632"
2021년12월_남_0~9세,"4,490","1,104",907,"2,096",39,61,43,136,104
2021년12월_남_10~19세,"5,935","1,674","1,618","2,028",54,77,54,322,108
2021년12월_남_20~29세,"6,644","2,136","1,676","1,574",162,248,138,589,121
2021년12월_남_30~39세,"7,435","1,718","1,197","3,517",143,204,123,382,151
2021년12월_남_40~49세,"11,057","2,665","2,531","4,202",241,284,210,684,240
2021년12월_남_50~59세,"10,834","3,184","2,695","2,084",447,553,403,"1,172",296
2021년12월_남_60~69세,"7,773","2,362","1,340",895,599,742,509,982,344
2021년12월_남_70~79세,"3,425","1,017",487,340,320,382,262,453,164
2021년12월_남_80~89세,"1,505",492,179,117,169,158,100,199,91
2021년12월_남_90~99세,161,52,21,13,19,10,19,15,12
2021년12월_남_100세 이상,1,0,0,0,0,0,0,0,1
2021년12월_여_총인구수,"54,562","16,351","11,732","14,312","1,903","2,616","1,567","4,589","1,492"
2021년12월_여_연령구간인구수,"54,562","16,351","11,732","14,312","1,903","2,616","1,567","4,589","1,492"
2021년12월_여_0~9세,"4,196","1,039",825,"1,981",40,57,40,133,81
2021년12월_여_10~19세,"5,415","1,597","1,502","1,784",45,78,54,279,76
2021년12월_여_20~29세,"4,930","1,559","1,186","1,386",120,132,76,395,76
2021년12월_여_30~39세,"6,285","1,504","1,148","2,971",90,120,72,248,132
2021년12월_여_40~49세,"9,500","2,563","2,568","3,182",110,172,141,592,172
2021년12월_여_50~59세,"9,166","3,093","2,312","1,359",313,523,298,"1,023",245
2021년12월_여_60~69세,"7,153","2,390","1,159",910,454,681,398,863,298
2021년12월_여_70~79세,"4,261","1,404",597,431,367,417,275,574,196
2021년12월_여_80~89세,"3,130","1,038",379,268,313,351,173,426,182
2021년12월_여_90~99세,509,155,56,40,50,83,40,53,32
2021년12월_여_100세 이상,17,9,0,0,1,2,0,3,2
