카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년11월_계_총인구수,"230,165","35,597","20,632","61,051","31,974","16,198","64,713"
2021년11월_계_연령구간인구수,"230,165","35,597","20,632","61,051","31,974","16,198","64,713"
2021년11월_계_0~9세,"21,870","3,672",819,"6,592","3,791","1,247","5,749"
2021년11월_계_10~19세,"24,897","4,153","1,134","7,191","3,369","1,917","7,133"
2021년11월_계_20~29세,"31,265","4,378","3,794","7,023","4,067","2,244","9,759"
2021년11월_계_30~39세,"37,425","5,249","4,965","9,356","5,655","2,334","9,866"
2021년11월_계_40~49세,"43,876","6,696","3,928","11,927","6,198","3,060","12,067"
2021년11월_계_50~59세,"34,020","5,531","2,934","8,541","4,357","2,550","10,107"
2021년11월_계_60~69세,"21,924","3,451","1,875","6,149","2,891","1,652","5,906"
2021년11월_계_70~79세,"9,951","1,627",792,"2,870","1,118",769,"2,775"
2021년11월_계_80~89세,"4,360",762,354,"1,227",450,382,"1,185"
2021년11월_계_90~99세,556,78,34,168,76,38,162
2021년11월_계_100세 이상,21,0,3,7,2,5,4
2021년11월_남_총인구수,"119,461","17,875","12,299","30,836","16,382","8,359","33,710"
2021년11월_남_연령구간인구수,"119,461","17,875","12,299","30,836","16,382","8,359","33,710"
2021년11월_남_0~9세,"11,166","1,883",404,"3,363","1,924",652,"2,940"
2021년11월_남_10~19세,"12,739","2,065",568,"3,651","1,702",992,"3,761"
2021년11월_남_20~29세,"16,961","2,296","2,223","3,681","2,159","1,239","5,363"
2021년11월_남_30~39세,"20,384","2,684","3,219","4,863","2,960","1,290","5,368"
2021년11월_남_40~49세,"23,370","3,389","2,472","6,306","3,251","1,578","6,374"
2021년11월_남_50~59세,"17,826","2,849","1,839","4,319","2,215","1,315","5,289"
2021년11월_남_60~69세,"10,861","1,709","1,047","2,923","1,443",821,"2,918"
2021년11월_남_70~79세,"4,406",696,373,"1,272",555,328,"1,182"
2021년11월_남_80~89세,"1,626",290,149,419,165,132,471
2021년11월_남_90~99세,116,14,5,37,8,9,43
2021년11월_남_100세 이상,6,0,0,2,0,3,1
2021년11월_여_총인구수,"110,704","17,722","8,333","30,215","15,592","7,839","31,003"
2021년11월_여_연령구간인구수,"110,704","17,722","8,333","30,215","15,592","7,839","31,003"
2021년11월_여_0~9세,"10,704","1,789",415,"3,229","1,867",595,"2,809"
2021년11월_여_10~19세,"12,158","2,088",566,"3,540","1,667",925,"3,372"
2021년11월_여_20~29세,"14,304","2,082","1,571","3,342","1,908","1,005","4,396"
2021년11월_여_30~39세,"17,041","2,565","1,746","4,493","2,695","1,044","4,498"
2021년11월_여_40~49세,"20,506","3,307","1,456","5,621","2,947","1,482","5,693"
2021년11월_여_50~59세,"16,194","2,682","1,095","4,222","2,142","1,235","4,818"
2021년11월_여_60~69세,"11,063","1,742",828,"3,226","1,448",831,"2,988"
2021년11월_여_70~79세,"5,545",931,419,"1,598",563,441,"1,593"
2021년11월_여_80~89세,"2,734",472,205,808,285,250,714
2021년11월_여_90~99세,440,64,29,131,68,29,119
2021년11월_여_100세 이상,15,0,3,5,2,2,3
