,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년06월_계_총인구수,"176,090","13,634","7,307","5,318","3,333","8,130","15,483","9,305","5,064","7,279","6,165","19,183","18,701","8,778","15,906","32,504"
2021년06월_계_연령구간인구수,"176,090","13,634","7,307","5,318","3,333","8,130","15,483","9,305","5,064","7,279","6,165","19,183","18,701","8,778","15,906","32,504"
2021년06월_계_0~9세,"15,079",683,476,120,63,565,"2,879",475,126,238,351,"1,624","1,625",542,"1,335","3,977"
2021년06월_계_10~19세,"17,134","1,009",690,202,108,764,"1,244",742,261,436,447,"2,006","2,278",872,"1,930","4,145"
2021년06월_계_20~29세,"19,050","1,770",613,279,157,658,"1,599",836,286,681,559,"2,576","2,095","1,075","1,992","3,874"
2021년06월_계_30~39세,"21,839","1,458",595,260,144,919,"3,816",805,253,465,529,"2,707","2,098",844,"1,885","5,061"
2021년06월_계_40~49세,"27,837","1,941","1,086",475,283,"1,228","2,414","1,302",527,826,829,"3,236","3,354","1,420","2,824","6,092"
2021년06월_계_50~59세,"28,381","3,063","1,316",849,569,"1,362","1,631","1,681",832,"1,300",803,"3,161","3,231","1,522","2,505","4,556"
2021년06월_계_60~69세,"23,191","2,029","1,150","1,332",880,"1,289","1,025","1,606","1,156","1,475","1,123","2,113","2,153","1,344","1,856","2,660"
2021년06월_계_70~79세,"13,961",984,765,"1,002",686,797,510,"1,034",929,"1,124",829,"1,083","1,173",751,989,"1,305"
2021년06월_계_80~89세,"8,308",594,540,698,389,466,315,725,609,633,612,578,587,346,511,705
2021년06월_계_90~99세,"1,272",101,70,100,52,82,49,97,83,100,76,96,102,60,78,126
2021년06월_계_100세 이상,38,2,6,1,2,0,1,2,2,1,7,3,5,2,1,3
2021년06월_남_총인구수,"91,855","7,959","3,733","2,705","1,700","4,378","8,140","4,802","2,581","3,766","3,179","9,988","9,781","4,451","8,045","16,647"
2021년06월_남_연령구간인구수,"91,855","7,959","3,733","2,705","1,700","4,378","8,140","4,802","2,581","3,766","3,179","9,988","9,781","4,451","8,045","16,647"
2021년06월_남_0~9세,"7,702",356,242,57,39,278,"1,484",246,69,122,177,864,855,284,655,"1,974"
2021년06월_남_10~19세,"9,100",541,363,110,55,398,636,396,142,243,228,"1,063","1,348",459,924,"2,194"
2021년06월_남_20~29세,"11,375","1,217",371,176,98,420,901,509,172,428,381,"1,478","1,266",608,"1,138","2,212"
2021년06월_남_30~39세,"12,111",991,319,167,87,582,"2,051",441,140,266,303,"1,505","1,116",464,"1,061","2,618"
2021년06월_남_40~49세,"14,899","1,184",560,298,176,724,"1,332",726,322,487,485,"1,671","1,685",743,"1,426","3,080"
2021년06월_남_50~59세,"15,252","1,862",739,462,320,738,848,902,466,704,434,"1,654","1,662",785,"1,295","2,381"
2021년06월_남_60~69세,"11,654","1,124",586,669,439,683,540,812,566,746,548,"1,029","1,040",635,920,"1,317"
2021년06월_남_70~79세,"6,566",470,354,480,345,380,236,495,457,531,383,498,563,327,447,600
2021년06월_남_80~89세,"2,931",186,183,266,133,159,103,258,229,220,222,209,223,131,161,248
2021년06월_남_90~99세,262,28,16,20,8,16,9,17,17,19,17,17,22,15,18,23
2021년06월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2021년06월_여_총인구수,"84,235","5,675","3,574","2,613","1,633","3,752","7,343","4,503","2,483","3,513","2,986","9,195","8,920","4,327","7,861","15,857"
2021년06월_여_연령구간인구수,"84,235","5,675","3,574","2,613","1,633","3,752","7,343","4,503","2,483","3,513","2,986","9,195","8,920","4,327","7,861","15,857"
2021년06월_여_0~9세,"7,377",327,234,63,24,287,"1,395",229,57,116,174,760,770,258,680,"2,003"
2021년06월_여_10~19세,"8,034",468,327,92,53,366,608,346,119,193,219,943,930,413,"1,006","1,951"
2021년06월_여_20~29세,"7,675",553,242,103,59,238,698,327,114,253,178,"1,098",829,467,854,"1,662"
2021년06월_여_30~39세,"9,728",467,276,93,57,337,"1,765",364,113,199,226,"1,202",982,380,824,"2,443"
2021년06월_여_40~49세,"12,938",757,526,177,107,504,"1,082",576,205,339,344,"1,565","1,669",677,"1,398","3,012"
2021년06월_여_50~59세,"13,129","1,201",577,387,249,624,783,779,366,596,369,"1,507","1,569",737,"1,210","2,175"
2021년06월_여_60~69세,"11,537",905,564,663,441,606,485,794,590,729,575,"1,084","1,113",709,936,"1,343"
2021년06월_여_70~79세,"7,395",514,411,522,341,417,274,539,472,593,446,585,610,424,542,705
2021년06월_여_80~89세,"5,377",408,357,432,256,307,212,467,380,413,390,369,364,215,350,457
2021년06월_여_90~99세,"1,010",73,54,80,44,66,40,80,66,81,59,79,80,45,60,103
2021년06월_여_100세 이상,35,2,6,1,2,0,1,2,1,1,6,3,4,2,1,3
