,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년12월_계_총인구수,"62,624","39,707",924,424,"1,755","1,040","1,778","3,186","2,850","1,426",949,"1,577","1,595","2,120","3,293"
2021년12월_계_연령구간인구수,"62,624","39,707",924,424,"1,755","1,040","1,778","3,186","2,850","1,426",949,"1,577","1,595","2,120","3,293"
2021년12월_계_0~9세,"3,251","2,701",20,9,27,24,36,114,81,28,14,28,30,48,91
2021년12월_계_10~19세,"5,500","4,536",37,16,59,21,45,251,117,62,35,65,55,54,147
2021년12월_계_20~29세,"6,714","5,216",56,11,109,51,102,258,201,73,58,76,112,137,254
2021년12월_계_30~39세,"4,656","3,536",41,13,80,37,75,187,168,51,41,64,56,112,195
2021년12월_계_40~49세,"7,888","6,067",105,37,114,54,127,323,255,97,66,100,107,155,281
2021년12월_계_50~59세,"11,426","7,310",158,73,295,188,305,505,535,253,197,285,293,387,642
2021년12월_계_60~69세,"10,201","5,020",197,91,403,232,398,723,653,321,216,373,336,499,739
2021년12월_계_70~79세,"7,236","3,243",186,105,320,192,328,473,423,278,169,325,319,374,501
2021년12월_계_80~89세,"5,010","1,813",112,62,305,213,310,310,352,237,134,225,242,302,393
2021년12월_계_90~99세,721,250,11,7,43,28,50,42,64,26,19,36,45,51,49
2021년12월_계_100세 이상,21,15,1,0,0,0,2,0,1,0,0,0,0,1,1
2021년12월_남_총인구수,"30,910","19,477",476,200,896,504,871,"1,567","1,422",727,490,783,756,"1,069","1,672"
2021년12월_남_연령구간인구수,"30,910","19,477",476,200,896,504,871,"1,567","1,422",727,490,783,756,"1,069","1,672"
2021년12월_남_0~9세,"1,647","1,370",8,2,15,12,21,54,35,16,6,19,15,28,46
2021년12월_남_10~19세,"2,865","2,359",22,12,34,9,24,115,68,36,15,28,26,32,85
2021년12월_남_20~29세,"3,625","2,785",33,6,58,27,55,151,113,43,37,49,62,75,131
2021년12월_남_30~39세,"2,398","1,762",23,7,47,21,43,106,100,30,22,33,37,63,104
2021년12월_남_40~49세,"4,017","2,905",69,21,75,42,73,180,153,59,43,66,59,105,167
2021년12월_남_50~59세,"6,212","3,789",98,48,187,113,192,283,305,156,114,177,161,224,365
2021년12월_남_60~69세,"5,387","2,491",102,43,237,143,224,379,353,181,127,211,199,278,419
2021년12월_남_70~79세,"3,069","1,355",85,41,144,75,151,198,195,111,75,129,122,157,231
2021년12월_남_80~89세,"1,522",602,36,19,88,55,79,93,84,88,43,64,69,92,110
2021년12월_남_90~99세,166,58,0,1,11,7,8,8,16,7,8,7,6,15,14
2021년12월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"31,714","20,230",448,224,859,536,907,"1,619","1,428",699,459,794,839,"1,051","1,621"
2021년12월_여_연령구간인구수,"31,714","20,230",448,224,859,536,907,"1,619","1,428",699,459,794,839,"1,051","1,621"
2021년12월_여_0~9세,"1,604","1,331",12,7,12,12,15,60,46,12,8,9,15,20,45
2021년12월_여_10~19세,"2,635","2,177",15,4,25,12,21,136,49,26,20,37,29,22,62
2021년12월_여_20~29세,"3,089","2,431",23,5,51,24,47,107,88,30,21,27,50,62,123
2021년12월_여_30~39세,"2,258","1,774",18,6,33,16,32,81,68,21,19,31,19,49,91
2021년12월_여_40~49세,"3,871","3,162",36,16,39,12,54,143,102,38,23,34,48,50,114
2021년12월_여_50~59세,"5,214","3,521",60,25,108,75,113,222,230,97,83,108,132,163,277
2021년12월_여_60~69세,"4,814","2,529",95,48,166,89,174,344,300,140,89,162,137,221,320
2021년12월_여_70~79세,"4,167","1,888",101,64,176,117,177,275,228,167,94,196,197,217,270
2021년12월_여_80~89세,"3,488","1,211",76,43,217,158,231,217,268,149,91,161,173,210,283
2021년12월_여_90~99세,555,192,11,6,32,21,42,34,48,19,11,29,39,36,35
2021년12월_여_100세 이상,19,14,1,0,0,0,1,0,1,0,0,0,0,1,1
