,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년07월_계_총인구수,"47,702","21,159","3,367","4,336","2,260","1,945","2,402","3,243",962,"2,847","1,888","3,293"
2020년07월_계_연령구간인구수,"47,702","21,159","3,367","4,336","2,260","1,945","2,402","3,243",962,"2,847","1,888","3,293"
2020년07월_계_0~9세,"2,436","1,577",114,174,48,57,75,110,35,93,49,104
2020년07월_계_10~19세,"3,475","2,169",161,267,118,98,110,183,46,105,82,136
2020년07월_계_20~29세,"4,484","2,732",239,305,146,118,112,335,46,155,102,194
2020년07월_계_30~39세,"3,394","2,028",182,275,106,75,110,178,36,135,81,188
2020년07월_계_40~49세,"5,479","3,091",328,444,204,158,194,276,70,215,189,310
2020년07월_계_50~59세,"8,548","3,557",673,823,447,362,419,641,182,525,338,581
2020년07월_계_60~69세,"8,940","2,933",767,938,506,467,580,663,221,685,409,771
2020년07월_계_70~79세,"6,506","1,967",497,683,398,323,464,505,191,509,363,606
2020년07월_계_80~89세,"3,867",975,351,380,250,256,284,313,116,361,228,353
2020년07월_계_90~99세,537,116,50,42,36,30,51,38,18,60,47,49
2020년07월_계_100세 이상,36,14,5,5,1,1,3,1,1,4,0,1
2020년07월_남_총인구수,"23,689","10,429","1,705","2,177","1,113",953,"1,164","1,645",477,"1,436",944,"1,646"
2020년07월_남_연령구간인구수,"23,689","10,429","1,705","2,177","1,113",953,"1,164","1,645",477,"1,436",944,"1,646"
2020년07월_남_0~9세,"1,258",801,62,98,25,28,32,50,20,59,30,53
2020년07월_남_10~19세,"1,770","1,081",79,136,57,56,68,103,27,51,42,70
2020년07월_남_20~29세,"2,512","1,465",136,183,90,68,63,212,25,96,64,110
2020년07월_남_30~39세,"1,793","1,039",106,141,59,43,58,102,22,72,49,102
2020년07월_남_40~49세,"2,984","1,563",182,255,118,97,115,162,45,146,110,191
2020년07월_남_50~59세,"4,515","1,827",370,446,238,192,229,348,98,281,181,305
2020년07월_남_60~69세,"4,543","1,461",406,485,249,242,294,331,119,341,220,395
2020년07월_남_70~79세,"2,843",833,238,289,176,130,202,217,79,240,160,279
2020년07월_남_80~89세,"1,336",332,114,136,92,89,92,112,37,135,73,124
2020년07월_남_90~99세,125,22,11,7,8,8,10,8,5,14,15,17
2020년07월_남_100세 이상,10,5,1,1,1,0,1,0,0,1,0,0
2020년07월_여_총인구수,"24,013","10,730","1,662","2,159","1,147",992,"1,238","1,598",485,"1,411",944,"1,647"
2020년07월_여_연령구간인구수,"24,013","10,730","1,662","2,159","1,147",992,"1,238","1,598",485,"1,411",944,"1,647"
2020년07월_여_0~9세,"1,178",776,52,76,23,29,43,60,15,34,19,51
2020년07월_여_10~19세,"1,705","1,088",82,131,61,42,42,80,19,54,40,66
2020년07월_여_20~29세,"1,972","1,267",103,122,56,50,49,123,21,59,38,84
2020년07월_여_30~39세,"1,601",989,76,134,47,32,52,76,14,63,32,86
2020년07월_여_40~49세,"2,495","1,528",146,189,86,61,79,114,25,69,79,119
2020년07월_여_50~59세,"4,033","1,730",303,377,209,170,190,293,84,244,157,276
2020년07월_여_60~69세,"4,397","1,472",361,453,257,225,286,332,102,344,189,376
2020년07월_여_70~79세,"3,663","1,134",259,394,222,193,262,288,112,269,203,327
2020년07월_여_80~89세,"2,531",643,237,244,158,167,192,201,79,226,155,229
2020년07월_여_90~99세,412,94,39,35,28,22,41,30,13,46,32,32
2020년07월_여_100세 이상,26,9,4,4,0,1,2,1,1,3,0,1
