카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2021년05월_계_총인구수,"20,319","1,156",994,"5,047","1,210",223,"1,871","6,460",938,385,"2,035"
2021년05월_계_연령구간인구수,"20,319","1,156",994,"5,047","1,210",223,"1,871","6,460",938,385,"2,035"
2021년05월_계_0~9세,916,34,23,337,52,2,44,291,22,12,99
2021년05월_계_10~19세,"1,075",44,28,282,62,9,81,403,31,19,116
2021년05월_계_20~29세,"2,601",86,51,977,177,36,131,579,78,27,459
2021년05월_계_30~39세,"1,842",68,58,582,127,14,88,617,38,21,229
2021년05월_계_40~49세,"2,349",117,113,633,117,16,152,825,89,37,250
2021년05월_계_50~59세,"3,541",197,207,694,203,25,353,"1,274",199,73,316
2021년05월_계_60~69세,"4,211",342,274,802,235,49,476,"1,395",227,90,321
2021년05월_계_70~79세,"2,380",167,162,422,156,53,334,728,154,65,139
2021년05월_계_80~89세,"1,142",83,57,250,69,16,172,297,84,30,84
2021년05월_계_90~99세,248,14,19,65,12,3,39,48,15,11,22
2021년05월_계_100세 이상,14,4,2,3,0,0,1,3,1,0,0
2021년05월_남_총인구수,"11,524",610,523,"2,945",698,138,"1,006","3,611",507,201,"1,285"
2021년05월_남_연령구간인구수,"11,524",610,523,"2,945",698,138,"1,006","3,611",507,201,"1,285"
2021년05월_남_0~9세,464,15,13,176,26,0,18,150,13,7,46
2021년05월_남_10~19세,581,20,15,133,34,8,43,233,17,10,68
2021년05월_남_20~29세,"1,883",49,29,762,130,30,80,384,46,12,361
2021년05월_남_30~39세,"1,129",38,34,337,81,12,51,384,22,15,155
2021년05월_남_40~49세,"1,478",65,70,411,81,14,92,488,60,19,178
2021년05월_남_50~59세,"2,054",113,119,402,107,15,221,710,123,46,198
2021년05월_남_60~69세,"2,277",187,140,422,137,29,268,761,117,47,169
2021년05월_남_70~79세,"1,185",90,84,200,63,24,162,379,75,36,72
2021년05월_남_80~89세,418,29,18,83,34,6,64,113,32,8,31
2021년05월_남_90~99세,51,3,0,18,5,0,7,8,2,1,7
2021년05월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2021년05월_여_총인구수,"8,795",546,471,"2,102",512,85,865,"2,849",431,184,750
2021년05월_여_연령구간인구수,"8,795",546,471,"2,102",512,85,865,"2,849",431,184,750
2021년05월_여_0~9세,452,19,10,161,26,2,26,141,9,5,53
2021년05월_여_10~19세,494,24,13,149,28,1,38,170,14,9,48
2021년05월_여_20~29세,718,37,22,215,47,6,51,195,32,15,98
2021년05월_여_30~39세,713,30,24,245,46,2,37,233,16,6,74
2021년05월_여_40~49세,871,52,43,222,36,2,60,337,29,18,72
2021년05월_여_50~59세,"1,487",84,88,292,96,10,132,564,76,27,118
2021년05월_여_60~69세,"1,934",155,134,380,98,20,208,634,110,43,152
2021년05월_여_70~79세,"1,195",77,78,222,93,29,172,349,79,29,67
2021년05월_여_80~89세,724,54,39,167,35,10,108,184,52,22,53
2021년05월_여_90~99세,197,11,19,47,7,3,32,40,13,10,15
2021년05월_여_100세 이상,10,3,1,2,0,0,1,2,1,0,0
