카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년03월_계_총인구수,"41,232","9,284","12,217","1,130","1,430","1,188","1,211","1,712",897,"3,820","2,854","1,300","3,088","1,101"
2020년03월_계_연령구간인구수,"41,232","9,284","12,217","1,130","1,430","1,188","1,211","1,712",897,"3,820","2,854","1,300","3,088","1,101"
2020년03월_계_0~9세,"1,891",701,576,34,44,29,42,67,21,132,68,57,97,23
2020년03월_계_10~19세,"2,716",868,873,52,61,51,69,83,50,185,134,81,171,38
2020년03월_계_20~29세,"3,116",998,875,60,90,67,67,112,46,267,142,98,207,87
2020년03월_계_30~39세,"2,703",857,818,61,75,61,60,79,33,212,169,95,132,51
2020년03월_계_40~49세,"4,385","1,268","1,346",90,122,103,117,142,93,358,256,132,279,79
2020년03월_계_50~59세,"6,871","1,534","2,006",175,248,180,192,267,161,579,497,230,608,194
2020년03월_계_60~69세,"7,470","1,329","2,262",221,278,214,203,330,174,778,583,254,642,202
2020년03월_계_70~79세,"6,705","1,016","2,010",204,263,228,236,328,185,735,530,207,539,224
2020년03월_계_80~89세,"4,653",629,"1,254",199,218,224,200,266,116,498,402,132,351,164
2020년03월_계_90~99세,682,80,181,34,29,30,24,37,17,74,69,14,56,37
2020년03월_계_100세 이상,40,4,16,0,2,1,1,1,1,2,4,0,6,2
2020년03월_남_총인구수,"19,992","4,540","5,940",535,703,561,577,811,463,"1,827","1,366",622,"1,514",533
2020년03월_남_연령구간인구수,"19,992","4,540","5,940",535,703,561,577,811,463,"1,827","1,366",622,"1,514",533
2020년03월_남_0~9세,979,363,307,18,22,11,23,28,11,74,32,31,48,11
2020년03월_남_10~19세,"1,380",415,456,30,37,28,39,46,26,97,68,36,82,20
2020년03월_남_20~29세,"1,752",559,487,33,44,36,37,63,28,158,81,60,123,43
2020년03월_남_30~39세,"1,455",435,450,32,49,26,34,42,21,111,88,55,75,37
2020년03월_남_40~49세,"2,481",635,761,59,74,61,77,83,61,225,156,75,164,50
2020년03월_남_50~59세,"3,818",815,"1,109",101,147,112,112,143,106,335,304,107,322,105
2020년03월_남_60~69세,"3,720",653,"1,091",122,154,108,102,186,88,368,281,131,331,105
2020년03월_남_70~79세,"2,806",436,845,84,103,102,89,134,81,295,216,86,237,98
2020년03월_남_80~89세,"1,455",213,396,49,70,65,60,73,38,151,125,41,118,56
2020년03월_남_90~99세,141,16,33,7,3,12,4,13,3,13,15,0,14,8
2020년03월_남_100세 이상,5,0,5,0,0,0,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"21,240","4,744","6,277",595,727,627,634,901,434,"1,993","1,488",678,"1,574",568
2020년03월_여_연령구간인구수,"21,240","4,744","6,277",595,727,627,634,901,434,"1,993","1,488",678,"1,574",568
2020년03월_여_0~9세,912,338,269,16,22,18,19,39,10,58,36,26,49,12
2020년03월_여_10~19세,"1,336",453,417,22,24,23,30,37,24,88,66,45,89,18
2020년03월_여_20~29세,"1,364",439,388,27,46,31,30,49,18,109,61,38,84,44
2020년03월_여_30~39세,"1,248",422,368,29,26,35,26,37,12,101,81,40,57,14
2020년03월_여_40~49세,"1,904",633,585,31,48,42,40,59,32,133,100,57,115,29
2020년03월_여_50~59세,"3,053",719,897,74,101,68,80,124,55,244,193,123,286,89
2020년03월_여_60~69세,"3,750",676,"1,171",99,124,106,101,144,86,410,302,123,311,97
2020년03월_여_70~79세,"3,899",580,"1,165",120,160,126,147,194,104,440,314,121,302,126
2020년03월_여_80~89세,"3,198",416,858,150,148,159,140,193,78,347,277,91,233,108
2020년03월_여_90~99세,541,64,148,27,26,18,20,24,14,61,54,14,42,29
2020년03월_여_100세 이상,35,4,11,0,2,1,1,1,1,2,4,0,6,2
