카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년02월_계_총인구수,"101,967","11,106","4,240","3,921","3,270","2,181","3,113","1,169","4,260","6,149","4,438","3,057","29,831","9,119","4,895","6,907","4,311"
2020년02월_계_연령구간인구수,"101,967","11,106","4,240","3,921","3,270","2,181","3,113","1,169","4,260","6,149","4,438","3,057","29,831","9,119","4,895","6,907","4,311"
2020년02월_계_0~9세,"5,865",405,105,104,83,66,68,14,142,285,79,82,"2,781",665,167,553,266
2020년02월_계_10~19세,"6,879",522,153,183,91,84,91,34,169,240,151,91,"3,069",904,298,574,225
2020년02월_계_20~29세,"10,463","1,028",348,260,201,107,207,69,276,"1,075",261,213,"3,618","1,145",522,710,423
2020년02월_계_30~39세,"9,663",846,309,235,194,99,162,53,246,493,261,206,"3,848",954,412,869,476
2020년02월_계_40~49세,"13,002","1,351",372,351,303,172,259,67,410,525,416,260,"4,961","1,398",573,"1,069",515
2020년02월_계_50~59세,"18,408","2,292",837,695,590,414,590,264,729,923,815,591,"5,215","1,614",918,"1,124",797
2020년02월_계_60~69세,"17,895","2,235",987,929,763,542,789,276,938,"1,097","1,058",801,"3,575","1,238",942,973,752
2020년02월_계_70~79세,"12,259","1,561",697,698,619,381,572,212,834,933,830,490,"1,744",772,683,695,538
2020년02월_계_80~89세,"6,763",785,380,423,390,281,333,160,458,519,507,292,927,382,339,312,275
2020년02월_계_90~99세,731,78,50,42,36,34,37,19,57,56,57,30,88,42,40,22,43
2020년02월_계_100세 이상,39,3,2,1,0,1,5,1,1,3,3,1,5,5,1,6,1
2020년02월_남_총인구수,"51,828","5,820","2,201","1,929","1,703","1,088","1,584",590,"2,159","3,457","2,286","1,609","14,700","4,533","2,420","3,439","2,310"
2020년02월_남_연령구간인구수,"51,828","5,820","2,201","1,929","1,703","1,088","1,584",590,"2,159","3,457","2,286","1,609","14,700","4,533","2,420","3,439","2,310"
2020년02월_남_0~9세,"2,984",217,54,56,45,43,33,9,77,147,36,45,"1,397",339,86,264,136
2020년02월_남_10~19세,"3,718",304,89,92,56,49,53,17,94,128,82,45,"1,642",479,145,322,121
2020년02월_남_20~29세,"6,210",585,215,161,136,59,121,38,169,880,156,130,"2,025",619,283,377,256
2020년02월_남_30~39세,"5,281",479,192,137,115,55,97,27,131,289,161,133,"1,991",484,245,463,282
2020년02월_남_40~49세,"7,125",795,237,207,189,107,167,44,251,329,256,171,"2,437",733,324,561,317
2020년02월_남_50~59세,"9,744","1,306",439,377,351,226,328,145,405,485,463,339,"2,550",795,476,580,479
2020년02월_남_60~69세,"8,958","1,148",500,457,412,282,397,157,455,587,554,417,"1,684",635,449,456,368
2020년02월_남_70~79세,"5,398",695,331,296,269,171,265,89,390,426,390,227,699,306,300,293,251
2020년02월_남_80~89세,"2,229",269,132,138,123,91,111,60,168,173,176,93,252,137,103,111,92
2020년02월_남_90~99세,168,21,11,8,7,5,11,4,19,12,11,8,22,5,9,7,8
2020년02월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년02월_여_총인구수,"50,139","5,286","2,039","1,992","1,567","1,093","1,529",579,"2,101","2,692","2,152","1,448","15,131","4,586","2,475","3,468","2,001"
2020년02월_여_연령구간인구수,"50,139","5,286","2,039","1,992","1,567","1,093","1,529",579,"2,101","2,692","2,152","1,448","15,131","4,586","2,475","3,468","2,001"
2020년02월_여_0~9세,"2,881",188,51,48,38,23,35,5,65,138,43,37,"1,384",326,81,289,130
2020년02월_여_10~19세,"3,161",218,64,91,35,35,38,17,75,112,69,46,"1,427",425,153,252,104
2020년02월_여_20~29세,"4,253",443,133,99,65,48,86,31,107,195,105,83,"1,593",526,239,333,167
2020년02월_여_30~39세,"4,382",367,117,98,79,44,65,26,115,204,100,73,"1,857",470,167,406,194
2020년02월_여_40~49세,"5,877",556,135,144,114,65,92,23,159,196,160,89,"2,524",665,249,508,198
2020년02월_여_50~59세,"8,664",986,398,318,239,188,262,119,324,438,352,252,"2,665",819,442,544,318
2020년02월_여_60~69세,"8,937","1,087",487,472,351,260,392,119,483,510,504,384,"1,891",603,493,517,384
2020년02월_여_70~79세,"6,861",866,366,402,350,210,307,123,444,507,440,263,"1,045",466,383,402,287
2020년02월_여_80~89세,"4,534",516,248,285,267,190,222,100,290,346,331,199,675,245,236,201,183
2020년02월_여_90~99세,563,57,39,34,29,29,26,15,38,44,46,22,66,37,31,15,35
2020년02월_여_100세 이상,26,2,1,1,0,1,4,1,1,2,2,0,4,4,1,1,1
