,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년02월_계_총인구수,"27,624","10,228","1,552","2,018","1,722","1,736","1,423","1,973","2,195","1,295","1,128","2,354"
2021년02월_계_연령구간인구수,"27,624","10,228","1,552","2,018","1,722","1,736","1,423","1,973","2,195","1,295","1,128","2,354"
2021년02월_계_0~9세,"1,479",842,61,67,62,47,56,74,115,36,53,66
2021년02월_계_10~19세,"2,212","1,324",96,100,87,68,73,119,141,35,48,121
2021년02월_계_20~29세,"2,043","1,039",97,105,89,95,79,116,127,98,74,124
2021년02월_계_30~39세,"1,946",973,102,100,109,109,104,94,121,69,63,102
2021년02월_계_40~49세,"3,277","1,617",137,205,185,136,119,189,208,125,122,234
2021년02월_계_50~59세,"4,480","1,527",273,338,263,315,245,356,412,199,153,399
2021년02월_계_60~69세,"4,864","1,338",304,402,331,411,274,439,432,259,209,465
2021년02월_계_70~79세,"4,164",954,255,394,329,290,252,339,386,262,216,487
2021년02월_계_80~89세,"2,753",525,198,268,238,234,203,210,214,183,176,304
2021년02월_계_90~99세,378,84,24,36,27,29,17,37,37,25,12,50
2021년02월_계_100세 이상,28,5,5,3,2,2,1,0,2,4,2,2
2021년02월_남_총인구수,"13,437","4,964",744,988,850,858,706,970,"1,051",632,530,"1,144"
2021년02월_남_연령구간인구수,"13,437","4,964",744,988,850,858,706,970,"1,051",632,530,"1,144"
2021년02월_남_0~9세,755,446,28,34,29,23,29,31,60,11,30,34
2021년02월_남_10~19세,"1,145",673,48,53,46,38,41,69,72,21,24,60
2021년02월_남_20~29세,"1,139",562,60,53,58,55,44,64,80,60,34,69
2021년02월_남_30~39세,943,436,43,56,66,66,53,48,50,38,30,57
2021년02월_남_40~49세,"1,854",842,76,144,112,89,75,110,108,77,78,143
2021년02월_남_50~59세,"2,427",801,157,178,150,165,145,179,225,119,89,219
2021년02월_남_60~69세,"2,478",637,161,228,168,230,139,237,219,128,102,229
2021년02월_남_70~79세,"1,711",378,112,149,143,119,106,145,159,103,91,206
2021년02월_남_80~89세,885,170,54,87,72,65,70,74,65,65,51,112
2021년02월_남_90~99세,100,19,5,6,6,8,4,13,13,10,1,15
2021년02월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년02월_여_총인구수,"14,187","5,264",808,"1,030",872,878,717,"1,003","1,144",663,598,"1,210"
2021년02월_여_연령구간인구수,"14,187","5,264",808,"1,030",872,878,717,"1,003","1,144",663,598,"1,210"
2021년02월_여_0~9세,724,396,33,33,33,24,27,43,55,25,23,32
2021년02월_여_10~19세,"1,067",651,48,47,41,30,32,50,69,14,24,61
2021년02월_여_20~29세,904,477,37,52,31,40,35,52,47,38,40,55
2021년02월_여_30~39세,"1,003",537,59,44,43,43,51,46,71,31,33,45
2021년02월_여_40~49세,"1,423",775,61,61,73,47,44,79,100,48,44,91
2021년02월_여_50~59세,"2,053",726,116,160,113,150,100,177,187,80,64,180
2021년02월_여_60~69세,"2,386",701,143,174,163,181,135,202,213,131,107,236
2021년02월_여_70~79세,"2,453",576,143,245,186,171,146,194,227,159,125,281
2021년02월_여_80~89세,"1,868",355,144,181,166,169,133,136,149,118,125,192
2021년02월_여_90~99세,278,65,19,30,21,21,13,24,24,15,11,35
2021년02월_여_100세 이상,28,5,5,3,2,2,1,0,2,4,2,2
