카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년12월_계_총인구수,"341,920","7,684","10,673","9,821","13,001","6,572","13,210","12,460","7,492","14,171","14,038","4,183","21,729","14,949","15,919","18,274","15,214","43,500","11,343","21,359","29,482","18,878","17,968"
2020년12월_계_연령구간인구수,"341,920","7,684","10,673","9,821","13,001","6,572","13,210","12,460","7,492","14,171","14,038","4,183","21,729","14,949","15,919","18,274","15,214","43,500","11,343","21,359","29,482","18,878","17,968"
2020년12월_계_0~9세,"25,193",282,"1,038",890,411,227,767,914,159,539,696,194,"2,284",688,855,873,747,"3,808",644,"2,486","2,572","3,084","1,035"
2020년12월_계_10~19세,"26,566",440,838,650,703,403,902,"1,032",364,839,983,255,"2,302",941,942,"1,287",920,"3,707",664,"2,675","2,968","1,469","1,282"
2020년12월_계_20~29세,"41,684",883,"1,004","1,105","1,886",804,"1,538","1,636","1,278","1,848","1,762",612,"2,269","1,980","2,155","2,383","1,884","5,298","1,443","2,176","3,871","2,019","1,850"
2020년12월_계_30~39세,"43,821",685,"1,441","1,544","1,468",565,"1,542","1,541","1,045","1,424","1,575",461,"2,858","1,566","1,918","1,773","1,597","5,709","1,399","3,129","4,168","4,608","1,805"
2020년12월_계_40~49세,"51,410",969,"1,844","1,357","1,732",862,"1,908","1,951",996,"1,733","1,997",496,"3,988","1,825","2,059","2,279","1,953","6,853","1,463","4,222","4,947","3,500","2,476"
2020년12월_계_50~59세,"56,998","1,358","1,547","1,524","2,573","1,224","2,221","2,190","1,296","2,581","2,361",727,"3,298","2,951","2,981","3,558","2,802","7,041","2,203","2,872","4,652","1,742","3,296"
2020년12월_계_60~69세,"51,418","1,417","1,412","1,443","2,316","1,275","2,111","1,675","1,252","2,648","2,468",727,"2,713","2,829","2,714","3,284","2,789","6,271","1,939","1,969","3,591","1,513","3,062"
2020년12월_계_70~79세,"30,211","1,064","1,029",879,"1,326",812,"1,469",976,732,"1,738","1,464",469,"1,389","1,507","1,568","1,878","1,721","3,197","1,108","1,265","1,896",676,"2,048"
2020년12월_계_80~89세,"13,013",524,455,381,512,367,677,481,333,736,640,219,547,598,656,871,718,"1,426",420,505,736,230,981
2020년12월_계_90~99세,"1,481",57,54,46,65,29,68,55,32,74,81,23,77,59,69,83,81,183,55,58,73,35,124
2020년12월_계_100세 이상,125,5,11,2,9,4,7,9,5,11,11,0,4,5,2,5,2,7,5,2,8,2,9
2020년12월_남_총인구수,"168,443","3,827","5,047","4,840","6,582","3,142","6,321","6,159","3,757","7,022","6,761","2,222","10,682","7,424","7,998","8,816","7,640","21,336","5,734","10,391","14,592","9,330","8,820"
2020년12월_남_연령구간인구수,"168,443","3,827","5,047","4,840","6,582","3,142","6,321","6,159","3,757","7,022","6,761","2,222","10,682","7,424","7,998","8,816","7,640","21,336","5,734","10,391","14,592","9,330","8,820"
2020년12월_남_0~9세,"12,867",149,536,472,212,113,396,473,85,305,340,90,"1,143",337,442,434,383,"1,989",323,"1,248","1,327","1,563",507
2020년12월_남_10~19세,"13,930",243,446,340,383,224,500,587,203,449,495,146,"1,179",492,498,678,497,"1,941",357,"1,330","1,527",745,670
2020년12월_남_20~29세,"22,307",494,526,546,984,459,827,889,594,"1,010",948,402,"1,236","1,084","1,180","1,305","1,025","2,831",814,"1,114","2,064",944,"1,031"
2020년12월_남_30~39세,"23,113",404,702,830,826,311,810,769,612,825,848,276,"1,357",897,"1,081",955,912,"2,919",775,"1,525","2,161","2,356",962
