카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년02월_계_총인구수,"229,677","17,914","10,380","7,748","19,890","16,125","14,461","10,255","12,455","18,154","28,552","8,871","6,829","9,288","21,062","13,372","14,321"
2020년02월_계_연령구간인구수,"229,677","17,914","10,380","7,748","19,890","16,125","14,461","10,255","12,455","18,154","28,552","8,871","6,829","9,288","21,062","13,372","14,321"
2020년02월_계_0~9세,"14,093","1,048",438,232,736,"1,397","1,001",786,822,922,"2,908",571,259,462,"1,188",832,491
2020년02월_계_10~19세,"16,314","1,356",628,273,"1,279",896,"1,339",806,901,901,"3,022",534,311,507,"1,186","1,537",838
2020년02월_계_20~29세,"33,036","2,629","1,588",952,"4,077","2,438","1,878","1,594","1,840","2,796","3,038","1,032",967,"1,344","2,795","1,821","2,247"
2020년02월_계_30~39세,"38,197","2,849","1,822","1,049","3,165","3,679","2,132","1,879","2,043","3,607","3,849","1,533","1,097","1,709","4,054","1,548","2,182"
2020년02월_계_40~49세,"36,233","2,839","1,470","1,165","2,850","2,675","2,398","1,591","1,924","2,575","5,129","1,249",914,"1,402","3,395","2,527","2,130"
2020년02월_계_50~59세,"36,688","2,929","1,536","1,681","3,116","2,166","2,347","1,557","2,003","3,028","4,420","1,420","1,137","1,294","3,263","2,246","2,545"
2020년02월_계_60~69세,"27,716","2,181","1,436","1,332","2,323","1,563","1,699","1,013","1,519","2,225","2,896","1,308","1,041","1,190","2,674","1,357","1,959"
2020년02월_계_70~79세,"17,207","1,329",929,689,"1,557",845,"1,055",640,950,"1,319","1,889",778,646,872,"1,641",809,"1,259"
2020년02월_계_80~89세,"8,276",594,431,279,648,376,524,322,370,606,"1,137",370,365,416,681,606,551
2020년02월_계_90~99세,"1,555",131,80,63,106,73,75,54,70,132,228,62,70,78,152,83,98
2020년02월_계_100세 이상,362,29,22,33,33,17,13,13,13,43,36,14,22,14,33,6,21
2020년02월_남_총인구수,"110,773","8,716","5,007","4,724","9,392","7,781","6,807","4,896","5,961","8,789","13,368","4,167","3,225","4,300","10,157","6,444","7,039"
2020년02월_남_연령구간인구수,"110,773","8,716","5,007","4,724","9,392","7,781","6,807","4,896","5,961","8,789","13,368","4,167","3,225","4,300","10,157","6,444","7,039"
2020년02월_남_0~9세,"7,294",545,231,114,363,717,507,400,425,476,"1,508",309,130,239,640,419,271
2020년02월_남_10~19세,"8,335",749,324,152,676,453,536,425,473,477,"1,537",276,154,236,611,786,470
2020년02월_남_20~29세,"15,856","1,333",835,457,"1,691","1,038",885,750,867,"1,273","1,482",497,509,683,"1,385",920,"1,251"
2020년02월_남_30~39세,"19,028","1,467",929,541,"1,683","1,803","1,082",931,"1,016","1,710","1,706",777,578,864,"2,020",737,"1,184"
2020년02월_남_40~49세,"17,849","1,392",745,767,"1,441","1,388","1,170",761,944,"1,291","2,323",612,449,659,"1,658","1,200","1,049"
2020년02월_남_50~59세,"18,135","1,404",710,"1,202","1,550","1,059","1,164",748,991,"1,508","2,129",647,534,575,"1,573","1,134","1,207"
2020년02월_남_60~69세,"13,165","1,024",648,914,"1,060",746,797,471,690,"1,122","1,372",590,462,503,"1,239",668,859
2020년02월_남_70~79세,"7,450",580,420,395,644,388,460,270,399,615,775,333,249,361,717,325,519
2020년02월_남_80~89세,"3,068",182,139,136,245,162,182,119,137,251,438,114,133,155,259,223,193
2020년02월_남_90~99세,491,35,19,29,29,23,20,19,14,52,91,10,21,22,47,30,30
2020년02월_남_100세 이상,102,5,7,17,10,4,4,2,5,14,7,2,6,3,8,2,6
2020년02월_여_총인구수,"118,904","9,198","5,373","3,024","10,498","8,344","7,654","5,359","6,494","9,365","15,184","4,704","3,604","4,988","10,905","6,928","7,282"
2020년02월_여_연령구간인구수,"118,904","9,198","5,373","3,024","10,498","8,344","7,654","5,359","6,494","9,365","15,184","4,704","3,604","4,988","10,905","6,928","7,282"
2020년02월_여_0~9세,"6,799",503,207,118,373,680,494,386,397,446,"1,400",262,129,223,548,413,220
2020년02월_여_10~19세,"7,979",607,304,121,603,443,803,381,428,424,"1,485",258,157,271,575,751,368
2020년02월_여_20~29세,"17,180","1,296",753,495,"2,386","1,400",993,844,973,"1,523","1,556",535,458,661,"1,410",901,996
2020년02월_여_30~39세,"19,169","1,382",893,508,"1,482","1,876","1,050",948,"1,027","1,897","2,143",756,519,845,"2,034",811,998
2020년02월_여_40~49세,"18,384","1,447",725,398,"1,409","1,287","1,228",830,980,"1,284","2,806",637,465,743,"1,737","1,327","1,081"
2020년02월_여_50~59세,"18,553","1,525",826,479,"1,566","1,107","1,183",809,"1,012","1,520","2,291",773,603,719,"1,690","1,112","1,338"
2020년02월_여_60~69세,"14,551","1,157",788,418,"1,263",817,902,542,829,"1,103","1,524",718,579,687,"1,435",689,"1,100"
2020년02월_여_70~79세,"9,757",749,509,294,913,457,595,370,551,704,"1,114",445,397,511,924,484,740
2020년02월_여_80~89세,"5,208",412,292,143,403,214,342,203,233,355,699,256,232,261,422,383,358
2020년02월_여_90~99세,"1,064",96,61,34,77,50,55,35,56,80,137,52,49,56,105,53,68
2020년02월_여_100세 이상,260,24,15,16,23,13,9,11,8,29,29,12,16,11,25,4,15
