카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년05월_계_총인구수,"25,851","10,963","1,284","1,522","2,576","2,729","2,310","1,494","2,973"
2020년05월_계_연령구간인구수,"25,851","10,963","1,284","1,522","2,576","2,729","2,310","1,494","2,973"
2020년05월_계_0~9세,"1,183",689,40,54,57,124,73,54,92
2020년05월_계_10~19세,"1,928","1,115",70,72,156,181,114,64,156
2020년05월_계_20~29세,"2,030","1,078",80,84,159,196,120,107,206
2020년05월_계_30~39세,"1,749",924,60,74,120,182,145,97,147
2020년05월_계_40~49세,"3,041","1,503",147,157,254,346,177,168,289
2020년05월_계_50~59세,"4,705","1,954",248,278,586,456,387,228,568
2020년05월_계_60~69세,"4,500","1,638",262,286,519,491,445,274,585
2020년05월_계_70~79세,"3,884","1,247",207,306,388,420,474,290,552
2020년05월_계_80~89세,"2,463",703,150,189,282,287,325,183,344
2020년05월_계_90~99세,348,107,20,20,52,42,48,28,31
2020년05월_계_100세 이상,20,5,0,2,3,4,2,1,3
2020년05월_남_총인구수,"12,551","5,318",640,746,"1,253","1,358","1,081",716,"1,439"
2020년05월_남_연령구간인구수,"12,551","5,318",640,746,"1,253","1,358","1,081",716,"1,439"
2020년05월_남_0~9세,585,331,21,28,32,62,36,27,48
2020년05월_남_10~19세,"1,029",605,38,32,76,102,62,40,74
2020년05월_남_20~29세,"1,068",560,43,40,94,103,58,55,115
2020년05월_남_30~39세,938,458,29,39,72,109,84,59,88
2020년05월_남_40~49세,"1,669",763,87,101,144,199,105,97,173
2020년05월_남_50~59세,"2,589","1,010",148,170,322,269,230,123,317
2020년05월_남_60~69세,"2,194",799,134,141,252,241,206,133,288
2020년05월_남_70~79세,"1,591",526,84,124,150,172,196,114,225
2020년05월_남_80~89세,806,239,54,66,95,91,95,61,105
2020년05월_남_90~99세,79,26,2,5,16,9,9,7,5
2020년05월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년05월_여_총인구수,"13,300","5,645",644,776,"1,323","1,371","1,229",778,"1,534"
2020년05월_여_연령구간인구수,"13,300","5,645",644,776,"1,323","1,371","1,229",778,"1,534"
2020년05월_여_0~9세,598,358,19,26,25,62,37,27,44
2020년05월_여_10~19세,899,510,32,40,80,79,52,24,82
2020년05월_여_20~29세,962,518,37,44,65,93,62,52,91
2020년05월_여_30~39세,811,466,31,35,48,73,61,38,59
2020년05월_여_40~49세,"1,372",740,60,56,110,147,72,71,116
2020년05월_여_50~59세,"2,116",944,100,108,264,187,157,105,251
2020년05월_여_60~69세,"2,306",839,128,145,267,250,239,141,297
2020년05월_여_70~79세,"2,293",721,123,182,238,248,278,176,327
2020년05월_여_80~89세,"1,657",464,96,123,187,196,230,122,239
2020년05월_여_90~99세,269,81,18,15,36,33,39,21,26
2020년05월_여_100세 이상,17,4,0,2,3,3,2,1,2
