카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년05월_계_총인구수,"44,223","9,886","3,064","3,516","1,935","1,861","2,261","3,456","5,955","1,742","1,733","1,476","4,292","3,046"
2021년05월_계_연령구간인구수,"44,223","9,886","3,064","3,516","1,935","1,861","2,261","3,456","5,955","1,742","1,733","1,476","4,292","3,046"
2021년05월_계_0~9세,"1,738",551,87,102,50,51,63,88,340,23,61,55,149,118
2021년05월_계_10~19세,"2,773",870,198,186,89,71,119,145,437,70,82,125,227,154
2021년05월_계_20~29세,"3,263",961,230,191,125,108,141,247,462,81,89,72,257,299
2021년05월_계_30~39세,"2,682",817,121,154,96,101,108,178,417,71,99,83,232,205
2021년05월_계_40~49세,"4,799","1,334",349,333,182,141,215,321,776,141,145,127,373,362
2021년05월_계_50~59세,"8,193","1,788",701,709,331,341,382,647,"1,040",288,283,252,829,602
2021년05월_계_60~69세,"9,185","1,697",632,790,446,437,520,783,"1,134",385,399,394,983,585
2021년05월_계_70~79세,"6,351","1,140",452,571,300,292,362,583,726,353,302,220,639,411
2021년05월_계_80~89세,"4,436",633,247,404,276,270,281,391,524,273,234,123,509,271
2021년05월_계_90~99세,784,94,45,75,40,47,69,70,96,54,39,24,92,39
2021년05월_계_100세 이상,19,1,2,1,0,2,1,3,3,3,0,1,2,0
2021년05월_남_총인구수,"22,080","4,883","1,546","1,732",944,922,"1,113","1,758","2,949",850,840,776,"2,164","1,603"
2021년05월_남_연령구간인구수,"22,080","4,883","1,546","1,732",944,922,"1,113","1,758","2,949",850,840,776,"2,164","1,603"
2021년05월_남_0~9세,903,280,43,63,31,26,38,48,155,13,28,32,78,68
2021년05월_남_10~19세,"1,507",452,110,105,55,36,55,72,242,32,47,85,125,91
2021년05월_남_20~29세,"1,946",539,130,122,68,63,95,164,280,55,46,39,152,193
2021년05월_남_30~39세,"1,480",434,63,84,54,57,65,117,210,43,57,45,129,122
2021년05월_남_40~49세,"2,667",685,182,184,103,92,121,186,431,79,82,77,222,223
2021년05월_남_50~59세,"4,511",957,397,372,178,177,216,381,551,156,168,137,465,356
2021년05월_남_60~69세,"4,770",840,335,417,237,239,269,392,576,208,215,213,527,302
2021년05월_남_70~79세,"2,768",478,187,236,131,138,159,255,323,165,126,113,292,165
2021년05월_남_80~89세,"1,360",197,86,141,74,80,84,129,160,89,62,31,154,73
2021년05월_남_90~99세,163,21,12,8,13,12,11,14,21,9,9,4,19,10
2021년05월_남_100세 이상,5,0,1,0,0,2,0,0,0,1,0,0,1,0
2021년05월_여_총인구수,"22,143","5,003","1,518","1,784",991,939,"1,148","1,698","3,006",892,893,700,"2,128","1,443"
2021년05월_여_연령구간인구수,"22,143","5,003","1,518","1,784",991,939,"1,148","1,698","3,006",892,893,700,"2,128","1,443"
2021년05월_여_0~9세,835,271,44,39,19,25,25,40,185,10,33,23,71,50
2021년05월_여_10~19세,"1,266",418,88,81,34,35,64,73,195,38,35,40,102,63
2021년05월_여_20~29세,"1,317",422,100,69,57,45,46,83,182,26,43,33,105,106
2021년05월_여_30~39세,"1,202",383,58,70,42,44,43,61,207,28,42,38,103,83
2021년05월_여_40~49세,"2,132",649,167,149,79,49,94,135,345,62,63,50,151,139
2021년05월_여_50~59세,"3,682",831,304,337,153,164,166,266,489,132,115,115,364,246
2021년05월_여_60~69세,"4,415",857,297,373,209,198,251,391,558,177,184,181,456,283
2021년05월_여_70~79세,"3,583",662,265,335,169,154,203,328,403,188,176,107,347,246
2021년05월_여_80~89세,"3,076",436,161,263,202,190,197,262,364,184,172,92,355,198
2021년05월_여_90~99세,621,73,33,67,27,35,58,56,75,45,30,20,73,29
2021년05월_여_100세 이상,14,1,1,1,0,0,1,3,3,2,0,1,1,0
