,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년07월_계_총인구수,"405,260","36,436","21,462","24,819","24,040","20,653","29,655","9,370","23,419","27,744","32,149","32,067","21,308","22,692","39,439","24,098","15,909"
2020년07월_계_연령구간인구수,"405,260","36,436","21,462","24,819","24,040","20,653","29,655","9,370","23,419","27,744","32,149","32,067","21,308","22,692","39,439","24,098","15,909"
2020년07월_계_0~9세,"29,240","3,683","1,981",965,"1,438",876,"1,939",249,"1,388","1,910","2,049","2,356","1,324","1,280","3,577","1,524","2,701"
2020년07월_계_10~19세,"30,632","3,541","1,995","1,458","1,452","1,167","1,671",323,"2,028","2,318","2,412","2,393","1,532","1,266","3,917","2,065","1,094"
2020년07월_계_20~29세,"55,650","4,419","2,899","3,292","4,168","2,919","5,109","1,440","3,343","3,702","4,217","3,888","2,675","3,995","4,717","3,113","1,754"
2020년07월_계_30~39세,"63,700","6,348","3,972","2,945","5,121","3,016","5,523","1,239","2,933","3,391","4,463","4,806","2,995","4,394","5,283","3,354","3,917"
2020년07월_계_40~49세,"63,800","6,535","3,662","3,626","4,039","3,085","4,201","1,231","3,620","4,385","4,791","4,902","3,319","3,195","6,835","3,900","2,474"
2020년07월_계_50~59세,"63,446","5,185","3,050","4,770","3,048","3,550","4,607","1,957","3,985","4,875","5,524","4,945","3,536","3,068","5,681","3,943","1,722"
2020년07월_계_60~69세,"54,744","3,972","2,513","3,976","2,560","3,065","3,681","1,606","3,484","3,910","4,825","4,950","3,400","2,940","4,938","3,517","1,407"
2020년07월_계_70~79세,"31,359","1,971",977,"2,671","1,550","2,083","2,097",878,"1,911","2,294","2,784","2,819","1,779","1,796","3,194","1,973",582
2020년07월_계_80~89세,"11,064",686,345,964,579,784,739,366,629,857,949,877,659,665,"1,137",613,215
2020년07월_계_90~99세,"1,452",89,64,122,64,91,86,58,92,94,127,122,77,87,152,85,42
2020년07월_계_100세 이상,173,7,4,30,21,17,2,23,6,8,8,9,12,6,8,11,1
2020년07월_남_총인구수,"200,163","17,817","10,550","12,473","12,247","10,043","14,351","5,093","11,682","13,764","16,091","15,662","10,434","11,123","19,063","11,917","7,853"
2020년07월_남_연령구간인구수,"200,163","17,817","10,550","12,473","12,247","10,043","14,351","5,093","11,682","13,764","16,091","15,662","10,434","11,123","19,063","11,917","7,853"
2020년07월_남_0~9세,"14,941","1,826","1,033",492,761,445,989,138,726,955,"1,014","1,215",665,647,"1,834",775,"1,426"
2020년07월_남_10~19세,"15,803","1,834","1,057",775,745,583,856,174,"1,043","1,198","1,225","1,194",808,648,"1,983","1,134",546
2020년07월_남_20~29세,"27,301","2,157","1,378","1,692","2,010","1,391","2,210",764,"1,752","1,911","2,184","1,956","1,371","1,786","2,303","1,615",821
2020년07월_남_30~39세,"32,483","3,027","2,001","1,606","2,775","1,573","2,743",727,"1,531","1,727","2,318","2,413","1,545","2,275","2,590","1,733","1,899"
2020년07월_남_40~49세,"32,763","3,214","1,843","1,929","2,233","1,572","2,144",687,"1,823","2,216","2,505","2,517","1,695","1,676","3,447","1,935","1,327"
2020년07월_남_50~59세,"31,341","2,557","1,436","2,472","1,597","1,779","2,318","1,172","1,948","2,417","2,753","2,318","1,649","1,514","2,727","1,882",802
2020년07월_남_60~69세,"25,836","1,903","1,168","1,896","1,152","1,407","1,785",867,"1,686","1,895","2,317","2,287","1,562","1,416","2,212","1,654",629
2020년07월_남_70~79세,"14,897","1,012",487,"1,193",728,942,986,415,923,"1,068","1,348","1,354",854,877,"1,452",941,317
2020년07월_남_80~89세,"4,399",266,127,388,222,320,294,128,229,352,400,369,260,268,474,226,76
2020년07월_남_90~99세,360,21,19,24,22,26,26,16,20,23,24,36,21,15,38,19,10
2020년07월_남_100세 이상,39,0,1,6,2,5,0,5,1,2,3,3,4,1,3,3,0
2020년07월_여_총인구수,"205,097","18,619","10,912","12,346","11,793","10,610","15,304","4,277","11,737","13,980","16,058","16,405","10,874","11,569","20,376","12,181","8,056"
2020년07월_여_연령구간인구수,"205,097","18,619","10,912","12,346","11,793","10,610","15,304","4,277","11,737","13,980","16,058","16,405","10,874","11,569","20,376","12,181","8,056"
2020년07월_여_0~9세,"14,299","1,857",948,473,677,431,950,111,662,955,"1,035","1,141",659,633,"1,743",749,"1,275"
2020년07월_여_10~19세,"14,829","1,707",938,683,707,584,815,149,985,"1,120","1,187","1,199",724,618,"1,934",931,548
2020년07월_여_20~29세,"28,349","2,262","1,521","1,600","2,158","1,528","2,899",676,"1,591","1,791","2,033","1,932","1,304","2,209","2,414","1,498",933
2020년07월_여_30~39세,"31,217","3,321","1,971","1,339","2,346","1,443","2,780",512,"1,402","1,664","2,145","2,393","1,450","2,119","2,693","1,621","2,018"
2020년07월_여_40~49세,"31,037","3,321","1,819","1,697","1,806","1,513","2,057",544,"1,797","2,169","2,286","2,385","1,624","1,519","3,388","1,965","1,147"
2020년07월_여_50~59세,"32,105","2,628","1,614","2,298","1,451","1,771","2,289",785,"2,037","2,458","2,771","2,627","1,887","1,554","2,954","2,061",920
2020년07월_여_60~69세,"28,908","2,069","1,345","2,080","1,408","1,658","1,896",739,"1,798","2,015","2,508","2,663","1,838","1,524","2,726","1,863",778
2020년07월_여_70~79세,"16,462",959,490,"1,478",822,"1,141","1,111",463,988,"1,226","1,436","1,465",925,919,"1,742","1,032",265
2020년07월_여_80~89세,"6,665",420,218,576,357,464,445,238,400,505,549,508,399,397,663,387,139
2020년07월_여_90~99세,"1,092",68,45,98,42,65,60,42,72,71,103,86,56,72,114,66,32
2020년07월_여_100세 이상,134,7,3,24,19,12,2,18,5,6,5,6,8,5,5,8,1
