,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년12월_계_총인구수,"63,231","11,109","11,020","10,336","13,102","9,733","7,931"
2020년12월_계_연령구간인구수,"63,231","11,109","11,020","10,336","13,102","9,733","7,931"
2020년12월_계_0~9세,"5,175",819,"1,278",631,"1,168",664,615
2020년12월_계_10~19세,"6,319",988,"1,470","1,090","1,276",623,872
2020년12월_계_20~29세,"8,732","1,644","1,205","1,674","1,863","1,314","1,032"
2020년12월_계_30~39세,"8,787","1,486","1,389","1,199","2,039","1,690",984
2020년12월_계_40~49세,"9,526","1,465","2,097","1,354","1,885","1,440","1,285"
2020년12월_계_50~59세,"11,093","2,067","1,726","2,036","2,337","1,581","1,346"
2020년12월_계_60~69세,"7,524","1,525",996,"1,240","1,435","1,406",922
2020년12월_계_70~79세,"3,722",647,546,605,649,695,580
2020년12월_계_80~89세,"1,917",373,260,404,368,277,235
2020년12월_계_90~99세,383,82,48,90,77,40,46
2020년12월_계_100세 이상,53,13,5,13,5,3,14
2020년12월_남_총인구수,"31,068","5,395","5,372","4,927","6,425","5,082","3,867"
2020년12월_남_연령구간인구수,"31,068","5,395","5,372","4,927","6,425","5,082","3,867"
2020년12월_남_0~9세,"2,700",435,649,329,631,329,327
2020년12월_남_10~19세,"3,267",493,739,561,680,340,454
2020년12월_남_20~29세,"4,597",866,641,846,949,734,561
2020년12월_남_30~39세,"4,440",731,622,596,"1,020",961,510
2020년12월_남_40~49세,"4,594",673,"1,008",610,895,789,619
2020년12월_남_50~59세,"5,386",964,881,978,"1,111",786,666
2020년12월_남_60~69세,"3,661",781,493,586,712,685,404
2020년12월_남_70~79세,"1,641",298,222,252,289,339,241
2020년12월_남_80~89세,687,135,103,143,124,107,75
2020년12월_남_90~99세,85,17,14,22,13,12,7
2020년12월_남_100세 이상,10,2,0,4,1,0,3
2020년12월_여_총인구수,"32,163","5,714","5,648","5,409","6,677","4,651","4,064"
2020년12월_여_연령구간인구수,"32,163","5,714","5,648","5,409","6,677","4,651","4,064"
2020년12월_여_0~9세,"2,475",384,629,302,537,335,288
2020년12월_여_10~19세,"3,052",495,731,529,596,283,418
2020년12월_여_20~29세,"4,135",778,564,828,914,580,471
2020년12월_여_30~39세,"4,347",755,767,603,"1,019",729,474
2020년12월_여_40~49세,"4,932",792,"1,089",744,990,651,666
2020년12월_여_50~59세,"5,707","1,103",845,"1,058","1,226",795,680
2020년12월_여_60~69세,"3,863",744,503,654,723,721,518
2020년12월_여_70~79세,"2,081",349,324,353,360,356,339
2020년12월_여_80~89세,"1,230",238,157,261,244,170,160
2020년12월_여_90~99세,298,65,34,68,64,28,39
2020년12월_여_100세 이상,43,11,5,9,4,3,11
