,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년11월_계_총인구수,"267,911","3,194","4,711","3,427","2,674","2,590","5,044","3,032","2,914","2,218","3,436","3,052","2,410","5,576","7,192","5,696","4,451","12,805","22,251","7,507","7,646","2,881","55,262","12,754","23,812","32,403","16,806","12,167"
2020년11월_계_연령구간인구수,"267,911","3,194","4,711","3,427","2,674","2,590","5,044","3,032","2,914","2,218","3,436","3,052","2,410","5,576","7,192","5,696","4,451","12,805","22,251","7,507","7,646","2,881","55,262","12,754","23,812","32,403","16,806","12,167"
2020년11월_계_0~9세,"21,046",89,579,167,65,71,153,71,103,49,104,122,120,189,364,161,229,"1,092","2,545",399,484,163,"6,765",668,"1,743","2,666","1,175",710
2020년11월_계_10~19세,"26,908",111,368,352,113,113,240,156,133,97,175,147,140,401,593,335,210,"1,133","2,112",488,661,254,"7,722","1,146","2,939","4,235","1,664",870
2020년11월_계_20~29세,"29,665",261,380,246,233,164,347,273,249,134,320,260,166,454,805,592,449,"1,402","2,520",723,"1,027",300,"6,568","1,589","2,936","4,187","1,818","1,262"
2020년11월_계_30~39세,"30,769",189,712,214,145,160,360,177,185,124,284,217,202,467,562,404,624,"1,681","3,783",769,887,253,"7,650","1,295","2,187","3,596","2,109","1,533"
2020년11월_계_40~49세,"43,550",313,724,478,250,258,522,304,276,233,497,375,280,719,964,605,593,"1,935","3,596","1,071","1,066",366,"10,923","1,830","3,927","6,139","3,163","2,143"
2020년11월_계_50~59세,"44,029",593,688,563,478,445,822,610,580,385,731,466,368,948,"1,107",955,683,"2,050","3,109","1,237","1,394",479,"7,892","2,414","4,124","5,531","3,084","2,293"
2020년11월_계_60~69세,"37,404",692,616,593,625,588,"1,133",661,639,510,722,609,503,"1,157","1,329","1,160",791,"1,790","2,596","1,399","1,244",518,"4,509","2,187","3,300","3,451","2,255","1,827"
2020년11월_계_70~79세,"22,837",559,378,452,434,414,870,482,461,392,421,537,452,842,"1,023",986,618,"1,221","1,385","1,015",622,342,"2,224","1,159","1,694","1,772","1,076","1,006"
2020년11월_계_80~89세,"10,011",323,226,308,266,305,499,259,240,249,157,273,152,339,388,437,214,443,518,351,220,178,865,401,839,729,373,459
2020년11월_계_90~99세,"1,569",59,40,54,60,64,91,35,45,42,21,41,21,48,52,57,37,55,83,51,40,25,138,65,120,92,77,56
2020년11월_계_100세 이상,123,5,0,0,5,8,7,4,3,3,4,5,6,12,5,4,3,3,4,4,1,3,6,0,3,5,12,8
2020년11월_남_총인구수,"135,332","1,644","2,400","1,757","1,353","1,294","2,485","1,548","1,473","1,159","1,946","1,554","1,174","2,769","3,591","2,782","2,262","6,455","11,315","3,758","3,845","1,479","27,506","6,375","11,512","16,159","9,147","6,590"
2020년11월_남_연령구간인구수,"135,332","1,644","2,400","1,757","1,353","1,294","2,485","1,548","1,473","1,159","1,946","1,554","1,174","2,769","3,591","2,782","2,262","6,455","11,315","3,758","3,845","1,479","27,506","6,375","11,512","16,159","9,147","6,590"
2020년11월_남_0~9세,"10,726",44,294,84,33,41,74,34,47,30,53,69,59,98,191,84,129,581,"1,289",202,244,78,"3,438",343,859,"1,354",615,359
2020년11월_남_10~19세,"13,881",58,181,191,64,54,138,86,64,54,101,72,69,201,303,168,113,584,"1,122",258,332,142,"3,998",616,"1,451","2,154",850,457
2020년11월_남_20~29세,"16,254",168,218,145,136,101,193,163,153,83,197,152,77,270,466,343,216,749,"1,336",391,552,184,"3,434",900,"1,608","2,262","1,024",733
2020년11월_남_30~39세,"16,060",122,350,110,88,97,192,107,96,70,184,122,103,237,291,219,365,873,"1,970",435,494,144,"3,666",703,"1,069","1,824","1,226",903
2020년11월_남_40~49세,"22,864",192,408,277,161,161,316,174,156,143,328,229,160,381,515,338,335,"1,038","1,897",609,531,187,"5,379",888,"1,839","3,071","1,830","1,321"
2020년11월_남_50~59세,"23,075",338,374,335,263,251,467,330,299,233,413,268,191,506,573,486,353,"1,065","1,596",631,662,236,"4,077","1,187","2,069","2,784","1,771","1,317"
2020년11월_남_60~69세,"18,420",346,320,310,326,299,537,342,340,267,409,299,240,549,607,545,362,831,"1,248",640,642,257,"2,220","1,066","1,597","1,678","1,210",933
2020년11월_남_70~79세,"10,271",254,178,190,199,182,379,228,221,189,198,245,210,374,486,416,299,542,661,438,303,165,986,520,729,765,480,434
2020년11월_남_80~89세,"3,417",108,74,106,71,90,167,82,84,77,56,86,59,140,148,168,77,180,180,137,81,77,278,140,259,242,124,126
2020년11월_남_90~99세,327,12,3,9,12,16,21,2,13,12,5,12,4,8,10,13,12,11,16,15,3,7,27,12,32,22,11,7
2020년11월_남_100세 이상,37,2,0,0,0,2,1,0,0,1,2,0,2,5,1,2,1,1,0,2,1,2,3,0,0,3,6,0
2020년11월_여_총인구수,"132,579","1,550","2,311","1,670","1,321","1,296","2,559","1,484","1,441","1,059","1,490","1,498","1,236","2,807","3,601","2,914","2,189","6,350","10,936","3,749","3,801","1,402","27,756","6,379","12,300","16,244","7,659","5,577"
2020년11월_여_연령구간인구수,"132,579","1,550","2,311","1,670","1,321","1,296","2,559","1,484","1,441","1,059","1,490","1,498","1,236","2,807","3,601","2,914","2,189","6,350","10,936","3,749","3,801","1,402","27,756","6,379","12,300","16,244","7,659","5,577"
2020년11월_여_0~9세,"10,320",45,285,83,32,30,79,37,56,19,51,53,61,91,173,77,100,511,"1,256",197,240,85,"3,327",325,884,"1,312",560,351
2020년11월_여_10~19세,"13,027",53,187,161,49,59,102,70,69,43,74,75,71,200,290,167,97,549,990,230,329,112,"3,724",530,"1,488","2,081",814,413
2020년11월_여_20~29세,"13,411",93,162,101,97,63,154,110,96,51,123,108,89,184,339,249,233,653,"1,184",332,475,116,"3,134",689,"1,328","1,925",794,529
2020년11월_여_30~39세,"14,709",67,362,104,57,63,168,70,89,54,100,95,99,230,271,185,259,808,"1,813",334,393,109,"3,984",592,"1,118","1,772",883,630
2020년11월_여_40~49세,"20,686",121,316,201,89,97,206,130,120,90,169,146,120,338,449,267,258,897,"1,699",462,535,179,"5,544",942,"2,088","3,068","1,333",822
2020년11월_여_50~59세,"20,954",255,314,228,215,194,355,280,281,152,318,198,177,442,534,469,330,985,"1,513",606,732,243,"3,815","1,227","2,055","2,747","1,313",976
2020년11월_여_60~69세,"18,984",346,296,283,299,289,596,319,299,243,313,310,263,608,722,615,429,959,"1,348",759,602,261,"2,289","1,121","1,703","1,773","1,045",894
2020년11월_여_70~79세,"12,566",305,200,262,235,232,491,254,240,203,223,292,242,468,537,570,319,679,724,577,319,177,"1,238",639,965,"1,007",596,572
2020년11월_여_80~89세,"6,594",215,152,202,195,215,332,177,156,172,101,187,93,199,240,269,137,263,338,214,139,101,587,261,580,487,249,333
2020년11월_여_90~99세,"1,242",47,37,45,48,48,70,33,32,30,16,29,17,40,42,44,25,44,67,36,37,18,111,53,88,70,66,49
2020년11월_여_100세 이상,86,3,0,0,5,6,6,4,3,2,2,5,4,7,4,2,2,2,4,2,0,1,3,0,3,2,6,8
