카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년10월_계_총인구수,"37,823","15,452","5,010","3,408","2,341","2,852","1,277","2,108","1,091","1,454","2,830"
2020년10월_계_연령구간인구수,"37,823","15,452","5,010","3,408","2,341","2,852","1,277","2,108","1,091","1,454","2,830"
2020년10월_계_0~9세,"2,031","1,326",163,138,82,80,38,37,18,46,103
2020년10월_계_10~19세,"2,834","1,618",305,213,113,130,57,108,37,75,178
2020년10월_계_20~29세,"3,096","1,604",336,221,137,209,65,139,63,97,225
2020년10월_계_30~39세,"2,816","1,582",305,199,138,165,75,94,42,62,154
2020년10월_계_40~49세,"4,165","2,144",418,344,205,270,102,155,100,145,282
2020년10월_계_50~59세,"6,311","2,466",856,565,345,503,210,392,259,245,470
2020년10월_계_60~69세,"6,566","2,170",992,675,498,564,267,376,247,231,546
2020년10월_계_70~79세,"5,477","1,484",907,566,422,478,213,412,179,267,549
2020년10월_계_80~89세,"3,885",884,636,424,334,375,221,357,125,234,295
2020년10월_계_90~99세,617,163,90,58,64,77,27,38,20,52,28
2020년10월_계_100세 이상,25,11,2,5,3,1,2,0,1,0,0
2020년10월_남_총인구수,"18,373","7,521","2,429","1,642","1,130","1,401",605,"1,005",548,707,"1,385"
2020년10월_남_연령구간인구수,"18,373","7,521","2,429","1,642","1,130","1,401",605,"1,005",548,707,"1,385"
2020년10월_남_0~9세,"1,043",668,92,57,44,51,20,17,7,28,59
2020년10월_남_10~19세,"1,493",838,176,110,61,76,25,51,23,36,97
2020년10월_남_20~29세,"1,737",877,191,120,87,118,31,87,35,55,136
2020년10월_남_30~39세,"1,481",783,163,108,85,101,39,51,32,32,87
2020년10월_남_40~49세,"2,294","1,067",241,220,127,157,68,106,59,82,167
2020년10월_남_50~59세,"3,423","1,301",458,312,188,277,117,225,146,153,246
2020년10월_남_60~69세,"3,284","1,044",510,336,270,297,136,197,129,120,245
2020년10월_남_70~79세,"2,310",637,370,235,168,215,98,160,72,110,245
2020년10월_남_80~89세,"1,184",274,210,128,91,93,65,105,39,81,98
2020년10월_남_90~99세,120,31,18,14,9,16,5,6,6,10,5
2020년10월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년10월_여_총인구수,"19,450","7,931","2,581","1,766","1,211","1,451",672,"1,103",543,747,"1,445"
2020년10월_여_연령구간인구수,"19,450","7,931","2,581","1,766","1,211","1,451",672,"1,103",543,747,"1,445"
2020년10월_여_0~9세,988,658,71,81,38,29,18,20,11,18,44
2020년10월_여_10~19세,"1,341",780,129,103,52,54,32,57,14,39,81
2020년10월_여_20~29세,"1,359",727,145,101,50,91,34,52,28,42,89
2020년10월_여_30~39세,"1,335",799,142,91,53,64,36,43,10,30,67
2020년10월_여_40~49세,"1,871","1,077",177,124,78,113,34,49,41,63,115
2020년10월_여_50~59세,"2,888","1,165",398,253,157,226,93,167,113,92,224
2020년10월_여_60~69세,"3,282","1,126",482,339,228,267,131,179,118,111,301
2020년10월_여_70~79세,"3,167",847,537,331,254,263,115,252,107,157,304
2020년10월_여_80~89세,"2,701",610,426,296,243,282,156,252,86,153,197
2020년10월_여_90~99세,497,132,72,44,55,61,22,32,14,42,23
2020년10월_여_100세 이상,21,10,2,3,3,1,1,0,1,0,0
