카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년09월_계_총인구수,"113,870","32,877","24,361","31,071","4,097","5,364","3,382","9,579","3,139"
2021년09월_계_연령구간인구수,"113,870","32,877","24,361","31,071","4,097","5,364","3,382","9,579","3,139"
2021년09월_계_0~9세,"8,855","2,198","1,745","4,161",76,127,63,286,199
2021년09월_계_10~19세,"11,400","3,274","3,142","3,798",105,171,114,625,171
2021년09월_계_20~29세,"11,628","3,731","2,871","2,960",276,389,215,987,199
2021년09월_계_30~39세,"13,960","3,292","2,368","6,595",242,331,193,641,298
2021년09월_계_40~49세,"20,524","5,284","5,119","7,259",351,469,337,"1,303",402
2021년09월_계_50~59세,"19,856","6,259","4,938","3,344",771,"1,082",704,"2,206",552
2021년09월_계_60~69세,"14,746","4,696","2,482","1,762","1,047","1,411",900,"1,814",634
2021년09월_계_70~79세,"7,649","2,427","1,065",748,690,783,532,"1,035",369
2021년09월_계_80~89세,"4,575","1,506",554,392,471,507,266,611,268
2021년09월_계_90~99세,656,198,77,51,67,93,58,68,44
2021년09월_계_100세 이상,21,12,0,1,1,1,0,3,3
2021년09월_남_총인구수,"59,311","16,482","12,651","16,764","2,206","2,735","1,846","4,987","1,640"
2021년09월_남_연령구간인구수,"59,311","16,482","12,651","16,764","2,206","2,735","1,846","4,987","1,640"
2021년09월_남_0~9세,"4,592","1,123",913,"2,161",38,66,33,144,114
2021년09월_남_10~19세,"5,967","1,681","1,635","2,005",63,86,60,339,98
2021년09월_남_20~29세,"6,641","2,151","1,677","1,539",157,256,139,595,127
2021년09월_남_30~39세,"7,589","1,764","1,213","3,571",149,208,126,399,159
2021년09월_남_40~49세,"11,044","2,689","2,539","4,141",245,293,204,702,231
2021년09월_남_50~59세,"10,740","3,178","2,670","2,011",453,546,408,"1,177",297
2021년09월_남_60~69세,"7,705","2,346","1,330",878,598,744,500,963,346
2021년09월_남_70~79세,"3,385","1,009",470,326,320,371,262,457,170
2021년09월_남_80~89세,"1,487",489,180,121,166,154,95,196,86
2021년09월_남_90~99세,159,51,24,11,17,11,19,15,11
2021년09월_남_100세 이상,2,1,0,0,0,0,0,0,1
2021년09월_여_총인구수,"54,559","16,395","11,710","14,307","1,891","2,629","1,536","4,592","1,499"
2021년09월_여_연령구간인구수,"54,559","16,395","11,710","14,307","1,891","2,629","1,536","4,592","1,499"
2021년09월_여_0~9세,"4,263","1,075",832,"2,000",38,61,30,142,85
2021년09월_여_10~19세,"5,433","1,593","1,507","1,793",42,85,54,286,73
2021년09월_여_20~29세,"4,987","1,580","1,194","1,421",119,133,76,392,72
2021년09월_여_30~39세,"6,371","1,528","1,155","3,024",93,123,67,242,139
2021년09월_여_40~49세,"9,480","2,595","2,580","3,118",106,176,133,601,171
2021년09월_여_50~59세,"9,116","3,081","2,268","1,333",318,536,296,"1,029",255
2021년09월_여_60~69세,"7,041","2,350","1,152",884,449,667,400,851,288
2021년09월_여_70~79세,"4,264","1,418",595,422,370,412,270,578,199
2021년09월_여_80~89세,"3,088","1,017",374,271,305,353,171,415,182
2021년09월_여_90~99세,497,147,53,40,50,82,39,53,33
2021년09월_여_100세 이상,19,11,0,1,1,1,0,3,2
