카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년03월_계_총인구수,"140,720","7,030","3,040","3,124","2,454","3,316","4,071","3,160","3,436","1,939","2,217","2,830","1,561","1,270","2,314","1,033","6,696","7,643","3,970","25,479","20,426","11,091","22,620"
2021년03월_계_연령구간인구수,"140,720","7,030","3,040","3,124","2,454","3,316","4,071","3,160","3,436","1,939","2,217","2,830","1,561","1,270","2,314","1,033","6,696","7,643","3,970","25,479","20,426","11,091","22,620"
2021년03월_계_0~9세,"10,266",348,119,72,55,74,156,94,75,56,53,59,43,28,46,9,199,209,134,"2,038","1,390",880,"4,129"
2021년03월_계_10~19세,"12,454",407,131,141,105,100,182,142,187,75,89,84,56,38,330,31,364,434,238,"3,261","2,346","1,092","2,621"
2021년03월_계_20~29세,"14,566",538,248,225,169,170,303,243,292,142,141,173,76,65,111,46,627,814,319,"3,728","2,363","1,430","2,343"
2021년03월_계_30~39세,"14,946",543,223,193,150,177,221,180,202,121,118,130,67,52,105,25,543,707,262,"2,865","2,004","1,291","4,767"
2021년03월_계_40~49세,"19,315",814,301,308,202,239,416,285,313,178,193,185,102,108,151,84,822,849,410,"4,102","2,941","1,843","4,469"
2021년03월_계_50~59세,"23,719","1,418",558,593,473,588,741,609,718,377,420,534,268,209,364,211,"1,081","1,319",660,"4,328","3,705","1,941","2,604"
2021년03월_계_60~69세,"22,569","1,468",656,711,613,847,924,785,816,430,538,696,381,329,500,300,"1,535","1,620",873,"2,842","3,103","1,499","1,103"
2021년03월_계_70~79세,"13,352",856,444,477,397,562,650,501,454,288,342,498,297,220,364,153,996,"1,056",664,"1,395","1,606",742,390
2021년03월_계_80~89세,"8,246",539,316,336,248,476,404,280,320,236,279,396,235,191,300,156,469,559,364,819,845,318,160
2021년03월_계_90~99세,"1,257",97,44,66,41,82,73,41,56,36,42,75,34,28,40,18,60,74,45,96,122,54,33
2021년03월_계_100세 이상,30,2,0,2,1,1,1,0,3,0,2,0,2,2,3,0,0,2,1,5,1,1,1
2021년03월_남_총인구수,"70,659","3,541","1,596","1,602","1,246","1,642","2,080","1,623","1,756","1,001","1,102","1,406",784,634,"1,146",498,"3,417","3,735","1,922","12,656","10,225","5,655","11,392"
2021년03월_남_연령구간인구수,"70,659","3,541","1,596","1,602","1,246","1,642","2,080","1,623","1,756","1,001","1,102","1,406",784,634,"1,146",498,"3,417","3,735","1,922","12,656","10,225","5,655","11,392"
2021년03월_남_0~9세,"5,320",183,58,42,37,46,87,49,40,39,27,31,22,18,30,6,112,105,76,"1,058",700,441,"2,113"
2021년03월_남_10~19세,"6,792",207,72,76,52,50,113,85,101,46,48,54,35,20,170,18,174,236,131,"1,714","1,432",615,"1,343"
2021년03월_남_20~29세,"8,145",309,146,143,110,114,191,130,183,77,82,93,51,37,68,29,377,470,163,"2,039","1,383",787,"1,163"
2021년03월_남_30~39세,"7,899",284,132,104,90,103,118,114,118,86,67,78,42,31,61,11,340,434,143,"1,458","1,021",736,"2,328"
2021년03월_남_40~49세,"10,174",462,197,189,128,144,233,176,183,109,114,123,62,69,85,47,500,474,221,"1,977","1,444",943,"2,294"
2021년03월_남_50~59세,"12,374",758,326,334,258,323,408,326,380,208,226,300,159,126,197,123,587,658,353,"2,159","1,772","1,003","1,390"
2021년03월_남_60~69세,"11,137",766,335,386,315,463,481,412,432,219,284,371,208,182,261,154,689,699,400,"1,391","1,441",699,549
2021년03월_남_70~79세,"5,827",374,190,211,177,240,295,227,203,132,165,223,116,88,171,61,454,429,280,584,715,327,165
2021년03월_남_80~89세,"2,721",177,127,107,68,142,141,89,109,78,80,114,75,55,96,45,169,218,142,255,297,94,43
2021년03월_남_90~99세,268,20,13,10,11,17,13,15,7,7,9,19,13,8,7,4,15,12,13,21,20,10,4
2021년03월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"70,061","3,489","1,444","1,522","1,208","1,674","1,991","1,537","1,680",938,"1,115","1,424",777,636,"1,168",535,"3,279","3,908","2,048","12,823","10,201","5,436","11,228"
2021년03월_여_연령구간인구수,"70,061","3,489","1,444","1,522","1,208","1,674","1,991","1,537","1,680",938,"1,115","1,424",777,636,"1,168",535,"3,279","3,908","2,048","12,823","10,201","5,436","11,228"
2021년03월_여_0~9세,"4,946",165,61,30,18,28,69,45,35,17,26,28,21,10,16,3,87,104,58,980,690,439,"2,016"
2021년03월_여_10~19세,"5,662",200,59,65,53,50,69,57,86,29,41,30,21,18,160,13,190,198,107,"1,547",914,477,"1,278"
2021년03월_여_20~29세,"6,421",229,102,82,59,56,112,113,109,65,59,80,25,28,43,17,250,344,156,"1,689",980,643,"1,180"
2021년03월_여_30~39세,"7,047",259,91,89,60,74,103,66,84,35,51,52,25,21,44,14,203,273,119,"1,407",983,555,"2,439"
2021년03월_여_40~49세,"9,141",352,104,119,74,95,183,109,130,69,79,62,40,39,66,37,322,375,189,"2,125","1,497",900,"2,175"
2021년03월_여_50~59세,"11,345",660,232,259,215,265,333,283,338,169,194,234,109,83,167,88,494,661,307,"2,169","1,933",938,"1,214"
2021년03월_여_60~69세,"11,432",702,321,325,298,384,443,373,384,211,254,325,173,147,239,146,846,921,473,"1,451","1,662",800,554
2021년03월_여_70~79세,"7,525",482,254,266,220,322,355,274,251,156,177,275,181,132,193,92,542,627,384,811,891,415,225
2021년03월_여_80~89세,"5,525",362,189,229,180,334,263,191,211,158,199,282,160,136,204,111,300,341,222,564,548,224,117
2021년03월_여_90~99세,989,77,31,56,30,65,60,26,49,29,33,56,21,20,33,14,45,62,32,75,102,44,29
2021년03월_여_100세 이상,28,1,0,2,1,1,1,0,3,0,2,0,1,2,3,0,0,2,1,5,1,1,1
