,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년06월_계_총인구수,"362,995","43,272","2,770","3,155","6,226","8,944","6,939","7,415","5,575","3,461","2,390","19,086","32,196","41,054","23,622","29,394","34,413","34,033","19,373","11,297","28,380"
2021년06월_계_연령구간인구수,"362,995","43,272","2,770","3,155","6,226","8,944","6,939","7,415","5,575","3,461","2,390","19,086","32,196","41,054","23,622","29,394","34,413","34,033","19,373","11,297","28,380"
2021년06월_계_0~9세,"46,977","3,127",96,90,318,325,234,336,184,74,96,"2,476","4,602","5,754","3,406","4,527","5,864","5,839","3,099","1,657","4,873"
2021년06월_계_10~19세,"44,072","4,148",101,129,364,399,309,410,374,116,175,"3,328","4,358","5,523","4,339","4,250","4,856","3,682","2,587","1,093","3,531"
2021년06월_계_20~29세,"38,205","6,534",384,283,724,926,"1,042",854,548,274,272,"1,733","3,796","4,596","1,876","2,538","2,536","3,455","1,854","1,348","2,632"
2021년06월_계_30~39세,"61,194","5,462",365,291,748,894,924,722,495,238,180,"2,451","6,381","7,523","3,357","5,282","6,351","7,751","3,514","2,247","6,018"
2021년06월_계_40~49세,"70,646","6,855",331,339,818,"1,042",951,881,646,335,322,"4,435","6,753","8,776","5,869","6,335","7,628","6,560","3,956","1,994","5,820"
2021년06월_계_50~59세,"46,583","6,601",514,531,"1,084","1,588","1,309","1,220","1,013",682,438,"2,685","3,660","4,767","2,814","3,283","3,539","3,824","2,360","1,683","2,988"
2021년06월_계_60~69세,"32,165","5,631",542,686,"1,093","1,838","1,161","1,438","1,064",875,419,"1,245","1,809","2,489","1,289","2,028","2,499","2,034","1,370",894,"1,761"
2021년06월_계_70~79세,"14,506","3,078",257,428,619,"1,125",578,898,662,501,270,492,574,"1,056",474,780,845,619,448,249,553
2021년06월_계_80~89세,"7,331","1,578",147,310,404,679,379,579,503,311,194,200,206,458,166,332,246,214,153,106,166
2021년06월_계_90~99세,"1,278",250,32,64,53,122,51,75,80,54,24,39,57,112,30,38,49,52,32,26,38
2021년06월_계_100세 이상,38,8,1,4,1,6,1,2,6,1,0,2,0,0,2,1,0,3,0,0,0
2021년06월_남_총인구수,"181,328","22,485","1,589","1,654","3,440","4,754","4,020","4,052","2,970","1,878","1,265","9,401","15,597","19,866","11,688","14,303","16,851","16,740","9,480","5,594","13,701"
2021년06월_남_연령구간인구수,"181,328","22,485","1,589","1,654","3,440","4,754","4,020","4,052","2,970","1,878","1,265","9,401","15,597","19,866","11,688","14,303","16,851","16,740","9,480","5,594","13,701"
2021년06월_남_0~9세,"24,022","1,606",47,45,166,160,127,158,95,33,48,"1,287","2,338","2,952","1,765","2,324","2,988","2,970","1,569",877,"2,467"
2021년06월_남_10~19세,"22,149","2,125",53,65,198,181,147,223,213,62,82,"1,687","2,092","2,778","2,281","2,088","2,482","1,811","1,317",549,"1,715"
2021년06월_남_20~29세,"19,567","3,726",234,180,481,551,663,564,335,152,163,903,"1,734","2,066",916,"1,204","1,233","1,677",899,664,"1,222"
2021년06월_남_30~39세,"29,883","2,996",249,171,475,543,617,451,309,149,119,"1,107","3,005","3,508","1,506","2,507","2,941","3,711","1,608","1,102","2,809"
2021년06월_남_40~49세,"35,923","3,676",219,211,507,646,646,543,381,219,189,"2,105","3,370","4,262","2,797","3,136","3,851","3,300","1,966",999,"2,900"
2021년06월_남_50~59세,"24,343","3,513",320,297,623,888,753,705,575,408,255,"1,396","1,866","2,488","1,517","1,662","1,694","1,901","1,200",815,"1,467"
2021년06월_남_60~69세,"15,943","2,815",295,370,559,985,627,768,569,482,223,623,860,"1,188",620,898,"1,156","1,015",655,432,803
2021년06월_남_70~79세,"6,724","1,365",122,208,267,544,290,403,290,256,120,220,267,471,223,360,410,294,218,126,270
2021년06월_남_80~89세,"2,502",597,47,92,147,228,137,223,189,106,61,63,57,132,55,113,86,53,43,28,45
2021년06월_남_90~99세,263,65,3,14,16,25,13,14,14,10,5,10,8,21,7,11,10,7,5,2,3
2021년06월_남_100세 이상,9,1,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2021년06월_여_총인구수,"181,667","20,787","1,181","1,501","2,786","4,190","2,919","3,363","2,605","1,583","1,125","9,685","16,599","21,188","11,934","15,091","17,562","17,293","9,893","5,703","14,679"
2021년06월_여_연령구간인구수,"181,667","20,787","1,181","1,501","2,786","4,190","2,919","3,363","2,605","1,583","1,125","9,685","16,599","21,188","11,934","15,091","17,562","17,293","9,893","5,703","14,679"
