카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년11월_계_총인구수,"30,390","9,862","2,094","2,229","3,561","1,516","1,888","2,272","2,708","2,179","2,081"
2021년11월_계_연령구간인구수,"30,390","9,862","2,094","2,229","3,561","1,516","1,888","2,272","2,708","2,179","2,081"
2021년11월_계_0~9세,"1,172",610,44,65,132,37,46,73,73,48,44
2021년11월_계_10~19세,"1,940",937,84,84,256,86,97,103,97,105,91
2021년11월_계_20~29세,"2,492","1,190",137,154,326,87,100,115,169,113,101
2021년11월_계_30~39세,"1,934",869,89,98,258,69,103,93,129,105,121
2021년11월_계_40~49세,"2,943","1,219",157,207,377,121,158,188,186,178,152
2021년11월_계_50~59세,"5,067","1,663",341,410,604,296,286,348,455,314,350
2021년11월_계_60~69세,"6,519","1,632",498,556,718,345,464,554,648,556,548
2021년11월_계_70~79세,"4,450","1,009",364,334,493,233,340,448,472,398,359
2021년11월_계_80~89세,"3,383",625,334,282,351,211,256,315,422,311,276
2021년11월_계_90~99세,482,105,46,38,46,31,37,35,57,50,37
2021년11월_계_100세 이상,8,3,0,1,0,0,1,0,0,1,2
2021년11월_남_총인구수,"15,430","4,979","1,048","1,168","1,862",792,974,"1,154","1,348","1,093","1,012"
2021년11월_남_연령구간인구수,"15,430","4,979","1,048","1,168","1,862",792,974,"1,154","1,348","1,093","1,012"
2021년11월_남_0~9세,601,318,21,33,67,23,21,36,38,26,18
2021년11월_남_10~19세,"1,012",473,53,45,139,51,50,48,55,49,49
2021년11월_남_20~29세,"1,461",671,82,92,210,54,64,58,100,71,59
2021년11월_남_30~39세,"1,090",455,54,59,154,38,64,57,76,64,69
2021년11월_남_40~49세,"1,712",642,90,130,214,72,108,134,113,113,96
2021년11월_남_50~59세,"2,802",892,181,233,326,176,174,203,264,168,185
2021년11월_남_60~69세,"3,341",786,269,296,382,186,240,284,340,280,278
2021년11월_남_70~79세,"2,071",493,165,168,226,109,159,199,205,190,157
2021년11월_남_80~89세,"1,205",219,122,104,123,76,83,126,143,115,94
2021년11월_남_90~99세,132,28,11,8,21,7,10,9,14,17,7
2021년11월_남_100세 이상,3,2,0,0,0,0,1,0,0,0,0
2021년11월_여_총인구수,"14,960","4,883","1,046","1,061","1,699",724,914,"1,118","1,360","1,086","1,069"
2021년11월_여_연령구간인구수,"14,960","4,883","1,046","1,061","1,699",724,914,"1,118","1,360","1,086","1,069"
2021년11월_여_0~9세,571,292,23,32,65,14,25,37,35,22,26
2021년11월_여_10~19세,928,464,31,39,117,35,47,55,42,56,42
2021년11월_여_20~29세,"1,031",519,55,62,116,33,36,57,69,42,42
2021년11월_여_30~39세,844,414,35,39,104,31,39,36,53,41,52
2021년11월_여_40~49세,"1,231",577,67,77,163,49,50,54,73,65,56
2021년11월_여_50~59세,"2,265",771,160,177,278,120,112,145,191,146,165
2021년11월_여_60~69세,"3,178",846,229,260,336,159,224,270,308,276,270
2021년11월_여_70~79세,"2,379",516,199,166,267,124,181,249,267,208,202
2021년11월_여_80~89세,"2,178",406,212,178,228,135,173,189,279,196,182
2021년11월_여_90~99세,350,77,35,30,25,24,27,26,43,33,30
2021년11월_여_100세 이상,5,1,0,1,0,0,0,0,0,1,2
