,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년06월_계_총인구수,"438,608","5,107","23,407","4,292","19,607","20,625","9,669","11,377","9,032","8,702","18,741","7,549","27,709","6,950","33,131","37,621","22,453","25,106","36,863","17,376","27,286","29,435","12,353","24,217"
2020년06월_계_연령구간인구수,"438,608","5,107","23,407","4,292","19,607","20,625","9,669","11,377","9,032","8,702","18,741","7,549","27,709","6,950","33,131","37,621","22,453","25,106","36,863","17,376","27,286","29,435","12,353","24,217"
2020년06월_계_0~9세,"34,805",306,"2,464",183,"2,341","1,823",274,630,305,324,"1,325",198,"2,119",358,"3,191","4,669","1,439","1,711","2,856","1,022","1,796","2,481",694,"2,296"
2020년06월_계_10~19세,"44,367",359,"2,060",236,"2,274","2,349",512,960,515,505,"1,193",395,"3,000",461,"3,824","3,166","1,856","2,594","5,246","1,685","2,635","4,608",654,"3,280"
2020년06월_계_20~29세,"61,048",602,"2,714",492,"2,176","2,454","1,065","1,728","2,367","1,277","2,819","2,186","3,998",783,"3,614","4,059","3,720","3,739","5,382","2,516","4,373","4,181","1,422","3,381"
2020년06월_계_30~39세,"54,527",629,"3,698",450,"2,965","2,481",763,"1,208","1,121","1,026","2,304","1,007","3,379",874,"4,320","6,706","2,731","2,843","3,627","1,684","3,137","3,002","1,625","2,947"
2020년06월_계_40~49세,"73,327",709,"4,031",491,"3,705","3,559","1,180","1,552","1,112","1,081","2,718",840,"4,522",931,"6,594","6,414","3,271","4,053","7,130","2,643","4,024","6,284","1,692","4,791"
2020년06월_계_50~59세,"77,610",869,"3,332",958,"2,785","3,478","1,961","2,327","1,305","1,621","3,006","1,217","5,020","1,281","5,408","5,962","4,271","4,754","7,096","3,590","5,511","5,271","2,455","4,132"
2020년06월_계_60~69세,"51,864",833,"2,608",864,"1,858","2,351","1,989","1,687","1,195","1,549","2,699",989,"3,394","1,255","3,646","4,062","2,940","3,141","3,122","2,490","3,370","1,868","2,186","1,768"
2020년06월_계_70~79세,"27,865",542,"1,602",438,"1,024","1,441","1,293",880,748,913,"1,785",499,"1,502",683,"1,848","1,854","1,452","1,620","1,591","1,137","1,577","1,140","1,230","1,066"
2020년06월_계_80~89세,"11,799",223,783,151,424,630,585,359,329,367,773,201,674,295,619,655,689,580,721,553,783,562,348,495
2020년06월_계_90~99세,"1,310",30,105,27,52,54,42,45,32,39,103,16,94,28,66,70,82,70,92,53,74,37,40,59
