,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년08월_계_총인구수,"97,875","6,632","1,423","3,851","3,086",993,"2,719","4,020","1,672","1,966","2,595","1,752",757,"2,020","2,768","1,253",340,"2,793","1,157",377,"2,161","2,093",836,"12,411","9,208","7,834","8,361","3,720","9,077"
2020년08월_계_연령구간인구수,"97,875","6,632","1,423","3,851","3,086",993,"2,719","4,020","1,672","1,966","2,595","1,752",757,"2,020","2,768","1,253",340,"2,793","1,157",377,"2,161","2,093",836,"12,411","9,208","7,834","8,361","3,720","9,077"
2020년08월_계_0~9세,"5,286",288,40,108,105,28,93,82,59,54,96,57,24,67,133,34,8,95,22,6,33,59,24,954,747,556,559,194,761
2020년08월_계_10~19세,"7,747",509,60,171,151,38,119,236,72,80,157,73,39,109,145,68,10,156,48,19,91,104,40,"1,364",858,806,842,362,"1,020"
2020년08월_계_20~29세,"8,265",426,72,195,173,54,155,212,83,106,168,103,36,107,168,76,14,120,43,13,111,104,49,"1,334","1,005",762,857,327,"1,392"
2020년08월_계_30~39세,"7,603",469,76,218,133,35,163,203,86,108,125,81,45,111,175,77,12,156,36,8,109,70,34,"1,287","1,109",727,771,289,890
2020년08월_계_40~49세,"11,686",755,107,327,271,72,224,313,120,141,252,173,58,180,260,114,26,302,91,26,170,194,69,"1,817","1,385","1,148","1,208",519,"1,364"
2020년08월_계_50~59세,"16,974","1,125",236,653,534,206,427,649,311,399,515,336,161,380,535,266,66,508,177,70,315,323,163,"2,094","1,563","1,372","1,543",627,"1,420"
2020년08월_계_60~69세,"17,989","1,296",315,857,643,217,628,987,365,477,628,420,182,449,587,273,103,595,286,70,508,428,189,"1,841","1,395","1,183","1,257",630,"1,180"
2020년08월_계_70~79세,"12,732",990,310,693,564,159,487,759,303,331,387,281,114,354,418,187,59,467,269,77,446,432,138,"1,121",705,751,831,473,626
2020년08월_계_80~89세,"8,289",673,180,550,427,167,360,499,233,234,234,204,86,216,306,134,37,341,158,78,322,313,104,512,386,468,437,261,369
2020년08월_계_90~99세,"1,246",93,27,76,79,15,60,78,40,36,30,23,12,47,39,22,5,49,25,10,55,65,25,80,55,60,52,35,53
2020년08월_계_100세 이상,58,8,0,3,6,2,3,2,0,0,3,1,0,0,2,2,0,4,2,0,1,1,1,7,0,1,4,3,2
2020년08월_남_총인구수,"48,001","3,196",688,"1,873","1,493",485,"1,328","1,991",837,"1,010","1,299",880,358,"1,008","1,337",634,177,"1,315",537,196,"1,024",999,406,"6,070","4,612","3,725","4,089","1,850","4,584"
2020년08월_남_연령구간인구수,"48,001","3,196",688,"1,873","1,493",485,"1,328","1,991",837,"1,010","1,299",880,358,"1,008","1,337",634,177,"1,315",537,196,"1,024",999,406,"6,070","4,612","3,725","4,089","1,850","4,584"
2020년08월_남_0~9세,"2,744",153,26,53,57,14,55,36,29,22,47,29,12,34,72,18,4,44,8,2,15,39,13,490,380,290,300,108,394
2020년08월_남_10~19세,"4,078",234,26,102,75,18,75,155,46,50,81,39,19,54,66,37,5,78,29,13,44,43,20,765,457,389,428,201,529
2020년08월_남_20~29세,"4,791",239,45,132,103,35,101,129,47,68,106,64,17,61,96,36,10,73,22,9,76,62,20,754,560,425,472,197,832
2020년08월_남_30~39세,"4,115",260,45,126,83,19,89,120,45,65,65,49,20,67,96,53,6,86,19,5,69,44,15,684,580,385,403,153,464
2020년08월_남_40~49세,"6,221",410,71,215,155,45,144,204,88,81,150,105,41,109,139,58,16,167,57,16,111,113,45,873,707,571,571,292,667
2020년08월_남_50~59세,"8,908",604,144,362,300,118,225,342,183,224,270,185,73,219,273,150,40,270,95,45,163,180,92,"1,021",804,675,837,325,689
2020년08월_남_60~69세,"8,804",647,144,443,333,108,316,484,185,260,319,221,105,225,299,140,57,287,143,37,251,218,100,834,681,543,570,270,584
2020년08월_남_70~79세,"5,465",414,128,279,247,68,197,337,134,152,173,115,46,158,173,83,26,201,108,35,194,184,64,475,306,302,355,216,295
2020년08월_남_80~89세,"2,623",215,53,153,125,56,114,166,71,83,79,64,25,71,110,54,13,98,54,31,94,99,32,161,129,134,141,82,116
2020년08월_남_90~99세,242,18,6,8,13,4,12,17,9,5,8,8,0,10,13,5,0,10,2,3,7,17,5,13,8,11,11,6,13
2020년08월_남_100세 이상,10,2,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
