카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년11월_계_총인구수,"49,975","18,286","3,771","4,434",779,"3,260","3,447","4,281","2,375","2,087",230,"2,541",982,"2,686",816
2020년11월_계_연령구간인구수,"49,975","18,286","3,771","4,434",779,"3,260","3,447","4,281","2,375","2,087",230,"2,541",982,"2,686",816
2020년11월_계_0~9세,"3,165","1,460",215,332,44,98,137,197,121,69,8,146,37,259,42
2020년11월_계_10~19세,"3,656","1,745",194,382,51,137,214,261,100,101,10,148,56,223,34
2020년11월_계_20~29세,"3,772","1,820",239,294,41,199,208,275,129,133,9,155,56,156,58
2020년11월_계_30~39세,"4,034","1,836",285,389,74,183,211,254,123,134,6,166,62,256,55
2020년11월_계_40~49세,"6,250","2,707",438,588,118,331,389,444,212,176,30,292,97,338,90
2020년11월_계_50~59세,"8,092","3,120",591,659,127,531,587,622,403,357,34,347,167,410,137
2020년11월_계_60~69세,"8,601","2,814",749,645,157,708,635,715,490,417,38,463,166,455,149
2020년11월_계_70~79세,"7,431","1,810",619,655,127,641,605,892,483,375,48,487,182,353,154
2020년11월_계_80~89세,"4,389",849,390,437,36,383,414,547,279,283,40,302,139,208,82
2020년11월_계_90~99세,559,115,49,52,2,47,46,71,35,41,6,34,19,28,14
2020년11월_계_100세 이상,26,10,2,1,2,2,1,3,0,1,1,1,1,0,1
2020년11월_남_총인구수,"25,137","9,228","1,912","2,217",429,"1,634","1,766","2,080","1,201","1,024",119,"1,254",491,"1,351",431
2020년11월_남_연령구간인구수,"25,137","9,228","1,912","2,217",429,"1,634","1,766","2,080","1,201","1,024",119,"1,254",491,"1,351",431
2020년11월_남_0~9세,"1,639",790,107,157,22,59,61,94,76,30,6,70,18,129,20
2020년11월_남_10~19세,"1,882",891,93,207,27,69,109,132,45,54,5,71,35,119,25
2020년11월_남_20~29세,"2,206","1,045",142,170,28,101,142,160,82,79,9,94,35,87,32
2020년11월_남_30~39세,"2,208",938,170,224,49,120,112,139,66,90,3,92,33,136,36
2020년11월_남_40~49세,"3,655","1,423",292,348,82,210,248,261,140,102,21,198,60,204,66
2020년11월_남_50~59세,"4,480","1,652",334,363,72,306,344,356,234,207,21,198,96,218,79
2020년11월_남_60~69세,"4,287","1,366",390,330,75,344,329,351,242,214,22,222,91,241,70
2020년11월_남_70~79세,"3,287",829,262,274,63,306,264,379,220,153,21,200,79,161,76
2020년11월_남_80~89세,"1,391",270,115,137,11,114,147,193,90,85,11,101,39,52,26
2020년11월_남_90~99세,99,23,7,7,0,5,10,15,6,9,0,7,5,4,1
2020년11월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년11월_여_총인구수,"24,838","9,058","1,859","2,217",350,"1,626","1,681","2,201","1,174","1,063",111,"1,287",491,"1,335",385
2020년11월_여_연령구간인구수,"24,838","9,058","1,859","2,217",350,"1,626","1,681","2,201","1,174","1,063",111,"1,287",491,"1,335",385
2020년11월_여_0~9세,"1,526",670,108,175,22,39,76,103,45,39,2,76,19,130,22
2020년11월_여_10~19세,"1,774",854,101,175,24,68,105,129,55,47,5,77,21,104,9
2020년11월_여_20~29세,"1,566",775,97,124,13,98,66,115,47,54,0,61,21,69,26
2020년11월_여_30~39세,"1,826",898,115,165,25,63,99,115,57,44,3,74,29,120,19
2020년11월_여_40~49세,"2,595","1,284",146,240,36,121,141,183,72,74,9,94,37,134,24
2020년11월_여_50~59세,"3,612","1,468",257,296,55,225,243,266,169,150,13,149,71,192,58
2020년11월_여_60~69세,"4,314","1,448",359,315,82,364,306,364,248,203,16,241,75,214,79
2020년11월_여_70~79세,"4,144",981,357,381,64,335,341,513,263,222,27,287,103,192,78
2020년11월_여_80~89세,"2,998",579,275,300,25,269,267,354,189,198,29,201,100,156,56
2020년11월_여_90~99세,460,92,42,45,2,42,36,56,29,32,6,27,14,24,13
2020년11월_여_100세 이상,23,9,2,1,2,2,1,3,0,0,1,0,1,0,1
