카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년10월_계_총인구수,"531,655","27,532","43,724","24,105","26,341","11,418","3,683","21,714","6,702","5,344","43,885","25,560","19,762","12,510","22,111","7,486","5,778","22,756","10,681","4,102","81,805","53,498","24,873","26,285"
2020년10월_계_연령구간인구수,"531,655","27,532","43,724","24,105","26,341","11,418","3,683","21,714","6,702","5,344","43,885","25,560","19,762","12,510","22,111","7,486","5,778","22,756","10,681","4,102","81,805","53,498","24,873","26,285"
2020년10월_계_0~9세,"48,734","1,555","4,102","1,989","4,075",500,113,"2,511",311,154,"2,974","1,345","2,345",720,"1,667",594,163,"1,094",549,118,"10,492","5,727","3,412","2,224"
2020년10월_계_10~19세,"53,086","1,694","5,898","1,985","3,095",858,215,"1,777",492,297,"4,980","2,362","1,836",935,"2,226",499,313,"1,765",670,214,"9,011","6,212","3,064","2,688"
2020년10월_계_20~29세,"72,357","2,940","5,715","3,002","2,270","1,490",366,"3,217",711,462,"7,073","3,681","2,604","2,370","2,945","1,049",719,"3,879","1,594",607,"10,967","7,364","3,312","4,020"
2020년10월_계_30~39세,"79,520","2,948","5,693","3,949","4,873","1,324",349,"4,112",610,354,"5,359","3,086","3,366","2,201","2,643","1,281",642,"2,887","1,525",422,"15,671","8,052","4,621","3,552"
2020년10월_계_40~49세,"92,941","3,944","8,687","4,655","5,254","1,738",476,"3,487",887,626,"7,670","4,192","3,603","2,099","3,718","1,222",786,"3,497","1,579",523,"15,618","9,412","5,040","4,228"
2020년10월_계_50~59세,"86,383","5,142","6,886","3,910","2,915","2,142",687,"3,171","1,328","1,012","8,082","4,865","3,215","1,941","4,113","1,141","1,011","4,295","1,910",812,"11,091","8,576","3,191","4,947"
2020년10월_계_60~69세,"54,116","4,653","3,679","2,561","2,107","1,788",733,"1,901","1,126","1,123","4,389","3,210","1,661","1,213","2,659",879,997,"2,931","1,496",740,"5,459","4,763","1,425","2,623"
2020년10월_계_70~79세,"28,421","2,866","1,945","1,316","1,094","1,025",453,957,729,789,"2,194","1,835",717,692,"1,387",526,710,"1,572",865,452,"2,316","2,175",533,"1,273"
2020년10월_계_80~89세,"13,884","1,534",966,631,540,487,265,497,435,448,"1,017",850,356,287,642,237,357,742,420,184,"1,033","1,068",245,643
2020년10월_계_90~99세,"1,978",207,144,103,112,61,24,78,71,76,129,117,54,47,98,47,57,83,58,26,138,136,30,82
2020년10월_계_100세 이상,235,49,9,4,6,5,2,6,2,3,18,17,5,5,13,11,23,11,15,4,9,13,0,5
2020년10월_남_총인구수,"274,461","14,049","22,454","14,414","13,909","6,247","2,024","11,432","3,565","2,805","22,471","12,953","10,305","6,688","11,011","3,723","2,921","11,679","5,520","2,158","41,496","26,519","12,935","13,183"
2020년10월_남_연령구간인구수,"274,461","14,049","22,454","14,414","13,909","6,247","2,024","11,432","3,565","2,805","22,471","12,953","10,305","6,688","11,011","3,723","2,921","11,679","5,520","2,158","41,496","26,519","12,935","13,183"
2020년10월_남_0~9세,"24,834",812,"2,035","1,004","2,121",254,50,"1,241",168,80,"1,526",678,"1,187",348,841,299,89,581,265,60,"5,384","2,898","1,781","1,132"
2020년10월_남_10~19세,"27,416",875,"2,996","1,052","1,590",478,127,882,245,152,"2,567","1,229",916,447,"1,123",264,170,921,349,126,"4,663","3,292","1,568","1,384"
