카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년05월_계_총인구수,"289,656","16,675","26,599","22,575","12,013","13,955","23,644","15,626","15,514","22,923","14,446","26,274","16,774","12,962","16,207","11,073","10,601","11,795"
2021년05월_계_연령구간인구수,"289,656","16,675","26,599","22,575","12,013","13,955","23,644","15,626","15,514","22,923","14,446","26,274","16,774","12,962","16,207","11,073","10,601","11,795"
2021년05월_계_0~9세,"19,887","1,193","2,291","1,177",417,969,"1,771","1,167","1,281","1,711","1,342","2,553","1,012",716,805,575,515,392
2021년05월_계_10~19세,"19,479","1,184","1,565","1,627",794,"1,004","2,069","1,620","1,061","1,421",953,"1,652","1,118",865,861,521,561,603
2021년05월_계_20~29세,"44,488","2,457","4,286","4,253","4,694","2,224","2,956","1,768","1,819","2,834","1,462","2,870","2,615","2,088","2,248","1,972","1,700","2,242"
2021년05월_계_30~39세,"47,828","2,878","4,600","3,239","1,591","2,249","3,595","2,204","2,641","4,129","2,670","4,982","2,869","2,362","2,577","1,941","1,602","1,699"
2021년05월_계_40~49세,"44,061","2,553","3,993","2,974","1,125","2,153","3,954","2,875","2,537","3,658","2,563","4,451","2,394","1,976","2,228","1,464","1,528","1,635"
2021년05월_계_50~59세,"46,712","2,700","4,377","3,678","1,302","2,245","3,914","2,485","2,354","3,665","2,098","3,861","3,117","2,009","3,051","1,794","1,934","2,128"
2021년05월_계_60~69세,"37,008","2,083","3,064","3,055",974,"1,674","2,834","1,720","2,127","2,952","1,809","3,299","2,242","1,673","2,648","1,542","1,660","1,652"
2021년05월_계_70~79세,"20,271","1,125","1,584","1,722",738,974,"1,733","1,162","1,111","1,706","1,041","1,719",958,878,"1,239",842,753,986
2021년05월_계_80~89세,"8,721",441,739,733,330,400,724,550,520,747,447,753,401,357,489,367,307,416
2021년05월_계_90~99세,"1,123",59,99,107,37,58,91,67,62,93,57,127,44,36,56,48,41,41
2021년05월_계_100세 이상,78,2,1,10,11,5,3,8,1,7,4,7,4,2,5,7,0,1
2021년05월_남_총인구수,"141,358","8,064","12,663","11,159","6,151","6,724","11,078","7,428","7,399","10,929","6,887","12,220","8,405","6,396","8,475","5,601","5,607","6,172"
2021년05월_남_연령구간인구수,"141,358","8,064","12,663","11,159","6,151","6,724","11,078","7,428","7,399","10,929","6,887","12,220","8,405","6,396","8,475","5,601","5,607","6,172"
2021년05월_남_0~9세,"10,144",596,"1,175",606,217,485,876,601,632,884,685,"1,272",551,370,420,296,273,205
2021년05월_남_10~19세,"9,715",603,801,806,350,483,935,794,555,694,499,856,577,440,445,269,305,303
2021년05월_남_20~29세,"21,935","1,160","1,971","2,143","2,556","1,077","1,398",864,910,"1,432",738,"1,302","1,359","1,029","1,179",929,871,"1,017"
2021년05월_남_30~39세,"23,489","1,438","2,134","1,682",882,"1,095","1,708","1,075","1,230","1,986","1,243","2,233","1,428","1,169","1,387","1,009",876,914
2021년05월_남_40~49세,"22,093","1,280","1,992","1,503",596,"1,050","1,905","1,374","1,287","1,798","1,265","2,197","1,171",963,"1,193",751,840,928
2021년05월_남_50~59세,"23,265","1,302","2,075","1,809",635,"1,084","1,907","1,220","1,131","1,755","1,036","1,771","1,582","1,033","1,646",962,"1,060","1,257"
2021년05월_남_60~69세,"18,084","1,009","1,512","1,513",457,837,"1,309",771,975,"1,361",813,"1,505","1,132",837,"1,421",820,896,916
2021년05월_남_70~79세,"9,035",483,717,773,318,439,741,505,482,742,436,753,444,419,571,396,354,462
