카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년02월_계_총인구수,"3,336,045","1,035,574","261,339","213,520","177,905","190,068","192,742","347,750","127,720","110,868","542,254","104,497","245,008","352,682","26,757","63,879","61,286","51,283","42,794","44,494","34,788","39,044","61,564","43,803"
2021년02월_계_연령구간인구수,"3,336,045","1,035,574","261,339","213,520","177,905","190,068","192,742","347,750","127,720","110,868","542,254","104,497","245,008","352,682","26,757","63,879","61,286","51,283","42,794","44,494","34,788","39,044","61,564","43,803"
2021년02월_계_0~9세,"265,256","82,618","21,163","16,237","13,029","13,107","19,082","27,993","9,462","8,034","48,694","5,521","26,188","34,275","1,056","3,970","3,178","2,519","1,586","1,785","1,301","1,766","3,743","1,567"
2021년02월_계_10~19세,"323,073","99,084","23,448","22,793","13,913","18,004","20,926","35,142","12,751","10,230","60,998","7,779","27,868","34,402","1,499","5,961","4,232","4,130","2,903","2,845","2,066","2,994","5,772","2,417"
2021년02월_계_20~29세,"375,212","129,021","35,445","32,034","19,036","22,027","20,479","44,893","11,091","10,624","68,842","9,031","24,082","40,561","2,008","5,412","4,832","3,879","3,221","3,360","2,422","3,068","5,887","2,978"
2021년02월_계_30~39세,"395,154","133,049","35,016","29,133","20,855","21,426","26,619","41,402","13,476","11,744","68,821","8,790","35,930","48,575","1,732","5,456","5,086","3,763","2,430","2,730","2,097","2,607","4,961","2,505"
2021년02월_계_40~49세,"535,181","167,502","40,801","35,417","26,101","29,948","35,235","54,093","21,250","17,661","98,248","12,864","47,653","61,106","2,862","9,331","7,055","6,312","4,581","4,885","3,486","4,337","7,737","4,218"
2021년02월_계_50~59세,"581,689","186,064","50,312","43,218","29,589","34,350","28,595","57,648","22,364","18,447","97,432","18,670","39,392","58,826","4,603","11,195","10,855","9,123","7,277","8,340","6,474","6,865","10,524","7,590"
2021년02월_계_60~69세,"469,593","143,802","35,100","24,266","30,370","30,180","23,886","46,473","20,719","16,771","59,481","21,232","27,110","43,552","5,504","11,190","12,263","9,841","8,387","9,010","7,403","7,399","10,281","9,175"
2021년02월_계_70~79세,"246,054","63,943","13,453","6,986","16,697","14,955","11,852","25,628","11,120","10,674","26,530","12,715","10,879","21,235","3,963","6,646","8,038","6,786","6,637","6,357","5,258","5,519","6,976","7,150"
2021년02월_계_80~89세,"126,348","26,750","5,764","2,968","7,200","5,432","5,386","12,587","4,825","5,826","11,669","6,932","5,045","8,963","3,075","4,150","5,055","4,264","4,897","4,403","3,700","3,860","4,897","5,450"
2021년02월_계_90~99세,"17,641","3,547",800,446,"1,044",593,664,"1,794",634,823,"1,448",916,815,"1,126",448,554,663,645,855,757,561,598,743,714
2021년02월_계_100세 이상,844,194,37,22,71,46,18,97,28,34,91,47,46,61,7,14,29,21,20,22,20,31,43,39
2021년02월_남_총인구수,"1,679,295","524,688","133,019","109,060","88,555","95,265","98,789","171,924","64,198","55,939","274,198","51,214","128,574","176,863","13,141","32,425","30,473","25,707","20,634","22,217","17,082","18,827","30,100","21,091"
2021년02월_남_연령구간인구수,"1,679,295","524,688","133,019","109,060","88,555","95,265","98,789","171,924","64,198","55,939","274,198","51,214","128,574","176,863","13,141","32,425","30,473","25,707","20,634","22,217","17,082","18,827","30,100","21,091"
2021년02월_남_0~9세,"136,256","42,610","10,852","8,316","6,785","6,748","9,909","14,533","4,749","4,170","24,799","2,818","13,564","17,498",541,"1,993","1,649","1,269",836,926,684,884,"1,918",815
2021년02월_남_10~19세,"169,087","51,880","12,386","12,017","7,203","9,418","10,856","18,547","6,594","5,270","31,719","4,081","14,602","17,689",798,"3,187","2,301","2,265","1,563","1,535","1,108","1,568","3,116","1,264"
2021년02월_남_20~29세,"208,823","71,920","19,701","17,861","10,551","12,182","11,625","24,680","6,196","6,371","37,501","5,212","13,623","21,683","1,140","3,154","2,774","2,268","1,989","2,015","1,386","1,736","3,465","1,710"
2021년02월_남_30~39세,"206,711","70,425","18,561","15,558","11,059","11,303","13,944","21,190","6,919","6,346","35,492","4,650","18,925","24,990",918,"2,794","2,799","2,067","1,257","1,510","1,125","1,351","2,553","1,400"
2021년02월_남_40~49세,"275,500","85,150","20,587","17,011","13,728","15,212","18,612","26,948","11,461","9,375","48,837","6,822","25,943","31,009","1,649","5,040","3,919","3,511","2,454","2,727","1,927","2,371","3,959","2,398"
2021년02월_남_50~59세,"297,063","92,431","24,720","21,024","14,749","17,115","14,823","28,432","11,485","9,789","49,980","9,422","21,075","29,698","2,560","6,157","5,796","4,970","3,907","4,574","3,503","3,662","5,449","4,173"
2021년02월_남_60~69세,"233,377","71,289","17,854","12,978","14,389","14,419","11,649","22,166","10,105","8,085","30,371","10,360","13,979","21,360","2,894","5,788","6,110","4,912","4,092","4,673","3,827","3,689","5,028","4,649"
2021년02월_남_70~79세,"109,196","29,363","6,404","3,343","7,466","6,801","5,349","11,198","5,045","4,579","11,550","5,530","5,177","9,569","1,640","2,959","3,509","2,999","2,909","2,764","2,319","2,271","2,890","2,925"
2021년02월_남_80~89세,"39,782","8,912","1,808",866,"2,405","1,948","1,885","3,898","1,512","1,818","3,649","2,131","1,546","3,112",906,"1,240","1,508","1,322","1,477","1,332","1,093","1,167","1,543","1,616"
2021년02월_남_90~99세,"3,316",663,139,79,203,110,132,310,124,127,274,179,130,244,93,108,106,120,148,156,108,120,169,137
2021년02월_남_100세 이상,184,45,7,7,17,9,5,22,8,9,26,9,10,11,2,5,2,4,2,5,2,8,10,4
2021년02월_여_총인구수,"1,656,750","510,886","128,320","104,460","89,350","94,803","93,953","175,826","63,522","54,929","268,056","53,283","116,434","175,819","13,616","31,454","30,813","25,576","22,160","22,277","17,706","20,217","31,464","22,712"
2021년02월_여_연령구간인구수,"1,656,750","510,886","128,320","104,460","89,350","94,803","93,953","175,826","63,522","54,929","268,056","53,283","116,434","175,819","13,616","31,454","30,813","25,576","22,160","22,277","17,706","20,217","31,464","22,712"
2021년02월_여_0~9세,"129,000","40,008","10,311","7,921","6,244","6,359","9,173","13,460","4,713","3,864","23,895","2,703","12,624","16,777",515,"1,977","1,529","1,250",750,859,617,882,"1,825",752
2021년02월_여_10~19세,"153,986","47,204","11,062","10,776","6,710","8,586","10,070","16,595","6,157","4,960","29,279","3,698","13,266","16,713",701,"2,774","1,931","1,865","1,340","1,310",958,"1,426","2,656","1,153"
2021년02월_여_20~29세,"166,389","57,101","15,744","14,173","8,485","9,845","8,854","20,213","4,895","4,253","31,341","3,819","10,459","18,878",868,"2,258","2,058","1,611","1,232","1,345","1,036","1,332","2,422","1,268"
2021년02월_여_30~39세,"188,443","62,624","16,455","13,575","9,796","10,123","12,675","20,212","6,557","5,398","33,329","4,140","17,005","23,585",814,"2,662","2,287","1,696","1,173","1,220",972,"1,256","2,408","1,105"
2021년02월_여_40~49세,"259,681","82,352","20,214","18,406","12,373","14,736","16,623","27,145","9,789","8,286","49,411","6,042","21,710","30,097","1,213","4,291","3,136","2,801","2,127","2,158","1,559","1,966","3,778","1,820"
2021년02월_여_50~59세,"284,626","93,633","25,592","22,194","14,840","17,235","13,772","29,216","10,879","8,658","47,452","9,248","18,317","29,128","2,043","5,038","5,059","4,153","3,370","3,766","2,971","3,203","5,075","3,417"
2021년02월_여_60~69세,"236,216","72,513","17,246","11,288","15,981","15,761","12,237","24,307","10,614","8,686","29,110","10,872","13,131","22,192","2,610","5,402","6,153","4,929","4,295","4,337","3,576","3,710","5,253","4,526"
2021년02월_여_70~79세,"136,858","34,580","7,049","3,643","9,231","8,154","6,503","14,430","6,075","6,095","14,980","7,185","5,702","11,666","2,323","3,687","4,529","3,787","3,728","3,593","2,939","3,248","4,086","4,225"
2021년02월_여_80~89세,"86,566","17,838","3,956","2,102","4,795","3,484","3,501","8,689","3,313","4,008","8,020","4,801","3,499","5,851","2,169","2,910","3,547","2,942","3,420","3,071","2,607","2,693","3,354","3,834"
2021년02월_여_90~99세,"14,325","2,884",661,367,841,483,532,"1,484",510,696,"1,174",737,685,882,355,446,557,525,707,601,453,478,574,577
2021년02월_여_100세 이상,660,149,30,15,54,37,13,75,20,25,65,38,36,50,5,9,27,17,18,17,18,23,33,35
