카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년09월_계_총인구수,"62,551","19,532","9,555","14,072","5,604","9,829","3,959"
2020년09월_계_연령구간인구수,"62,551","19,532","9,555","14,072","5,604","9,829","3,959"
2020년09월_계_0~9세,"3,428","1,187",535,638,163,754,151
2020년09월_계_10~19세,"4,721","1,702",799,"1,002",345,660,213
2020년09월_계_20~29세,"6,234","2,205",858,"1,353",533,"1,037",248
2020년09월_계_30~39세,"5,799","1,924",821,"1,208",375,"1,190",281
2020년09월_계_40~49세,"7,946","2,652","1,136","1,954",562,"1,224",418
2020년09월_계_50~59세,"11,442","3,473","1,752","2,701","1,118","1,666",732
2020년09월_계_60~69세,"11,945","3,234","1,980","2,645","1,362","1,759",965
2020년09월_계_70~79세,"6,854","1,922",993,"1,648",727,991,573
2020년09월_계_80~89세,"3,610","1,072",569,799,368,477,325
2020년09월_계_90~99세,523,144,108,114,47,61,49
2020년09월_계_100세 이상,49,17,4,10,4,10,4
2020년09월_남_총인구수,"32,205","9,923","4,912","7,186","2,919","5,228","2,037"
2020년09월_남_연령구간인구수,"32,205","9,923","4,912","7,186","2,919","5,228","2,037"
2020년09월_남_0~9세,"1,702",595,247,329,86,378,67
2020년09월_남_10~19세,"2,493",921,398,536,174,347,117
2020년09월_남_20~29세,"3,580","1,209",482,761,341,648,139
2020년09월_남_30~39세,"3,141","1,019",457,645,208,655,157
2020년09월_남_40~49세,"4,250","1,407",598,"1,032",310,655,248
2020년09월_남_50~59세,"6,083","1,840",940,"1,437",582,883,401
2020년09월_남_60~69세,"6,170","1,622","1,029","1,338",705,978,498
2020년09월_남_70~79세,"3,236",865,502,765,364,467,273
2020년09월_남_80~89세,"1,387",396,231,309,136,194,121
2020년09월_남_90~99세,144,45,26,29,10,19,15
2020년09월_남_100세 이상,19,4,2,5,3,4,1
2020년09월_여_총인구수,"30,346","9,609","4,643","6,886","2,685","4,601","1,922"
2020년09월_여_연령구간인구수,"30,346","9,609","4,643","6,886","2,685","4,601","1,922"
2020년09월_여_0~9세,"1,726",592,288,309,77,376,84
2020년09월_여_10~19세,"2,228",781,401,466,171,313,96
2020년09월_여_20~29세,"2,654",996,376,592,192,389,109
2020년09월_여_30~39세,"2,658",905,364,563,167,535,124
2020년09월_여_40~49세,"3,696","1,245",538,922,252,569,170
2020년09월_여_50~59세,"5,359","1,633",812,"1,264",536,783,331
2020년09월_여_60~69세,"5,775","1,612",951,"1,307",657,781,467
2020년09월_여_70~79세,"3,618","1,057",491,883,363,524,300
2020년09월_여_80~89세,"2,223",676,338,490,232,283,204
2020년09월_여_90~99세,379,99,82,85,37,42,34
2020년09월_여_100세 이상,30,13,2,5,1,6,3
