,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년03월_계_총인구수,"22,301","14,209","3,348","2,068","1,344","1,332"
2020년03월_계_연령구간인구수,"22,301","14,209","3,348","2,068","1,344","1,332"
2020년03월_계_0~9세,"1,796","1,510",117,77,52,40
2020년03월_계_10~19세,"2,035","1,581",198,103,68,85
2020년03월_계_20~29세,"3,116","1,836",402,480,282,116
2020년03월_계_30~39세,"2,587","2,012",248,134,107,86
2020년03월_계_40~49세,"2,599","1,880",317,168,84,150
2020년03월_계_50~59세,"3,650","2,087",677,351,227,308
2020년03월_계_60~69세,"3,175","1,707",642,324,252,250
2020년03월_계_70~79세,"2,078",980,462,284,161,191
2020년03월_계_80~89세,"1,102",538,245,124,102,93
2020년03월_계_90~99세,147,65,37,23,9,13
2020년03월_계_100세 이상,16,13,3,0,0,0
2020년03월_남_총인구수,"11,806","7,282","1,824","1,194",784,722
2020년03월_남_연령구간인구수,"11,806","7,282","1,824","1,194",784,722
2020년03월_남_0~9세,893,746,60,39,24,24
2020년03월_남_10~19세,"1,053",800,110,50,40,53
2020년03월_남_20~29세,"2,080","1,102",296,376,235,71
2020년03월_남_30~39세,"1,429","1,075",157,84,64,49
2020년03월_남_40~49세,"1,414",995,186,96,47,90
2020년03월_남_50~59세,"1,937","1,066",382,187,132,170
2020년03월_남_60~69세,"1,680",882,341,184,136,137
2020년03월_남_70~79세,904,414,200,127,69,94
2020년03월_남_80~89세,369,176,81,45,35,32
2020년03월_남_90~99세,40,20,10,6,2,2
2020년03월_남_100세 이상,7,6,1,0,0,0
2020년03월_여_총인구수,"10,495","6,927","1,524",874,560,610
2020년03월_여_연령구간인구수,"10,495","6,927","1,524",874,560,610
2020년03월_여_0~9세,903,764,57,38,28,16
2020년03월_여_10~19세,982,781,88,53,28,32
2020년03월_여_20~29세,"1,036",734,106,104,47,45
2020년03월_여_30~39세,"1,158",937,91,50,43,37
2020년03월_여_40~49세,"1,185",885,131,72,37,60
2020년03월_여_50~59세,"1,713","1,021",295,164,95,138
2020년03월_여_60~69세,"1,495",825,301,140,116,113
2020년03월_여_70~79세,"1,174",566,262,157,92,97
2020년03월_여_80~89세,733,362,164,79,67,61
2020년03월_여_90~99세,107,45,27,17,7,11
2020년03월_여_100세 이상,9,7,2,0,0,0
