카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년03월_계_총인구수,"115,924","33,761","23,809","31,510","4,329","5,518","3,517","10,180","3,300"
2020년03월_계_연령구간인구수,"115,924","33,761","23,809","31,510","4,329","5,518","3,517","10,180","3,300"
2020년03월_계_0~9세,"10,116","2,455","1,968","4,754",89,155,82,379,234
2020년03월_계_10~19세,"11,722","3,508","3,165","3,642",133,179,140,777,178
2020년03월_계_20~29세,"12,614","4,003","2,899","3,254",331,469,267,"1,141",250
2020년03월_계_30~39세,"16,015","3,636","2,543","7,801",288,384,241,784,338
2020년03월_계_40~49세,"20,712","5,656","5,110","6,663",415,544,376,"1,519",429
2020년03월_계_50~59세,"19,319","6,263","4,533","2,804",861,"1,191",764,"2,308",595
2020년03월_계_60~69세,"12,992","4,194","2,010","1,470",986,"1,299",826,"1,612",595
2020년03월_계_70~79세,"7,534","2,398","1,016",721,707,758,512,"1,035",387
2020년03월_계_80~89세,"4,261","1,433",502,352,455,454,256,554,255
2020년03월_계_90~99세,594,191,62,44,60,85,50,66,36
2020년03월_계_100세 이상,45,24,1,5,4,0,3,5,3
2020년03월_남_총인구수,"60,497","16,927","12,483","17,003","2,316","2,833","1,928","5,271","1,736"
2020년03월_남_연령구간인구수,"60,497","16,927","12,483","17,003","2,316","2,833","1,928","5,271","1,736"
2020년03월_남_0~9세,"5,215","1,259","1,023","2,450",41,82,41,188,131
2020년03월_남_10~19세,"6,210","1,816","1,690","1,930",76,99,72,422,105
2020년03월_남_20~29세,"7,055","2,299","1,680","1,602",193,287,169,674,151
2020년03월_남_30~39세,"8,777","1,918","1,298","4,365",179,226,152,463,176
2020년03월_남_40~49세,"11,220","2,855","2,599","3,842",281,345,238,805,255
2020년03월_남_50~59세,"10,534","3,214","2,527","1,666",516,600,446,"1,237",328
2020년03월_남_60~69세,"6,727","2,091","1,050",714,560,694,455,841,322
2020년03월_남_70~79세,"3,219",948,435,313,303,361,248,441,170
2020년03월_남_80~89세,"1,396",474,164,108,156,131,89,185,89
2020년03월_남_90~99세,137,50,17,12,11,8,17,14,8
2020년03월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년03월_여_총인구수,"55,427","16,834","11,326","14,507","2,013","2,685","1,589","4,909","1,564"
2020년03월_여_연령구간인구수,"55,427","16,834","11,326","14,507","2,013","2,685","1,589","4,909","1,564"
2020년03월_여_0~9세,"4,901","1,196",945,"2,304",48,73,41,191,103
2020년03월_여_10~19세,"5,512","1,692","1,475","1,712",57,80,68,355,73
2020년03월_여_20~29세,"5,559","1,704","1,219","1,652",138,182,98,467,99
2020년03월_여_30~39세,"7,238","1,718","1,245","3,436",109,158,89,321,162
2020년03월_여_40~49세,"9,492","2,801","2,511","2,821",134,199,138,714,174
2020년03월_여_50~59세,"8,785","3,049","2,006","1,138",345,591,318,"1,071",267
2020년03월_여_60~69세,"6,265","2,103",960,756,426,605,371,771,273
2020년03월_여_70~79세,"4,315","1,450",581,408,404,397,264,594,217
2020년03월_여_80~89세,"2,865",959,338,244,299,323,167,369,166
2020년03월_여_90~99세,457,141,45,32,49,77,33,52,28
2020년03월_여_100세 이상,38,21,1,4,4,0,2,4,2
