,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년02월_계_총인구수,"507,681","44,723","36,288","9,971","55,508","12,116","42,200","22,051","16,022","20,350","22,522","31,981","22,938","21,375","70,977","1,959","23,791","30,707","22,202"
2021년02월_계_연령구간인구수,"507,681","44,723","36,288","9,971","55,508","12,116","42,200","22,051","16,022","20,350","22,522","31,981","22,938","21,375","70,977","1,959","23,791","30,707","22,202"
2021년02월_계_0~9세,"49,158","3,476","1,622",445,"7,354",687,"5,888","1,546","1,394","1,148","1,302","2,397","1,735","1,645","10,913",43,"1,707","3,656","2,200"
2021년02월_계_10~19세,"50,504","3,574","3,248",758,"5,714","1,192","3,331","2,204","1,489","1,120","1,911","3,566","2,133","2,728","7,961",52,"2,913","3,977","2,633"
2021년02월_계_20~29세,"70,032","6,825","5,862","1,393","6,642","1,648","4,222","2,866","1,851","3,244","3,777","5,151","3,082","3,591","9,050",165,"3,682","3,901","3,080"
2021년02월_계_30~39세,"78,618","6,947","3,902",961,"9,791","1,090","8,353","2,688","2,351","4,060","3,373","4,330","3,161","2,423","14,585",168,"2,582","4,612","3,241"
2021년02월_계_40~49세,"91,918","6,602","5,275","1,330","9,671","1,948","7,432","3,849","3,195","4,208","4,585","6,122","4,628","3,864","14,737",183,"4,223","6,141","3,925"
2021년02월_계_50~59세,"88,422","8,624","8,144","2,213","8,623","2,469","5,754","4,078","2,707","3,770","4,327","6,193","4,545","4,321","8,573",472,"4,824","4,991","3,794"
2021년02월_계_60~69세,"48,753","5,458","5,090","1,680","4,929","1,672","4,490","2,818","1,785","1,841","2,126","2,561","2,298","1,611","3,692",548,"2,160","2,071","1,923"
2021년02월_계_70~79세,"19,708","2,034","2,084",753,"1,828",888,"1,837","1,308",841,660,743,"1,032",869,729,"1,029",224,"1,085",889,875
2021년02월_계_80~89세,"9,078","1,004",922,376,805,452,752,600,353,259,322,563,407,423,374,84,526,405,451
2021년02월_계_90~99세,"1,388",170,117,54,146,66,127,83,52,37,54,63,78,39,62,16,84,61,79
2021년02월_계_100세 이상,102,9,22,8,5,4,14,11,4,3,2,3,2,1,1,4,5,3,1
2021년02월_남_총인구수,"265,172","22,685","18,808","5,222","27,757","6,352","21,373","11,567","8,355","12,839","13,270","17,248","12,927","10,596","36,329","1,197","12,111","15,511","11,025"
2021년02월_남_연령구간인구수,"265,172","22,685","18,808","5,222","27,757","6,352","21,373","11,567","8,355","12,839","13,270","17,248","12,927","10,596","36,329","1,197","12,111","15,511","11,025"
2021년02월_남_0~9세,"25,031","1,783",875,222,"3,737",334,"2,972",804,688,583,642,"1,210",889,842,"5,536",25,874,"1,882","1,133"
2021년02월_남_10~19세,"25,950","1,840","1,692",397,"2,902",629,"1,706","1,148",789,594,988,"1,839","1,107","1,393","3,991",29,"1,526","2,059","1,321"
2021년02월_남_20~29세,"38,037","3,564","3,202",773,"3,409",965,"2,160","1,589",992,"2,129","2,407","2,958","1,765","1,854","4,737",102,"1,935","1,979","1,517"
2021년02월_남_30~39세,"42,009","3,634","2,172",547,"4,828",578,"4,165","1,513","1,251","2,764","2,128","2,521","1,900","1,229","7,414",111,"1,330","2,245","1,679"
2021년02월_남_40~49세,"49,441","3,392","2,759",684,"4,983","1,024","4,055","2,130","1,750","2,834","2,851","3,374","2,805","1,819","7,809",130,"2,079","3,065","1,898"
2021년02월_남_50~59세,"46,596","4,270","4,185","1,175","4,279","1,365","2,887","2,137","1,468","2,397","2,603","3,296","2,587","2,178","4,322",299,"2,548","2,654","1,946"
2021년02월_남_60~69세,"25,886","2,908","2,712",910,"2,520",899,"2,280","1,433",868,"1,103","1,209","1,407","1,321",845,"1,923",330,"1,139","1,091",988
2021년02월_남_70~79세,"8,968",945,926,361,845,401,883,587,400,342,329,434,401,283,464,131,467,391,378
2021년02월_남_80~89세,"2,947",317,255,130,231,138,238,209,137,85,103,190,143,140,124,33,198,130,146
2021년02월_남_90~99세,278,31,27,18,22,18,23,14,10,7,9,19,8,13,9,5,13,14,18
2021년02월_남_100세 이상,29,1,3,5,1,1,4,3,2,1,1,0,1,0,0,2,2,1,1
2021년02월_여_총인구수,"242,509","22,038","17,480","4,749","27,751","5,764","20,827","10,484","7,667","7,511","9,252","14,733","10,011","10,779","34,648",762,"11,680","15,196","11,177"
2021년02월_여_연령구간인구수,"242,509","22,038","17,480","4,749","27,751","5,764","20,827","10,484","7,667","7,511","9,252","14,733","10,011","10,779","34,648",762,"11,680","15,196","11,177"
2021년02월_여_0~9세,"24,127","1,693",747,223,"3,617",353,"2,916",742,706,565,660,"1,187",846,803,"5,377",18,833,"1,774","1,067"
2021년02월_여_10~19세,"24,554","1,734","1,556",361,"2,812",563,"1,625","1,056",700,526,923,"1,727","1,026","1,335","3,970",23,"1,387","1,918","1,312"
2021년02월_여_20~29세,"31,995","3,261","2,660",620,"3,233",683,"2,062","1,277",859,"1,115","1,370","2,193","1,317","1,737","4,313",63,"1,747","1,922","1,563"
2021년02월_여_30~39세,"36,609","3,313","1,730",414,"4,963",512,"4,188","1,175","1,100","1,296","1,245","1,809","1,261","1,194","7,171",57,"1,252","2,367","1,562"
2021년02월_여_40~49세,"42,477","3,210","2,516",646,"4,688",924,"3,377","1,719","1,445","1,374","1,734","2,748","1,823","2,045","6,928",53,"2,144","3,076","2,027"
2021년02월_여_50~59세,"41,826","4,354","3,959","1,038","4,344","1,104","2,867","1,941","1,239","1,373","1,724","2,897","1,958","2,143","4,251",173,"2,276","2,337","1,848"
2021년02월_여_60~69세,"22,867","2,550","2,378",770,"2,409",773,"2,210","1,385",917,738,917,"1,154",977,766,"1,769",218,"1,021",980,935
2021년02월_여_70~79세,"10,740","1,089","1,158",392,983,487,954,721,441,318,414,598,468,446,565,93,618,498,497
2021년02월_여_80~89세,"6,131",687,667,246,574,314,514,391,216,174,219,373,264,283,250,51,328,275,305
2021년02월_여_90~99세,"1,110",139,90,36,124,48,104,69,42,30,45,44,70,26,53,11,71,47,61
2021년02월_여_100세 이상,73,8,19,3,4,3,10,8,2,2,1,3,1,1,1,2,3,2,0
