,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년02월_계_총인구수,"380,443","21,385","28,577","33,989","20,703","37,461","18,160","33,091","17,497","22,310","17,447","16,818","12,353","11,117","19,248","20,170","14,913","12,361","22,843"
2021년02월_계_연령구간인구수,"380,443","21,385","28,577","33,989","20,703","37,461","18,160","33,091","17,497","22,310","17,447","16,818","12,353","11,117","19,248","20,170","14,913","12,361","22,843"
2021년02월_계_0~9세,"25,657","1,403","1,205","2,897","1,119","2,787",966,"3,327","1,216","1,624",578,"1,157",848,808,"1,192","2,075",872,440,"1,143"
2021년02월_계_10~19세,"24,225","1,231",882,"2,903",970,"2,281",937,"2,917","1,013","1,566",869,"1,148",841,758,"1,241","1,732",874,599,"1,463"
2021년02월_계_20~29세,"59,152","2,851","6,958","3,828","3,571","7,262","2,758","3,808","2,740","3,699","3,424","2,155","1,569","1,372","3,208","2,731","2,182","1,887","3,149"
2021년02월_계_30~39세,"69,424","3,287","7,040","5,190","4,216","8,163","3,224","6,172","4,404","5,167","2,980","2,522","1,846","1,612","3,137","3,455","2,021","1,684","3,304"
2021년02월_계_40~49세,"56,428","3,122","3,572","5,444","2,890","5,251","2,703","5,972","2,774","3,309","2,424","2,467","1,921","1,639","2,691","3,332","2,110","1,659","3,148"
2021년02월_계_50~59세,"57,078","3,624","3,616","5,184","3,061","4,840","2,978","4,218","2,049","3,064","2,545","2,873","2,033","1,923","3,026","3,064","2,558","2,198","4,224"
2021년02월_계_60~69세,"47,561","3,231","3,035","4,159","2,664","3,801","2,371","3,593","1,705","2,211","2,313","2,467","1,829","1,693","2,657","2,175","2,198","1,884","3,575"
2021년02월_계_70~79세,"27,470","1,836","1,553","2,664","1,458","2,017","1,468","2,076","1,064","1,120","1,541","1,419",985,901,"1,417","1,081","1,470","1,424","1,976"
2021년02월_계_80~89세,"11,556",684,587,"1,476",654,892,651,849,454,475,667,529,414,346,588,458,540,520,772
2021년02월_계_90~99세,"1,598",103,103,216,85,135,86,131,68,68,82,72,52,48,78,53,71,60,87
2021년02월_계_100세 이상,294,13,26,28,15,32,18,28,10,7,24,9,15,17,13,14,17,6,2
2021년02월_남_총인구수,"188,029","10,943","15,283","15,942","10,167","17,501","9,147","16,211","8,622","11,084","8,869","8,269","6,158","5,391","9,427","10,088","7,397","6,089","11,441"
2021년02월_남_연령구간인구수,"188,029","10,943","15,283","15,942","10,167","17,501","9,147","16,211","8,622","11,084","8,869","8,269","6,158","5,391","9,427","10,088","7,397","6,089","11,441"
2021년02월_남_0~9세,"13,109",708,592,"1,440",573,"1,418",502,"1,718",667,835,282,599,428,399,596,"1,101",464,229,558
2021년02월_남_10~19세,"12,623",652,473,"1,450",485,"1,124",502,"1,515",506,811,440,594,457,378,718,948,482,298,790
2021년02월_남_20~29세,"27,675","1,525","2,996","1,753","1,615","2,941","1,299","1,809","1,179","1,707","1,679","1,071",817,689,"1,523","1,375","1,084",968,"1,645"
2021년02월_남_30~39세,"35,593","1,718","3,920","2,356","2,206","3,927","1,710","2,949","2,270","2,665","1,722","1,288",963,850,"1,580","1,713","1,056",919,"1,781"
2021년02월_남_40~49세,"29,063","1,634","2,105","2,571","1,506","2,587","1,446","3,014","1,488","1,664","1,329","1,269",992,829,"1,379","1,694","1,120",873,"1,563"
2021년02월_남_50~59세,"29,023","1,895","2,252","2,525","1,535","2,314","1,569","2,113","1,056","1,595","1,328","1,430","1,017",930,"1,478","1,518","1,263","1,073","2,132"
2021년02월_남_60~69세,"23,116","1,637","1,841","1,941","1,269","1,839","1,163","1,681",788,"1,101","1,124","1,176",885,770,"1,238","1,054","1,022",858,"1,729"
2021년02월_남_70~79세,"12,599",862,809,"1,187",674,942,667,996,481,495,660,633,426,413,658,495,669,623,909
2021년02월_남_80~89세,"4,696",278,256,632,274,362,259,357,168,188,275,189,158,121,236,173,223,235,312
2021년02월_남_90~99세,453,33,34,83,27,35,23,48,18,20,25,17,9,8,16,15,9,11,22
2021년02월_남_100세 이상,79,1,5,4,3,12,7,11,1,3,5,3,6,4,5,2,5,2,0
2021년02월_여_총인구수,"192,414","10,442","13,294","18,047","10,536","19,960","9,013","16,880","8,875","11,226","8,578","8,549","6,195","5,726","9,821","10,082","7,516","6,272","11,402"
2021년02월_여_연령구간인구수,"192,414","10,442","13,294","18,047","10,536","19,960","9,013","16,880","8,875","11,226","8,578","8,549","6,195","5,726","9,821","10,082","7,516","6,272","11,402"
2021년02월_여_0~9세,"12,548",695,613,"1,457",546,"1,369",464,"1,609",549,789,296,558,420,409,596,974,408,211,585
2021년02월_여_10~19세,"11,602",579,409,"1,453",485,"1,157",435,"1,402",507,755,429,554,384,380,523,784,392,301,673
2021년02월_여_20~29세,"31,477","1,326","3,962","2,075","1,956","4,321","1,459","1,999","1,561","1,992","1,745","1,084",752,683,"1,685","1,356","1,098",919,"1,504"
2021년02월_여_30~39세,"33,831","1,569","3,120","2,834","2,010","4,236","1,514","3,223","2,134","2,502","1,258","1,234",883,762,"1,557","1,742",965,765,"1,523"
2021년02월_여_40~49세,"27,365","1,488","1,467","2,873","1,384","2,664","1,257","2,958","1,286","1,645","1,095","1,198",929,810,"1,312","1,638",990,786,"1,585"
2021년02월_여_50~59세,"28,055","1,729","1,364","2,659","1,526","2,526","1,409","2,105",993,"1,469","1,217","1,443","1,016",993,"1,548","1,546","1,295","1,125","2,092"
2021년02월_여_60~69세,"24,445","1,594","1,194","2,218","1,395","1,962","1,208","1,912",917,"1,110","1,189","1,291",944,923,"1,419","1,121","1,176","1,026","1,846"
2021년02월_여_70~79세,"14,871",974,744,"1,477",784,"1,075",801,"1,080",583,625,881,786,559,488,759,586,801,801,"1,067"
2021년02월_여_80~89세,"6,860",406,331,844,380,530,392,492,286,287,392,340,256,225,352,285,317,285,460
2021년02월_여_90~99세,"1,145",70,69,133,58,100,63,83,50,48,57,55,43,40,62,38,62,49,65
2021년02월_여_100세 이상,215,12,21,24,12,20,11,17,9,4,19,6,9,13,8,12,12,4,2
