,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년12월_계_총인구수,"13,427,014","1,186,078","273,661","368,645","174,930","368,842","940,064","241,701","216,131","482,232","461,710","550,027","239,413","310,614","818,383","298,599","537,307","94,353","654,915","351,888","303,027","1,079,216","476,962","299,716","302,538","63,231","197,454","713,321","229,725","500,895","273,791","163,795","293,452","1,074,176","257,498","440,835","375,843","465,617","218,388","187,012","473,970","855,248","382,054","230,359","147,274","111,897","43,516","62,377","118,810"
2020년12월_계_연령구간인구수,"13,427,014","1,186,078","273,661","368,645","174,930","368,842","940,064","241,701","216,131","482,232","461,710","550,027","239,413","310,614","818,383","298,599","537,307","94,353","654,915","351,888","303,027","1,079,216","476,962","299,716","302,538","63,231","197,454","713,321","229,725","500,895","273,791","163,795","293,452","1,074,176","257,498","440,835","375,843","465,617","218,388","187,012","473,970","855,248","382,054","230,359","147,274","111,897","43,516","62,377","118,810"
2020년12월_계_0~9세,"1,145,984","97,114","18,341","32,512","9,483","36,778","68,835","15,869","13,260","39,706","34,453","39,294","15,560","23,734","57,224","23,283","49,153","6,298","44,632","23,696","20,936","82,122","38,582","20,860","22,680","5,175","15,199","64,926","23,784","48,317","20,630","13,162","30,194","100,771","21,222","42,799","36,750","44,314","18,823","14,048","55,253","104,485","35,190","19,940","8,579","7,414","2,730","3,344","7,298"
2020년12월_계_10~19세,"1,328,214","118,329","28,651","33,479","13,840","42,359","87,839","17,565","16,587","53,687","42,539","52,357","18,859","33,498","70,576","30,581","53,214","8,604","64,045","34,292","29,753","105,008","41,513","29,625","33,870","6,319","18,151","77,268","24,873","50,147","26,654","14,596","25,139","121,165","24,883","50,832","45,450","49,062","22,231","17,999","47,723","96,749","33,619","24,057","12,243","9,592","3,193","4,634","9,708"
2020년12월_계_20~29세,"1,807,848","186,605","43,999","54,503","28,980","59,123","132,278","35,235","31,252","65,791","64,571","77,754","34,502","43,252","117,408","38,256","73,430","11,303","106,487","58,151","48,336","150,925","62,879","45,026","43,020","8,732","27,281","85,023","31,321","69,580","38,232","23,532","36,407","137,762","34,504","56,781","46,477","56,876","30,105","22,544","52,038","104,538","45,220","27,449","17,841","12,177","5,364","6,212","10,597"
2020년12월_계_30~39세,"1,907,459","178,587","32,667","58,163","24,699","63,058","137,008","35,971","31,123","69,914","60,147","76,353","32,954","43,399","116,034","41,208","80,697","10,215","85,743","44,312","41,431","142,781","67,900","38,431","36,450","8,787","26,372","89,472","38,973","77,446","38,258","22,922","50,109","145,303","34,006","59,526","51,771","67,035","30,526","23,127","76,392","151,181","57,844","28,048","14,576","11,539","4,259","5,742","10,775"
2020년12월_계_40~49세,"2,299,423","202,837","45,313","61,685","27,325","68,514","157,165","37,651","32,908","86,606","74,794","87,806","35,184","52,622","129,151","51,599","93,800","14,334","108,359","58,079","50,280","182,400","78,754","51,287","52,359","9,526","32,845","130,172","43,237","90,660","44,520","24,616","51,423","200,015","43,528","83,883","72,604","80,840","34,690","30,171","88,432","164,059","66,823","39,444","20,472","16,033","4,978","7,910","16,312"
2020년12월_계_50~59세,"2,234,920","196,496","49,266","62,091","30,545","54,594","155,792","41,247","38,243","76,302","80,387","97,513","43,385","54,128","147,596","49,677","86,913","16,481","127,771","69,060","58,711","194,504","82,749","55,775","55,980","11,093","35,772","117,021","33,266","87,624","48,202","29,455","42,068","165,072","43,270","66,733","55,069","72,852","35,246","31,465","66,885","115,447","63,534","38,089","29,176","20,117","7,132","11,364","20,910"
2020년12월_계_60~69세,"1,532,434","120,296","30,739","39,976","22,450","27,131","113,617","33,482","30,714","49,421","57,284","70,845","34,478","36,367","110,614","37,492","55,209","13,225","71,471","37,944","33,527","121,324","56,886","32,825","31,613","7,524","24,423","83,184","19,943","47,233","33,359","21,419","35,105","106,264","31,378","41,167","33,719","49,418","25,947","25,328","49,431","69,998","48,147","28,860","24,393","18,622","7,547","12,108","22,804"
2020년12월_계_70~79세,"765,815","56,575","15,803","17,476","11,901","11,395","57,948","17,169","15,306","25,473","31,313","31,645","16,458","15,187","46,638","17,783","28,554","8,799","29,780","16,804","12,976","61,935","30,417","15,627","15,891","3,722","11,744","44,796","9,779","19,517","15,124","9,097","16,178","65,624","16,025","26,278","23,321","28,781","13,065","13,644","25,784","32,115","21,969","16,287","12,465","10,214","5,045","6,833","13,062"
