,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년03월_계_총인구수,"218,353","37,705","40,041","39,458","16,238","30,070","34,263","10,207","10,371"
2020년03월_계_연령구간인구수,"218,353","37,705","40,041","39,458","16,238","30,070","34,263","10,207","10,371"
2020년03월_계_0~9세,"26,077","4,862","5,615","4,103","2,717","2,770","4,376",781,853
2020년03월_계_10~19세,"23,675","3,954","4,566","6,350","1,203","2,439","3,574",774,815
2020년03월_계_20~29세,"28,150","4,414","4,619","4,960","1,300","4,813","4,910","1,769","1,365"
2020년03월_계_30~39세,"35,242","6,132","6,887","4,333","3,615","4,948","6,096","1,672","1,559"
2020년03월_계_40~49세,"38,301","6,624","7,321","8,713","2,536","4,530","5,549","1,476","1,552"
2020년03월_계_50~59세,"38,372","6,307","6,320","6,842","2,181","6,409","6,207","2,112","1,994"
2020년03월_계_60~69세,"18,074","3,392","2,972","2,375","1,614","2,832","2,318","1,089","1,482"
2020년03월_계_70~79세,"7,075","1,410","1,149","1,219",659,913,800,373,552
2020년03월_계_80~89세,"2,929",524,512,489,347,364,378,141,174
2020년03월_계_90~99세,442,82,79,73,61,51,55,19,22
2020년03월_계_100세 이상,16,4,1,1,5,1,0,1,3
2020년03월_남_총인구수,"112,967","19,289","20,487","20,053","8,332","16,009","17,491","5,789","5,517"
2020년03월_남_연령구간인구수,"112,967","19,289","20,487","20,053","8,332","16,009","17,491","5,789","5,517"
2020년03월_남_0~9세,"13,410","2,505","2,907","2,133","1,369","1,448","2,242",381,425
2020년03월_남_10~19세,"12,401","2,033","2,405","3,350",604,"1,291","1,856",420,442
2020년03월_남_20~29세,"15,762","2,437","2,507","2,727",701,"2,712","2,689","1,165",824
2020년03월_남_30~39세,"18,221","3,089","3,441","2,032","1,849","2,830","3,084","1,014",882
2020년03월_남_40~49세,"19,548","3,452","3,794","4,110","1,430","2,366","2,679",847,870
2020년03월_남_50~59세,"20,034","3,216","3,230","3,795","1,098","3,307","3,217","1,173",998
2020년03월_남_60~69세,"9,449","1,763","1,516","1,225",859,"1,515","1,239",567,765
2020년03월_남_70~79세,"3,229",629,527,528,312,425,381,186,241
2020년03월_남_80~89세,843,149,153,138,99,107,98,34,65
2020년03월_남_90~99세,67,15,7,15,11,7,6,2,4
2020년03월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년03월_여_총인구수,"105,386","18,416","19,554","19,405","7,906","14,061","16,772","4,418","4,854"
2020년03월_여_연령구간인구수,"105,386","18,416","19,554","19,405","7,906","14,061","16,772","4,418","4,854"
2020년03월_여_0~9세,"12,667","2,357","2,708","1,970","1,348","1,322","2,134",400,428
2020년03월_여_10~19세,"11,274","1,921","2,161","3,000",599,"1,148","1,718",354,373
2020년03월_여_20~29세,"12,388","1,977","2,112","2,233",599,"2,101","2,221",604,541
2020년03월_여_30~39세,"17,021","3,043","3,446","2,301","1,766","2,118","3,012",658,677
2020년03월_여_40~49세,"18,753","3,172","3,527","4,603","1,106","2,164","2,870",629,682
2020년03월_여_50~59세,"18,338","3,091","3,090","3,047","1,083","3,102","2,990",939,996
2020년03월_여_60~69세,"8,625","1,629","1,456","1,150",755,"1,317","1,079",522,717
2020년03월_여_70~79세,"3,846",781,622,691,347,488,419,187,311
2020년03월_여_80~89세,"2,086",375,359,351,248,257,280,107,109
2020년03월_여_90~99세,375,67,72,58,50,44,49,17,18
2020년03월_여_100세 이상,13,3,1,1,5,0,0,1,2
