카테고리,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년03월_계_총인구수,"1,844,811","221,463","279,844","282,104","116,113","150,779","46,541","27,888","25,437","63,572","40,169","62,289","37,266","34,327","68,291","53,469","87,870","31,711","52,663","44,129","49,673","30,494","38,719"
2021년03월_계_연령구간인구수,"1,844,811","221,463","279,844","282,104","116,113","150,779","46,541","27,888","25,437","63,572","40,169","62,289","37,266","34,327","68,291","53,469","87,870","31,711","52,663","44,129","49,673","30,494","38,719"
2021년03월_계_0~9세,"129,808","17,614","20,533","23,222","10,101","13,109","2,341","1,055","1,117","2,577","1,693","3,412","1,951","1,695","3,876","3,425","8,046","1,320","3,723","2,711","3,099","1,648","1,540"
2021년03월_계_10~19세,"165,694","24,145","26,151","29,949","9,574","15,784","2,984","1,906","1,792","3,770","2,551","5,638","2,730","2,489","5,174","4,406","9,383","2,071","4,137","3,248","3,597","2,199","2,016"
2021년03월_계_20~29세,"198,940","26,899","33,621","37,372","12,429","19,947","4,773","2,260","1,910","4,084","2,911","6,723","3,027","2,840","5,510","5,065","9,039","2,440","4,920","4,166","3,760","2,538","2,706"
2021년03월_계_30~39세,"183,333","24,876","30,590","33,056","14,516","18,240","3,684","1,698","1,637","3,594","2,436","4,627","2,661","2,358","4,916","4,653","10,651","2,019","4,775","3,592","3,910","2,191","2,653"
2021년03월_계_40~49세,"258,097","36,915","41,810","43,190","16,637","23,558","5,246","2,994","2,835","6,246","4,125","8,162","4,022","3,707","7,974","7,382","13,938","3,411","6,447","5,469","6,163","3,578","4,288"
2021년03월_계_50~59세,"312,636","36,053","48,447","49,207","17,294","29,132","8,189","4,889","4,542","10,086","6,646","11,225","6,230","5,603","11,454","9,416","12,952","5,422","8,448","7,428","8,039","4,979","6,955"
2021년03월_계_60~69세,"275,866","29,125","41,311","35,064","16,328","17,288","8,493","5,093","4,775","12,850","7,668","9,650","6,633","6,279","12,485","8,177","11,098","5,987","8,500","7,355","8,652","5,345","7,710"
2021년03월_계_70~79세,"191,873","17,589","24,745","19,026","11,459","8,239","6,305","4,215","3,875","11,409","6,579","7,398","5,419","5,178","9,943","6,284","7,839","5,062","7,092","5,865","7,384","4,666","6,302"
2021년03월_계_80~89세,"111,394","7,252","10,848","10,331","6,725","4,697","3,901","3,224","2,546","7,639","4,780","4,769","3,930","3,586","6,078","4,076","4,283","3,459","4,050","3,759","4,468","2,961","4,032"
2021년03월_계_90~99세,"16,503",959,"1,686","1,614","1,018",770,599,537,389,"1,268",749,656,641,564,841,560,617,502,548,519,584,376,506
2021년03월_계_100세 이상,667,36,102,73,32,15,26,17,19,49,31,29,22,28,40,25,24,18,23,17,17,13,11
2021년03월_남_총인구수,"927,884","110,341","142,785","140,755","58,516","78,670","23,599","13,648","12,376","30,898","19,585","30,820","18,134","16,605","33,755","27,581","44,133","15,939","26,333","22,652","24,995","15,100","20,664"
2021년03월_남_연령구간인구수,"927,884","110,341","142,785","140,755","58,516","78,670","23,599","13,648","12,376","30,898","19,585","30,820","18,134","16,605","33,755","27,581","44,133","15,939","26,333","22,652","24,995","15,100","20,664"
2021년03월_남_0~9세,"66,099","9,082","10,383","11,889","5,148","6,652","1,170",536,552,"1,281",889,"1,739",980,843,"1,950","1,729","4,150",693,"1,901","1,369","1,588",796,779
2021년03월_남_10~19세,"86,006","12,391","13,627","15,615","4,954","8,177","1,556","1,013",933,"2,021","1,303","2,918","1,448","1,280","2,663","2,335","4,764","1,102","2,160","1,721","1,868","1,116","1,041"
2021년03월_남_20~29세,"111,245","14,552","19,076","20,349","6,585","11,620","2,830","1,241","1,037","2,389","1,662","3,674","1,715","1,595","3,106","2,958","4,841","1,456","2,775","2,463","2,202","1,493","1,626"
2021년03월_남_30~39세,"96,542","12,863","16,412","16,946","7,577","9,789","1,902",902,881,"1,958","1,308","2,338","1,408","1,215","2,591","2,529","5,421","1,080","2,470","1,919","2,142","1,191","1,700"
2021년03월_남_40~49세,"137,910","19,002","22,106","21,272","9,237","12,113","3,021","1,659","1,537","3,613","2,355","4,227","2,225","2,066","4,475","4,377","7,337","2,022","3,628","3,109","3,580","2,077","2,872"
2021년03월_남_50~59세,"167,901","18,140","25,434","24,847","9,445","15,918","4,489","2,705","2,527","5,642","3,709","6,131","3,395","3,019","6,351","5,387","7,115","3,177","4,692","4,254","4,505","2,781","4,238"
2021년03월_남_60~69세,"139,161","13,867","20,449","17,565","8,301","9,104","4,397","2,674","2,363","6,384","3,873","5,075","3,315","3,140","6,244","4,221","5,584","3,131","4,298","3,894","4,311","2,711","4,260"
2021년03월_남_70~79세,"84,444","7,789","11,325","8,568","5,018","3,674","2,821","1,809","1,628","4,943","2,813","3,098","2,304","2,235","4,334","2,671","3,522","2,131","3,055","2,593","3,266","1,998","2,849"
2021년03월_남_80~89세,"35,212","2,441","3,657","3,381","2,032","1,488","1,277","1,004",836,"2,383","1,509","1,466","1,216","1,105","1,888","1,265","1,299","1,029","1,244","1,203","1,419",868,"1,202"
2021년03월_남_90~99세,"3,282",208,299,316,214,133,136,101,80,278,158,151,125,102,153,105,97,116,110,126,112,69,93
2021년03월_남_100세 이상,82,6,17,7,5,2,0,4,2,6,6,3,3,5,0,4,3,2,0,1,2,0,4
2021년03월_여_총인구수,"916,927","111,122","137,059","141,349","57,597","72,109","22,942","14,240","13,061","32,674","20,584","31,469","19,132","17,722","34,536","25,888","43,737","15,772","26,330","21,477","24,678","15,394","18,055"
2021년03월_여_연령구간인구수,"916,927","111,122","137,059","141,349","57,597","72,109","22,942","14,240","13,061","32,674","20,584","31,469","19,132","17,722","34,536","25,888","43,737","15,772","26,330","21,477","24,678","15,394","18,055"
2021년03월_여_0~9세,"63,709","8,532","10,150","11,333","4,953","6,457","1,171",519,565,"1,296",804,"1,673",971,852,"1,926","1,696","3,896",627,"1,822","1,342","1,511",852,761
2021년03월_여_10~19세,"79,688","11,754","12,524","14,334","4,620","7,607","1,428",893,859,"1,749","1,248","2,720","1,282","1,209","2,511","2,071","4,619",969,"1,977","1,527","1,729","1,083",975
2021년03월_여_20~29세,"87,695","12,347","14,545","17,023","5,844","8,327","1,943","1,019",873,"1,695","1,249","3,049","1,312","1,245","2,404","2,107","4,198",984,"2,145","1,703","1,558","1,045","1,080"
2021년03월_여_30~39세,"86,791","12,013","14,178","16,110","6,939","8,451","1,782",796,756,"1,636","1,128","2,289","1,253","1,143","2,325","2,124","5,230",939,"2,305","1,673","1,768","1,000",953
2021년03월_여_40~49세,"120,187","17,913","19,704","21,918","7,400","11,445","2,225","1,335","1,298","2,633","1,770","3,935","1,797","1,641","3,499","3,005","6,601","1,389","2,819","2,360","2,583","1,501","1,416"
2021년03월_여_50~59세,"144,735","17,913","23,013","24,360","7,849","13,214","3,700","2,184","2,015","4,444","2,937","5,094","2,835","2,584","5,103","4,029","5,837","2,245","3,756","3,174","3,534","2,198","2,717"
2021년03월_여_60~69세,"136,705","15,258","20,862","17,499","8,027","8,184","4,096","2,419","2,412","6,466","3,795","4,575","3,318","3,139","6,241","3,956","5,514","2,856","4,202","3,461","4,341","2,634","3,450"
2021년03월_여_70~79세,"107,429","9,800","13,420","10,458","6,441","4,565","3,484","2,406","2,247","6,466","3,766","4,300","3,115","2,943","5,609","3,613","4,317","2,931","4,037","3,272","4,118","2,668","3,453"
2021년03월_여_80~89세,"76,182","4,811","7,191","6,950","4,693","3,209","2,624","2,220","1,710","5,256","3,271","3,303","2,714","2,481","4,190","2,811","2,984","2,430","2,806","2,556","3,049","2,093","2,830"
2021년03월_여_90~99세,"13,221",751,"1,387","1,298",804,637,463,436,309,990,591,505,516,462,688,455,520,386,438,393,472,307,413
2021년03월_여_100세 이상,585,30,85,66,27,13,26,13,17,43,25,26,19,23,40,21,21,16,23,16,15,13,7
