카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년08월_계_총인구수,"658,212","258,942","24,207","4,154","4,341","4,347","3,295","2,333","6,119","2,146","5,546","3,670","8,864","9,494","18,116","24,519","45,195","55,998","36,598","399,270","24,705","22,112","19,387","8,657","16,242","25,670","14,196","38,232","19,179","40,842","70,019","43,355","56,674"
2020년08월_계_연령구간인구수,"658,212","258,942","24,207","4,154","4,341","4,347","3,295","2,333","6,119","2,146","5,546","3,670","8,864","9,494","18,116","24,519","45,195","55,998","36,598","399,270","24,705","22,112","19,387","8,657","16,242","25,670","14,196","38,232","19,179","40,842","70,019","43,355","56,674"
2020년08월_계_0~9세,"63,259","20,939","1,769",149,117,147,91,56,260,29,171,91,430,302,"1,093","2,271","4,937","6,208","2,818","42,320","1,309","1,961","1,394",315,806,"1,012",922,"3,565","1,498","5,875","10,628","3,693","9,342"
2020년08월_계_10~19세,"68,864","26,544","2,820",246,201,250,182,92,348,84,306,178,707,712,"1,455","3,296","5,907","7,011","2,749","42,320","2,328","2,426","1,892",569,"1,081","1,385","1,275","5,053","2,399","5,627","9,305","4,012","4,968"
2020년08월_계_20~29세,"96,145","35,474","2,764",387,372,377,247,198,775,136,546,503,"1,112","1,167","2,869","2,973","6,264","7,226","7,558","60,671","2,852","2,567","2,380",922,"2,442","6,488","2,507","6,008","2,734","5,153","8,831","9,506","8,281"
2020년08월_계_30~39세,"106,559","33,827","2,573",328,292,336,207,173,565,95,502,402,903,926,"2,502","2,717","7,019","8,661","5,626","72,732","2,262","3,037","2,665",735,"2,252","5,633","1,912","5,261","2,441","7,169","15,096","8,432","15,837"
2020년08월_계_40~49세,"112,020","43,252","4,576",454,463,523,349,240,749,185,686,483,"1,265","1,373","2,968","4,590","9,055","10,211","5,082","68,768","3,877","4,199","3,531","1,144","2,462","3,773","1,965","6,842","3,231","7,760","13,896","7,023","9,065"
2020년08월_계_50~59세,"102,763","44,033","4,375",801,896,877,653,462,"1,199",455,"1,105",699,"1,765","1,931","3,339","4,208","6,775","8,389","6,104","58,730","4,309","3,703","3,455","1,805","3,183","3,566","2,607","6,666","3,549","5,577","8,427","6,211","5,672"
2020년08월_계_60~69세,"61,558","30,280","2,779",897,980,918,744,499,"1,101",494,"1,166",711,"1,434","1,536","2,344","2,529","3,176","4,935","4,037","31,278","3,862","2,367","2,210","1,586","2,283","2,378","1,874","3,025","1,888","2,352","2,502","2,655","2,296"
2020년08월_계_70~79세,"29,910","15,453","1,523",510,570,514,482,331,628,369,701,391,807,991,"1,056","1,286","1,313","2,201","1,780","14,457","2,477","1,181","1,156",954,"1,192",961,750,"1,165",886,882,871,"1,201",781
2020년08월_계_80~89세,"14,815","7,896",907,335,382,349,296,255,414,252,312,185,377,494,414,564,652,978,730,"6,919","1,241",586,629,529,476,395,323,576,472,382,385,546,379
2020년08월_계_90~99세,"2,147","1,158",121,47,66,55,41,25,72,43,40,25,55,57,66,79,94,166,106,989,157,83,71,83,56,73,60,66,79,63,75,71,52
2020년08월_계_100세 이상,172,86,0,0,2,1,3,2,8,4,11,2,9,5,10,6,3,12,8,86,31,2,4,15,9,6,1,5,2,2,3,5,1
2020년08월_남_총인구수,"335,724","131,244","12,393","2,240","2,196","2,239","1,723","1,265","3,238","1,151","2,928","1,936","4,594","4,899","9,261","12,251","23,035","28,019","17,876","204,480","12,809","11,561","10,534","4,637","8,557","13,730","6,994","18,781","9,299","20,443","35,096","22,351","29,688"
