,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년04월_계_총인구수,"88,075","10,629","15,245","5,461","32,835","3,110","6,313","4,644","1,985","4,909","2,944"
2021년04월_계_연령구간인구수,"88,075","10,629","15,245","5,461","32,835","3,110","6,313","4,644","1,985","4,909","2,944"
2021년04월_계_0~9세,"8,019",706,"2,373",161,"4,178",50,192,110,59,113,77
2021년04월_계_10~19세,"9,400","1,108","1,558",303,"5,200",127,411,199,85,245,164
2021년04월_계_20~29세,"9,062","1,267","1,080",501,"4,213",235,713,331,140,348,234
2021년04월_계_30~39세,"10,689",938,"2,615",325,"5,454",153,439,260,122,222,161
2021년04월_계_40~49세,"13,988","1,521","2,435",575,"7,163",254,686,400,209,478,267
2021년04월_계_50~59세,"12,967","1,867","1,727","1,125","3,932",599,"1,116",867,330,825,579
2021년04월_계_60~69세,"11,176","1,589","1,565","1,203","1,706",617,"1,250","1,028",477,"1,073",668
2021년04월_계_70~79세,"7,827","1,065","1,150",769,687,575,881,877,359,966,498
2021년04월_계_80~89세,"4,304",511,648,425,262,439,528,497,161,564,269
2021년04월_계_90~99세,619,57,92,71,39,60,87,74,40,73,26
2021년04월_계_100세 이상,24,0,2,3,1,1,10,1,3,2,1
2021년04월_남_총인구수,"44,252","5,300","7,631","2,872","16,228","1,548","3,270","2,359","1,031","2,493","1,520"
2021년04월_남_연령구간인구수,"44,252","5,300","7,631","2,872","16,228","1,548","3,270","2,359","1,031","2,493","1,520"
2021년04월_남_0~9세,"4,139",363,"1,233",77,"2,148",20,107,60,37,61,33
2021년04월_남_10~19세,"4,754",579,778,151,"2,630",67,201,86,45,136,81
2021년04월_남_20~29세,"4,869",713,575,282,"2,098",145,426,194,76,228,132
2021년04월_남_30~39세,"5,437",504,"1,262",184,"2,648",104,262,163,77,129,104
2021년04월_남_40~49세,"7,353",771,"1,332",350,"3,451",161,405,272,135,305,171
2021년04월_남_50~59세,"7,138",983,972,651,"2,058",347,630,512,185,461,339
2021년04월_남_60~69세,"5,627",765,752,662,811,318,662,515,246,543,353
2021년04월_남_70~79세,"3,522",451,525,371,304,257,396,389,165,443,221
2021년04월_남_80~89세,"1,310",163,185,137,74,118,167,153,58,177,78
2021년04월_남_90~99세,100,8,17,7,5,10,14,15,7,10,7
2021년04월_남_100세 이상,3,0,0,0,1,1,0,0,0,0,1
2021년04월_여_총인구수,"43,823","5,329","7,614","2,589","16,607","1,562","3,043","2,285",954,"2,416","1,424"
2021년04월_여_연령구간인구수,"43,823","5,329","7,614","2,589","16,607","1,562","3,043","2,285",954,"2,416","1,424"
2021년04월_여_0~9세,"3,880",343,"1,140",84,"2,030",30,85,50,22,52,44
2021년04월_여_10~19세,"4,646",529,780,152,"2,570",60,210,113,40,109,83
2021년04월_여_20~29세,"4,193",554,505,219,"2,115",90,287,137,64,120,102
2021년04월_여_30~39세,"5,252",434,"1,353",141,"2,806",49,177,97,45,93,57
2021년04월_여_40~49세,"6,635",750,"1,103",225,"3,712",93,281,128,74,173,96
2021년04월_여_50~59세,"5,829",884,755,474,"1,874",252,486,355,145,364,240
2021년04월_여_60~69세,"5,549",824,813,541,895,299,588,513,231,530,315
2021년04월_여_70~79세,"4,305",614,625,398,383,318,485,488,194,523,277
2021년04월_여_80~89세,"2,994",348,463,288,188,321,361,344,103,387,191
2021년04월_여_90~99세,519,49,75,64,34,50,73,59,33,63,19
2021년04월_여_100세 이상,21,0,2,3,0,0,10,1,3,2,0
