카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년09월_여_0~9세,"20,264",450,"1,596",22,7,19,33,"2,767",27,936,36,39,"1,171",45,"1,943",519,416,70,129,334,488,297,170,"1,328","1,124","2,352",470,"3,476"
2020년09월_여_10~19세,"21,666",583,"1,789",30,35,46,78,"1,034",91,"1,250",60,66,"1,798",66,"2,419",802,928,98,104,236,328,106,177,"1,792","1,193","2,883",550,"3,124"
2020년09월_여_20~29세,"25,343",614,"1,975",43,33,56,122,"1,412",119,"1,561",228,136,"1,770",95,"2,333",898,"1,193",232,185,440,436,300,281,"1,886","1,078","3,293","2,106","2,518"
2020년09월_여_30~39세,"30,941",631,"2,174",36,26,31,77,"3,762",78,"1,579",244,94,"1,799",63,"2,636",846,809,167,217,550,665,472,298,"1,898","1,497","4,197","1,673","4,422"
2020년09월_여_40~49세,"36,283",975,"3,048",52,50,77,158,"1,861",159,"2,108",288,154,"2,758",136,"3,852","1,383","1,576",189,199,458,564,284,350,"3,057","1,996","4,615","1,191","4,745"
2020년09월_여_50~59세,"34,095","1,512","3,848",160,149,150,331,930,291,"2,402",352,332,"3,235",232,"3,541","1,602","2,072",293,297,548,552,313,400,"2,632","1,445","3,357",777,"2,342"
2020년09월_여_60~69세,"18,770","1,264","1,852",225,192,258,423,458,297,"1,690",281,384,"1,766",249,"1,711",902,"1,052",235,179,205,238,180,239,939,541,"1,653",438,919
2020년09월_여_70~79세,"8,974",798,937,172,154,221,406,222,249,601,146,257,672,127,660,351,367,142,106,77,62,44,115,421,233,796,167,471
2020년09월_여_80~89세,"5,461",659,645,178,173,185,308,199,205,249,60,118,357,73,340,185,160,45,58,44,36,12,43,231,126,423,88,261
2020년09월_여_90~99세,926,122,125,33,29,30,53,25,26,36,18,15,51,14,60,26,24,10,6,8,4,6,8,47,21,65,19,45
2020년09월_여_100세 이상,47,4,7,1,2,1,3,2,2,3,4,1,1,1,1,0,3,0,3,0,0,1,0,1,1,2,2,1
