,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년08월_계_총인구수,"69,274","24,874","2,956","3,290","2,864","6,232","2,870","2,031","3,049","2,186","2,443","4,886","3,836","4,107","3,650"
2020년08월_계_연령구간인구수,"69,274","24,874","2,956","3,290","2,864","6,232","2,870","2,031","3,049","2,186","2,443","4,886","3,836","4,107","3,650"
2020년08월_계_0~9세,"4,174","2,378",99,145,74,308,107,47,99,81,89,199,204,200,144
2020년08월_계_10~19세,"5,348","2,971",157,156,149,375,171,106,168,84,123,254,199,232,203
2020년08월_계_20~29세,"5,579","2,687",213,198,156,486,184,116,201,99,144,290,249,279,277
2020년08월_계_30~39세,"5,244","2,673",185,212,141,411,145,86,138,111,108,282,261,249,242
2020년08월_계_40~49세,"8,166","3,834",280,327,268,657,259,178,328,204,237,407,396,405,386
2020년08월_계_50~59세,"11,735","4,089",544,538,494,"1,114",466,332,522,334,431,888,640,724,619
2020년08월_계_60~69세,"12,157","3,149",614,667,625,"1,184",589,409,562,446,468,"1,117",722,846,759
2020년08월_계_70~79세,"10,070","2,028",512,636,564,"1,016",570,423,561,416,475,847,712,726,584
2020년08월_계_80~89세,"5,962",927,309,378,343,618,340,298,388,356,319,537,389,389,371
2020년08월_계_90~99세,794,137,41,32,46,60,38,35,74,50,45,60,62,55,59
2020년08월_계_100세 이상,45,1,2,1,4,3,1,1,8,5,4,5,2,2,6
2020년08월_남_총인구수,"34,182","12,255","1,465","1,643","1,419","3,062","1,381",964,"1,519","1,018","1,232","2,396","1,922","2,034","1,872"
2020년08월_남_연령구간인구수,"34,182","12,255","1,465","1,643","1,419","3,062","1,381",964,"1,519","1,018","1,232","2,396","1,922","2,034","1,872"
2020년08월_남_0~9세,"2,100","1,184",45,77,38,158,50,27,52,35,55,96,101,105,77
2020년08월_남_10~19세,"2,780","1,539",88,78,80,189,92,52,91,44,68,136,97,124,102
2020년08월_남_20~29세,"3,138","1,457",113,104,93,301,103,65,113,61,90,184,134,170,150
2020년08월_남_30~39세,"2,717","1,289",102,131,91,231,72,47,76,56,55,163,141,122,141
2020년08월_남_40~49세,"4,620","1,903",175,209,162,387,153,116,200,131,159,238,279,242,266
2020년08월_남_50~59세,"6,449","2,137",293,320,277,575,249,192,312,177,266,499,373,406,373
2020년08월_남_60~69세,"6,035","1,516",322,316,330,569,293,205,288,220,236,547,381,420,392
2020년08월_남_70~79세,"4,355",914,211,285,231,458,251,158,242,166,197,364,302,329,247
2020년08월_남_80~89세,"1,833",283,106,117,112,189,104,99,132,111,94,158,108,107,113
2020년08월_남_90~99세,154,33,10,6,5,5,14,3,13,16,12,11,6,9,11
2020년08월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년08월_여_총인구수,"35,092","12,619","1,491","1,647","1,445","3,170","1,489","1,067","1,530","1,168","1,211","2,490","1,914","2,073","1,778"
2020년08월_여_연령구간인구수,"35,092","12,619","1,491","1,647","1,445","3,170","1,489","1,067","1,530","1,168","1,211","2,490","1,914","2,073","1,778"
2020년08월_여_0~9세,"2,074","1,194",54,68,36,150,57,20,47,46,34,103,103,95,67
2020년08월_여_10~19세,"2,568","1,432",69,78,69,186,79,54,77,40,55,118,102,108,101
2020년08월_여_20~29세,"2,441","1,230",100,94,63,185,81,51,88,38,54,106,115,109,127
2020년08월_여_30~39세,"2,527","1,384",83,81,50,180,73,39,62,55,53,119,120,127,101
2020년08월_여_40~49세,"3,546","1,931",105,118,106,270,106,62,128,73,78,169,117,163,120
2020년08월_여_50~59세,"5,286","1,952",251,218,217,539,217,140,210,157,165,389,267,318,246
2020년08월_여_60~69세,"6,122","1,633",292,351,295,615,296,204,274,226,232,570,341,426,367
2020년08월_여_70~79세,"5,715","1,114",301,351,333,558,319,265,319,250,278,483,410,397,337
2020년08월_여_80~89세,"4,129",644,203,261,231,429,236,199,256,245,225,379,281,282,258
2020년08월_여_90~99세,640,104,31,26,41,55,24,32,61,34,33,49,56,46,48
2020년08월_여_100세 이상,44,1,2,1,4,3,1,1,8,4,4,5,2,2,6
