,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년08월_계_총인구수,"31,418","8,274","3,319","1,804","3,737","1,868","3,109","2,801","2,776","3,730"
2021년08월_계_연령구간인구수,"31,418","8,274","3,319","1,804","3,737","1,868","3,109","2,801","2,776","3,730"
2021년08월_계_0~9세,"1,253",487,128,57,124,45,89,98,88,137
2021년08월_계_10~19세,"2,038",784,179,63,203,82,253,117,128,229
2021년08월_계_20~29세,"2,357",745,172,111,255,128,238,187,230,291
2021년08월_계_30~39세,"1,913",638,153,106,206,95,166,170,178,201
2021년08월_계_40~49세,"3,309","1,114",338,155,346,159,265,244,284,404
2021년08월_계_50~59세,"5,333","1,337",546,286,634,334,571,468,514,643
2021년08월_계_60~69세,"6,155","1,326",672,428,788,391,587,667,583,713
2021년08월_계_70~79세,"4,984","1,033",652,316,627,326,504,459,424,643
2021년08월_계_80~89세,"3,545",702,428,242,477,264,375,343,304,410
2021년08월_계_90~99세,516,106,50,39,75,43,58,48,42,55
2021년08월_계_100세 이상,15,2,1,1,2,1,3,0,1,4
2021년08월_남_총인구수,"15,815","4,085","1,673",889,"1,874",907,"1,605","1,396","1,424","1,962"
2021년08월_남_연령구간인구수,"15,815","4,085","1,673",889,"1,874",907,"1,605","1,396","1,424","1,962"
2021년08월_남_0~9세,646,240,59,34,70,16,46,51,47,83
2021년08월_남_10~19세,"1,096",434,90,28,106,45,147,59,63,124
2021년08월_남_20~29세,"1,398",415,104,59,157,85,149,113,136,180
2021년08월_남_30~39세,"1,023",306,85,59,113,57,101,94,92,116
2021년08월_남_40~49세,"1,973",605,229,112,218,95,142,142,162,268
2021년08월_남_50~59세,"3,131",738,325,151,377,196,359,281,307,397
2021년08월_남_60~69세,"3,246",670,358,220,418,208,303,368,322,379
2021년08월_남_70~79세,"2,116",438,266,143,265,124,224,191,186,279
2021년08월_남_80~89세,"1,071",219,146,72,135,71,124,90,97,117
2021년08월_남_90~99세,115,20,11,11,15,10,10,7,12,19
2021년08월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"15,603","4,189","1,646",915,"1,863",961,"1,504","1,405","1,352","1,768"
2021년08월_여_연령구간인구수,"15,603","4,189","1,646",915,"1,863",961,"1,504","1,405","1,352","1,768"
2021년08월_여_0~9세,607,247,69,23,54,29,43,47,41,54
2021년08월_여_10~19세,942,350,89,35,97,37,106,58,65,105
2021년08월_여_20~29세,959,330,68,52,98,43,89,74,94,111
2021년08월_여_30~39세,890,332,68,47,93,38,65,76,86,85
2021년08월_여_40~49세,"1,336",509,109,43,128,64,123,102,122,136
2021년08월_여_50~59세,"2,202",599,221,135,257,138,212,187,207,246
2021년08월_여_60~69세,"2,909",656,314,208,370,183,284,299,261,334
2021년08월_여_70~79세,"2,868",595,386,173,362,202,280,268,238,364
2021년08월_여_80~89세,"2,474",483,282,170,342,193,251,253,207,293
2021년08월_여_90~99세,401,86,39,28,60,33,48,41,30,36
2021년08월_여_100세 이상,15,2,1,1,2,1,3,0,1,4
