,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년06월_계_총인구수,"117,701","30,591","10,205","4,656","13,392","7,796","9,585","3,876","3,742","4,560","6,817","17,385","5,096"
2020년06월_계_연령구간인구수,"117,701","30,591","10,205","4,656","13,392","7,796","9,585","3,876","3,742","4,560","6,817","17,385","5,096"
2020년06월_계_0~9세,"7,434","2,296",949,167,732,487,647,127,118,141,230,"1,317",223
2020년06월_계_10~19세,"9,703","3,303",907,249,"1,039",550,812,240,155,193,390,"1,535",330
2020년06월_계_20~29세,"10,491","3,531",796,320,"1,229",731,598,262,237,280,484,"1,614",409
2020년06월_계_30~39세,"10,958","3,266","1,232",388,"1,214",770,832,298,207,295,406,"1,661",389
2020년06월_계_40~49세,"16,367","4,854","1,639",507,"1,820","1,021","1,506",462,373,393,709,"2,470",613
2020년06월_계_50~59세,"20,905","5,405","1,669",911,"2,433","1,390","1,732",691,683,890,"1,298","2,882",921
2020년06월_계_60~69세,"21,894","4,254","1,655","1,172","2,594","1,581","1,975",907,937,"1,147","1,604","2,940","1,128"
2020년06월_계_70~79세,"12,849","2,385",892,679,"1,556",860,"1,005",569,603,700,"1,015","1,883",702
2020년06월_계_80~89세,"6,090","1,141",405,217,654,348,400,286,378,437,571,912,341
2020년06월_계_90~99세,942,141,57,45,110,55,73,34,43,76,107,163,38
2020년06월_계_100세 이상,68,15,4,1,11,3,5,0,8,8,3,8,2
2020년06월_남_총인구수,"59,048","15,329","5,034","2,356","6,719","3,929","4,745","1,974","1,895","2,258","3,460","8,758","2,591"
2020년06월_남_연령구간인구수,"59,048","15,329","5,034","2,356","6,719","3,929","4,745","1,974","1,895","2,258","3,460","8,758","2,591"
2020년06월_남_0~9세,"3,793","1,181",477,92,370,238,306,64,63,79,140,678,105
2020년06월_남_10~19세,"5,138","1,718",453,145,557,285,442,127,90,100,223,815,183
2020년06월_남_20~29세,"5,789","1,916",427,187,661,432,324,146,121,158,285,898,234
2020년06월_남_30~39세,"5,550","1,653",590,201,631,398,395,179,115,162,208,816,202
2020년06월_남_40~49세,"8,410","2,372",822,268,940,545,756,255,218,222,396,"1,285",331
2020년06월_남_50~59세,"10,702","2,799",828,448,"1,235",701,846,346,362,470,658,"1,526",483
2020년06월_남_60~69세,"10,821","2,117",802,560,"1,247",761,967,471,474,558,851,"1,458",555
2020년06월_남_70~79세,"6,309","1,136",463,359,764,423,536,280,292,327,471,896,362
2020년06월_남_80~89세,"2,298",399,154,88,284,131,155,101,154,163,196,347,126
2020년06월_남_90~99세,224,35,18,7,25,15,17,5,5,18,32,38,9
2020년06월_남_100세 이상,14,3,0,1,5,0,1,0,1,1,0,1,1
2020년06월_여_총인구수,"58,653","15,262","5,171","2,300","6,673","3,867","4,840","1,902","1,847","2,302","3,357","8,627","2,505"
2020년06월_여_연령구간인구수,"58,653","15,262","5,171","2,300","6,673","3,867","4,840","1,902","1,847","2,302","3,357","8,627","2,505"
2020년06월_여_0~9세,"3,641","1,115",472,75,362,249,341,63,55,62,90,639,118
2020년06월_여_10~19세,"4,565","1,585",454,104,482,265,370,113,65,93,167,720,147
2020년06월_여_20~29세,"4,702","1,615",369,133,568,299,274,116,116,122,199,716,175
2020년06월_여_30~39세,"5,408","1,613",642,187,583,372,437,119,92,133,198,845,187
2020년06월_여_40~49세,"7,957","2,482",817,239,880,476,750,207,155,171,313,"1,185",282
2020년06월_여_50~59세,"10,203","2,606",841,463,"1,198",689,886,345,321,420,640,"1,356",438
2020년06월_여_60~69세,"11,073","2,137",853,612,"1,347",820,"1,008",436,463,589,753,"1,482",573
2020년06월_여_70~79세,"6,540","1,249",429,320,792,437,469,289,311,373,544,987,340
2020년06월_여_80~89세,"3,792",742,251,129,370,217,245,185,224,274,375,565,215
2020년06월_여_90~99세,718,106,39,38,85,40,56,29,38,58,75,125,29
2020년06월_여_100세 이상,54,12,4,0,6,3,4,0,7,7,3,7,1
