카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020년09월_계_총인구수,"51,895","13,516","1,949","1,613","1,829","1,558","1,478","1,472","4,312","3,946","2,565","1,820","1,776","1,805","4,588","3,863",804,"2,163",838
2020년09월_계_연령구간인구수,"51,895","13,516","1,949","1,613","1,829","1,558","1,478","1,472","4,312","3,946","2,565","1,820","1,776","1,805","4,588","3,863",804,"2,163",838
2020년09월_계_0~9세,"1,977",846,28,41,37,27,35,33,132,150,90,49,45,36,237,102,23,51,15
2020년09월_계_10~19세,"2,326","1,026",61,38,58,33,53,41,154,141,53,44,57,57,272,135,12,66,25
2020년09월_계_20~29세,"3,149","1,138",83,67,92,63,59,57,221,260,119,81,105,105,360,198,26,89,26
2020년09월_계_30~39세,"3,305","1,211",98,75,73,53,79,79,235,285,133,95,90,84,345,211,27,88,44
2020년09월_계_40~49세,"4,747","1,770",146,99,153,106,75,95,348,371,184,133,130,122,492,285,45,142,51
2020년09월_계_50~59세,"8,821","2,268",320,260,341,292,271,250,690,708,437,317,308,318,771,641,148,348,133
2020년09월_계_60~69세,"11,639","2,531",526,420,477,410,427,414,"1,014",905,643,453,371,424,834,873,169,552,196
2020년09월_계_70~79세,"9,010","1,706",377,336,355,288,259,267,871,639,491,346,349,362,737,804,194,445,184
2020년09월_계_80~89세,"6,074",871,281,253,218,245,189,208,545,421,366,270,290,269,478,545,140,338,147
2020년09월_계_90~99세,801,138,27,24,24,41,28,25,96,62,46,30,30,26,61,67,20,40,16
2020년09월_계_100세 이상,46,11,2,0,1,0,3,3,6,4,3,2,1,2,1,2,0,4,1
2020년09월_남_총인구수,"25,372","6,634",960,792,888,744,750,739,"2,133","1,917","1,240",912,866,856,"2,179","1,911",385,"1,069",397
2020년09월_남_연령구간인구수,"25,372","6,634",960,792,888,744,750,739,"2,133","1,917","1,240",912,866,856,"2,179","1,911",385,"1,069",397
2020년09월_남_0~9세,"1,037",453,20,25,24,11,14,20,76,71,38,20,24,22,118,55,11,26,9
2020년09월_남_10~19세,"1,217",547,38,18,22,19,31,18,81,76,29,26,26,29,127,73,7,34,16
2020년09월_남_20~29세,"1,829",637,53,42,50,37,39,32,132,146,75,48,68,62,207,124,16,48,13
2020년09월_남_30~39세,"1,832",617,61,51,47,29,48,46,136,156,79,56,53,49,186,129,12,51,26
2020년09월_남_40~49세,"2,793",950,102,63,95,75,42,60,210,221,119,92,81,73,262,189,26,100,33
2020년09월_남_50~59세,"4,775","1,171",181,144,183,158,141,140,376,402,237,177,169,188,409,341,86,191,81
2020년09월_남_60~69세,"5,829","1,209",262,206,239,205,241,231,524,420,326,238,183,214,407,441,95,289,99
2020년09월_남_70~79세,"3,886",739,146,154,148,129,117,110,389,279,218,158,152,135,312,351,75,202,72
2020년09월_남_80~89세,"1,990",279,95,87,74,75,69,77,181,131,111,91,104,78,143,182,50,117,46
2020년09월_남_90~99세,176,30,2,2,5,6,7,4,27,15,8,6,6,6,8,25,7,10,2
2020년09월_남_100세 이상,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020년09월_여_총인구수,"26,523","6,882",989,821,941,814,728,733,"2,179","2,029","1,325",908,910,949,"2,409","1,952",419,"1,094",441
2020년09월_여_연령구간인구수,"26,523","6,882",989,821,941,814,728,733,"2,179","2,029","1,325",908,910,949,"2,409","1,952",419,"1,094",441
2020년09월_여_0~9세,940,393,8,16,13,16,21,13,56,79,52,29,21,14,119,47,12,25,6
2020년09월_여_10~19세,"1,109",479,23,20,36,14,22,23,73,65,24,18,31,28,145,62,5,32,9
2020년09월_여_20~29세,"1,320",501,30,25,42,26,20,25,89,114,44,33,37,43,153,74,10,41,13
2020년09월_여_30~39세,"1,473",594,37,24,26,24,31,33,99,129,54,39,37,35,159,82,15,37,18
2020년09월_여_40~49세,"1,954",820,44,36,58,31,33,35,138,150,65,41,49,49,230,96,19,42,18
2020년09월_여_50~59세,"4,046","1,097",139,116,158,134,130,110,314,306,200,140,139,130,362,300,62,157,52
2020년09월_여_60~69세,"5,810","1,322",264,214,238,205,186,183,490,485,317,215,188,210,427,432,74,263,97
2020년09월_여_70~79세,"5,124",967,231,182,207,159,142,157,482,360,273,188,197,227,425,453,119,243,112
2020년09월_여_80~89세,"4,084",592,186,166,144,170,120,131,364,290,255,179,186,191,335,363,90,221,101
2020년09월_여_90~99세,625,108,25,22,19,35,21,21,69,47,38,24,24,20,53,42,13,30,14
2020년09월_여_100세 이상,38,9,2,0,0,0,2,2,5,4,3,2,1,2,1,1,0,3,1
