,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년08월_계_총인구수,"34,809","13,780","4,319","2,340","1,151","2,546","1,810","2,826","1,880","1,676",664,"1,817"
2020년08월_계_연령구간인구수,"34,809","13,780","4,319","2,340","1,151","2,546","1,810","2,826","1,880","1,676",664,"1,817"
2020년08월_계_0~9세,"1,826","1,027",245,72,26,60,83,114,50,52,19,78
2020년08월_계_10~19세,"2,548","1,373",332,122,46,143,98,131,79,90,50,84
2020년08월_계_20~29세,"2,907","1,557",351,150,66,130,82,181,117,98,33,142
2020년08월_계_30~39세,"2,533","1,344",319,113,51,120,90,174,100,75,27,120
2020년08월_계_40~49세,"3,816","1,890",474,199,109,200,164,254,130,153,56,187
2020년08월_계_50~59세,"5,732","2,277",711,399,181,382,298,433,331,275,111,334
2020년08월_계_60~69세,"6,110","1,981",726,468,259,555,390,592,349,325,112,353
2020년08월_계_70~79세,"5,261","1,430",609,455,251,522,321,526,383,313,133,318
2020년08월_계_80~89세,"3,551",782,484,320,134,375,258,363,298,250,104,183
2020년08월_계_90~99세,496,109,66,40,27,53,25,55,41,43,19,18
2020년08월_계_100세 이상,29,10,2,2,1,6,1,3,2,2,0,0
2020년08월_남_총인구수,"16,794","6,631","2,095","1,131",544,"1,228",857,"1,381",911,790,325,901
2020년08월_남_연령구간인구수,"16,794","6,631","2,095","1,131",544,"1,228",857,"1,381",911,790,325,901
2020년08월_남_0~9세,905,526,119,40,7,26,31,56,29,22,11,38
2020년08월_남_10~19세,"1,318",686,186,55,26,79,50,64,42,54,29,47
2020년08월_남_20~29세,"1,617",833,214,83,39,79,47,111,67,55,18,71
2020년08월_남_30~39세,"1,289",662,165,64,28,66,37,90,58,41,9,69
2020년08월_남_40~49세,"2,129",951,256,117,67,124,107,152,92,100,41,122
2020년08월_남_50~59세,"3,081","1,149",378,226,100,220,165,245,193,149,70,186
2020년08월_남_60~69세,"3,034",949,391,242,121,281,185,304,171,164,56,170
2020년08월_남_70~79세,"2,247",627,233,197,117,226,147,223,157,119,63,138
2020년08월_남_80~89세,"1,076",226,139,102,36,113,85,123,94,78,22,58
2020년08월_남_90~99세,94,21,14,5,3,13,3,12,7,8,6,2
2020년08월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년08월_여_총인구수,"18,015","7,149","2,224","1,209",607,"1,318",953,"1,445",969,886,339,916
2020년08월_여_연령구간인구수,"18,015","7,149","2,224","1,209",607,"1,318",953,"1,445",969,886,339,916
2020년08월_여_0~9세,921,501,126,32,19,34,52,58,21,30,8,40
2020년08월_여_10~19세,"1,230",687,146,67,20,64,48,67,37,36,21,37
2020년08월_여_20~29세,"1,290",724,137,67,27,51,35,70,50,43,15,71
2020년08월_여_30~39세,"1,244",682,154,49,23,54,53,84,42,34,18,51
2020년08월_여_40~49세,"1,687",939,218,82,42,76,57,102,38,53,15,65
2020년08월_여_50~59세,"2,651","1,128",333,173,81,162,133,188,138,126,41,148
2020년08월_여_60~69세,"3,076","1,032",335,226,138,274,205,288,178,161,56,183
2020년08월_여_70~79세,"3,014",803,376,258,134,296,174,303,226,194,70,180
2020년08월_여_80~89세,"2,475",556,345,218,98,262,173,240,204,172,82,125
2020년08월_여_90~99세,402,88,52,35,24,40,22,43,34,35,13,16
2020년08월_여_100세 이상,25,9,2,2,1,5,1,2,1,2,0,0
