,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년09월_계_총인구수,"223,368","5,043","25,703","12,453","12,745","8,834","16,879","15,355","10,609","14,066","18,647","20,816","12,479","11,170","14,735","2,523","21,311"
2020년09월_계_연령구간인구수,"223,368","5,043","25,703","12,453","12,745","8,834","16,879","15,355","10,609","14,066","18,647","20,816","12,479","11,170","14,735","2,523","21,311"
2020년09월_계_0~9세,"15,234",111,"2,728",943,853,300,971,"1,493",390,812,"1,016","1,147",915,617,834,81,"2,023"
2020년09월_계_10~19세,"20,165",150,"3,383",924,"1,022",412,"1,540","1,404",831,"1,149","1,830","1,549",967,833,"1,310",146,"2,715"
2020년09월_계_20~29세,"30,252",388,"2,669","1,400","1,542",842,"2,743","1,848","2,632","2,036","2,945","3,920","1,438","1,962","1,585",204,"2,098"
2020년09월_계_30~39세,"26,058",415,"3,157","1,702","1,549",770,"1,730","2,138","1,099","1,463","1,996","3,128","1,537","1,342","1,478",164,"2,390"
2020년09월_계_40~49세,"34,199",571,"4,927","1,848","1,785","1,024","2,534","2,365","1,278","2,081","2,810","3,162","1,832","1,632","2,230",280,"3,840"
2020년09월_계_50~59세,"36,919","1,025","3,641","1,972","2,225","1,595","3,016","2,452","1,562","2,430","3,316","3,420","2,140","1,886","2,617",479,"3,143"
2020년09월_계_60~69세,"32,048","1,172","2,864","1,866","1,939","1,862","2,411","1,902","1,498","2,175","2,635","2,608","1,920","1,603","2,386",541,"2,666"
2020년09월_계_70~79세,"19,058",807,"1,612","1,216","1,177","1,264","1,309","1,162",920,"1,303","1,447","1,324","1,167",878,"1,543",340,"1,589"
2020년09월_계_80~89세,"8,218",347,620,493,575,678,546,506,354,550,586,483,474,365,656,252,733
2020년09월_계_90~99세,"1,121",45,94,77,74,85,72,75,40,62,66,72,79,50,90,34,106
2020년09월_계_100세 이상,96,12,8,12,4,2,7,10,5,5,0,3,10,2,6,2,8
2020년09월_남_총인구수,"112,589","2,834","12,632","6,138","6,200","4,321","8,520","7,692","5,560","7,240","9,322","10,740","6,175","5,692","7,500","1,316","10,707"
2020년09월_남_연령구간인구수,"112,589","2,834","12,632","6,138","6,200","4,321","8,520","7,692","5,560","7,240","9,322","10,740","6,175","5,692","7,500","1,316","10,707"
2020년09월_남_0~9세,"7,842",55,"1,351",486,455,148,502,800,205,406,521,592,485,338,401,40,"1,057"
2020년09월_남_10~19세,"10,430",82,"1,778",498,530,214,757,734,399,568,944,796,494,424,706,74,"1,432"
2020년09월_남_20~29세,"16,034",214,"1,406",705,795,488,"1,483",973,"1,427","1,130","1,531","2,016",752,"1,007",863,118,"1,126"
