,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년08월_계_총인구수,"549,494","23,509","14,463","8,396","27,071","13,729","17,331","31,211","29,096","23,332","16,576","31,940","21,662","43,451","16,130","76,411","37,571","20,122","11,194","35,838","19,500","18,297","12,664"
2021년08월_계_연령구간인구수,"549,494","23,509","14,463","8,396","27,071","13,729","17,331","31,211","29,096","23,332","16,576","31,940","21,662","43,451","16,130","76,411","37,571","20,122","11,194","35,838","19,500","18,297","12,664"
2021년08월_계_0~9세,"37,886","1,540",547,362,"2,006",588,"1,285","1,900","1,713","1,254",841,"1,360","2,133","4,765",553,"8,581","2,762","1,115",327,"2,152",818,702,582
2021년08월_계_10~19세,"53,320","1,992",690,543,"2,216",932,"1,602","3,405","2,812","2,379","1,320","2,281","2,175","8,322","1,098","8,324","4,499","1,429",560,"3,398","1,255","1,182",906
2021년08월_계_20~29세,"76,825","2,790","2,317","1,293","4,080","2,264","2,416","4,875","4,613","4,020","2,466","6,870","2,502","4,290","1,745","8,980","5,033","3,407","1,120","4,866","2,832","2,445","1,601"
2021년08월_계_30~39세,"63,835","2,664","1,838",916,"3,654","1,697","2,154","3,234","3,263","2,538","2,078","3,723","2,943","4,250","1,216","10,807","3,728","2,848",992,"3,743","2,190","1,911","1,448"
2021년08월_계_40~49세,"86,619","3,508","1,776","1,081","3,991","1,888","2,709","5,007","4,422","3,577","2,299","4,409","3,957","10,540","2,167","13,661","6,088","2,575","1,200","4,984","2,647","2,322","1,811"
2021년08월_계_50~59세,"101,772","4,106","2,533","1,473","5,030","2,697","3,364","6,714","6,425","5,136","3,447","6,302","3,707","6,262","2,964","11,956","7,013","3,795","2,141","7,176","3,692","3,373","2,466"
2021년08월_계_60~69세,"77,032","3,906","2,528","1,395","3,834","2,265","2,307","3,785","3,724","2,774","2,782","4,078","2,713","3,026","3,232","8,627","5,163","3,083","2,710","5,984","3,416","3,484","2,216"
2021년08월_계_70~79세,"34,899","2,070","1,504",879,"1,598",959,"1,055","1,569","1,412","1,098",946,"1,874","1,064","1,355","2,063","3,730","2,126","1,240","1,398","2,282","1,778","1,840","1,059"
