,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년04월_계_총인구수,"445,425","26,545","30,831","27,724","9,767","5,547","8,289","50,824","39,470","23,071","62,029","41,391","40,043","30,533","49,361"
2020년04월_계_연령구간인구수,"445,425","26,545","30,831","27,724","9,767","5,547","8,289","50,824","39,470","23,071","62,029","41,391","40,043","30,533","49,361"
2020년04월_계_0~9세,"52,281","1,761","3,450","2,256",336,152,274,"3,909","5,357","1,719","7,261","6,230","6,619","5,030","7,927"
2020년04월_계_10~19세,"45,555","2,325","3,054","2,367",567,274,483,"5,827","5,509","2,173","7,091","4,983","3,424","2,440","5,038"
2020년04월_계_20~29세,"48,465","3,217","3,069","2,872",917,497,842,"6,998","3,845","3,259","7,325","3,774","4,668","2,659","4,523"
2020년04월_계_30~39세,"71,403","2,924","4,737","3,794",876,425,667,"5,595","6,033","3,056","9,459","7,046","9,855","7,270","9,666"
2020년04월_계_40~49세,"82,474","4,127","5,491","4,660","1,304",616,953,"8,686","8,470","3,924","11,752","8,959","7,454","5,585","10,493"
2020년04월_계_50~59세,"63,934","5,175","4,478","4,759","2,241","1,217","1,761","9,482","4,843","4,224","8,867","4,786","3,652","2,936","5,513"
2020년04월_계_60~69세,"45,393","3,889","3,847","3,928","1,908","1,240","1,640","5,578","3,002","2,602","5,716","3,198","2,636","2,569","3,640"
2020년04월_계_70~79세,"24,543","1,987","1,867","2,093","1,051",694,"1,040","3,130","1,688","1,430","3,196","1,731","1,255","1,541","1,840"
2020년04월_계_80~89세,"9,895","1,014",712,836,489,359,555,"1,407",641,598,"1,207",604,421,434,618
2020년04월_계_90~99세,"1,414",122,114,151,76,68,68,195,81,82,149,79,59,67,103
2020년04월_계_100세 이상,68,4,12,8,2,5,6,17,1,4,6,1,0,2,0
2020년04월_남_총인구수,"223,443","14,136","15,451","14,697","5,679","3,038","4,513","25,171","19,293","11,591","30,446","20,309","19,781","15,132","24,206"
2020년04월_남_연령구간인구수,"223,443","14,136","15,451","14,697","5,679","3,038","4,513","25,171","19,293","11,591","30,446","20,309","19,781","15,132","24,206"
2020년04월_남_0~9세,"26,727",915,"1,816","1,134",173,76,156,"1,951","2,702",914,"3,720","3,199","3,350","2,580","4,041"
2020년04월_남_10~19세,"23,231","1,249","1,568","1,233",313,136,268,"3,017","2,804","1,133","3,626","2,416","1,666","1,229","2,573"
2020년04월_남_20~29세,"25,184","1,897","1,571","1,602",579,298,505,"3,772","1,909","1,756","3,649","1,959","2,204","1,282","2,201"
2020년04월_남_30~39세,"35,028","1,639","2,319","2,131",546,241,387,"2,722","2,769","1,541","4,502","3,261","4,909","3,634","4,427"
2020년04월_남_40~49세,"42,889","2,299","2,810","2,641",841,385,584,"4,186","4,219","1,982","5,798","4,619","4,028","3,021","5,476"
2020년04월_남_50~59세,"32,742","2,795","2,241","2,601","1,405",702,"1,002","4,771","2,466","2,131","4,428","2,420","1,701","1,377","2,702"
2020년04월_남_60~69세,"22,099","2,041","1,913","2,017","1,088",679,886,"2,811","1,377","1,255","2,699","1,423","1,173","1,091","1,646"
2020년04월_남_70~79세,"11,488",907,917,992,522,375,483,"1,357",785,639,"1,521",794,578,743,875
2020년04월_남_80~89세,"3,703",358,265,315,193,132,216,523,244,227,466,204,161,154,245
2020년04월_남_90~99세,335,34,28,28,19,13,24,57,17,13,37,14,11,20,20
2020년04월_남_100세 이상,17,2,3,3,0,1,2,4,1,0,0,0,0,1,0
2020년04월_여_총인구수,"221,982","12,409","15,380","13,027","4,088","2,509","3,776","25,653","20,177","11,480","31,583","21,082","20,262","15,401","25,155"
2020년04월_여_연령구간인구수,"221,982","12,409","15,380","13,027","4,088","2,509","3,776","25,653","20,177","11,480","31,583","21,082","20,262","15,401","25,155"
2020년04월_여_0~9세,"25,554",846,"1,634","1,122",163,76,118,"1,958","2,655",805,"3,541","3,031","3,269","2,450","3,886"
2020년04월_여_10~19세,"22,324","1,076","1,486","1,134",254,138,215,"2,810","2,705","1,040","3,465","2,567","1,758","1,211","2,465"
2020년04월_여_20~29세,"23,281","1,320","1,498","1,270",338,199,337,"3,226","1,936","1,503","3,676","1,815","2,464","1,377","2,322"
2020년04월_여_30~39세,"36,375","1,285","2,418","1,663",330,184,280,"2,873","3,264","1,515","4,957","3,785","4,946","3,636","5,239"
2020년04월_여_40~49세,"39,585","1,828","2,681","2,019",463,231,369,"4,500","4,251","1,942","5,954","4,340","3,426","2,564","5,017"
2020년04월_여_50~59세,"31,192","2,380","2,237","2,158",836,515,759,"4,711","2,377","2,093","4,439","2,366","1,951","1,559","2,811"
2020년04월_여_60~69세,"23,294","1,848","1,934","1,911",820,561,754,"2,767","1,625","1,347","3,017","1,775","1,463","1,478","1,994"
2020년04월_여_70~79세,"13,055","1,080",950,"1,101",529,319,557,"1,773",903,791,"1,675",937,677,798,965
2020년04월_여_80~89세,"6,192",656,447,521,296,227,339,884,397,371,741,400,260,280,373
2020년04월_여_90~99세,"1,079",88,86,123,57,55,44,138,64,69,112,65,48,47,83
2020년04월_여_100세 이상,51,2,9,5,2,4,4,13,0,4,6,1,0,1,0
