카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년04월_계_총인구수,"88,159","4,830","5,760","12,135","6,137","4,154","10,026","4,007","5,428","10,937","11,744","8,542","4,459"
2021년04월_계_연령구간인구수,"88,159","4,830","5,760","12,135","6,137","4,154","10,026","4,007","5,428","10,937","11,744","8,542","4,459"
2021년04월_계_0~9세,"4,075",158,152,"1,126",157,185,406,98,163,450,346,450,384
2021년04월_계_10~19세,"4,985",274,269,783,396,299,559,216,326,598,604,411,250
2021년04월_계_20~29세,"10,424",688,618,"1,802",644,499,"1,191",352,564,"1,292","1,288","1,055",431
2021년04월_계_30~39세,"10,389",517,557,"2,492",481,386,"1,190",299,423,"1,123","1,100","1,144",677
2021년04월_계_40~49세,"11,739",702,728,"1,880",794,568,"1,260",453,659,"1,425","1,358","1,208",704
2021년04월_계_50~59세,"14,422",781,998,"1,654","1,018",686,"1,627",687,948,"1,831","2,070","1,531",591
2021년04월_계_60~69세,"16,142",866,"1,199","1,367","1,213",744,"1,906",817,"1,085","2,034","2,577","1,587",747
2021년04월_계_70~79세,"10,616",590,829,687,907,538,"1,254",719,838,"1,473","1,564",780,437
2021년04월_계_80~89세,"4,731",231,337,292,456,227,564,331,370,636,758,327,202
2021년04월_계_90~99세,572,23,64,50,60,19,53,35,52,62,77,43,34
2021년04월_계_100세 이상,64,0,9,2,11,3,16,0,0,13,2,6,2
2021년04월_남_총인구수,"43,185","2,444","2,852","5,930","2,987","2,012","4,781","1,982","2,580","5,317","5,789","4,314","2,197"
2021년04월_남_연령구간인구수,"43,185","2,444","2,852","5,930","2,987","2,012","4,781","1,982","2,580","5,317","5,789","4,314","2,197"
2021년04월_남_0~9세,"2,158",67,88,606,79,101,205,56,88,251,176,234,207
2021년04월_남_10~19세,"2,568",148,138,405,216,151,282,121,157,293,297,226,134
2021년04월_남_20~29세,"5,272",363,306,767,360,263,572,203,317,686,696,544,195
2021년04월_남_30~39세,"5,539",280,320,"1,252",280,208,642,173,234,595,612,598,345
2021년04월_남_40~49세,"6,293",398,414,970,403,297,649,252,354,767,754,641,394
2021년04월_남_50~59세,"7,378",432,537,830,534,348,801,385,466,890,"1,071",786,298
2021년04월_남_60~69세,"7,633",405,551,665,567,324,874,401,473,967,"1,239",787,380
2021년04월_남_70~79세,"4,572",272,356,323,383,225,552,281,359,623,674,352,172
2021년04월_남_80~89세,"1,616",75,115,99,151,93,185,98,120,232,250,132,66
2021년04월_남_90~99세,138,4,23,12,11,2,16,12,12,10,19,12,5
2021년04월_남_100세 이상,18,0,4,1,3,0,3,0,0,3,1,2,1
2021년04월_여_총인구수,"44,974","2,386","2,908","6,205","3,150","2,142","5,245","2,025","2,848","5,620","5,955","4,228","2,262"
2021년04월_여_연령구간인구수,"44,974","2,386","2,908","6,205","3,150","2,142","5,245","2,025","2,848","5,620","5,955","4,228","2,262"
2021년04월_여_0~9세,"1,917",91,64,520,78,84,201,42,75,199,170,216,177
2021년04월_여_10~19세,"2,417",126,131,378,180,148,277,95,169,305,307,185,116
2021년04월_여_20~29세,"5,152",325,312,"1,035",284,236,619,149,247,606,592,511,236
2021년04월_여_30~39세,"4,850",237,237,"1,240",201,178,548,126,189,528,488,546,332
2021년04월_여_40~49세,"5,446",304,314,910,391,271,611,201,305,658,604,567,310
2021년04월_여_50~59세,"7,044",349,461,824,484,338,826,302,482,941,999,745,293
2021년04월_여_60~69세,"8,509",461,648,702,646,420,"1,032",416,612,"1,067","1,338",800,367
2021년04월_여_70~79세,"6,044",318,473,364,524,313,702,438,479,850,890,428,265
2021년04월_여_80~89세,"3,115",156,222,193,305,134,379,233,250,404,508,195,136
2021년04월_여_90~99세,434,19,41,38,49,17,37,23,40,52,58,31,29
2021년04월_여_100세 이상,46,0,5,1,8,3,13,0,0,10,1,4,1
