카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년06월_계_총인구수,"24,784","5,171","1,825","2,496","2,086","2,499","2,607","1,763","6,337"
2021년06월_계_연령구간인구수,"24,784","5,171","1,825","2,496","2,086","2,499","2,607","1,763","6,337"
2021년06월_계_0~9세,947,283,45,69,75,54,72,50,299
2021년06월_계_10~19세,"1,174",351,54,92,98,94,91,52,342
2021년06월_계_20~29세,"1,640",464,90,126,135,114,113,84,514
2021년06월_계_30~39세,"1,614",460,115,117,96,122,116,94,494
2021년06월_계_40~49세,"2,314",594,137,162,192,174,199,130,726
2021년06월_계_50~59세,"4,588","1,001",349,475,417,449,493,266,"1,138"
2021년06월_계_60~69세,"5,648",933,477,658,454,731,626,464,"1,305"
2021년06월_계_70~79세,"3,971",617,332,468,345,442,522,330,915
2021년06월_계_80~89세,"2,552",411,201,291,242,280,325,253,549
2021년06월_계_90~99세,320,52,25,37,30,38,47,40,51
2021년06월_계_100세 이상,16,5,0,1,2,1,3,0,4
2021년06월_남_총인구수,"12,359","2,556",904,"1,228","1,035","1,242","1,256",881,"3,257"
2021년06월_남_연령구간인구수,"12,359","2,556",904,"1,228","1,035","1,242","1,256",881,"3,257"
2021년06월_남_0~9세,484,152,21,34,35,29,38,22,153
2021년06월_남_10~19세,626,175,34,54,55,51,53,22,182
2021년06월_남_20~29세,997,268,51,75,82,65,70,51,335
2021년06월_남_30~39세,934,251,72,62,50,77,65,64,293
2021년06월_남_40~49세,"1,321",313,88,91,113,99,116,78,423
2021년06월_남_50~59세,"2,450",527,179,255,228,237,254,146,624
2021년06월_남_60~69세,"2,834",464,249,322,223,363,317,262,634
2021년06월_남_70~79세,"1,757",264,146,211,157,194,221,147,417
2021년06월_남_80~89세,894,135,61,117,85,120,111,79,186
2021년06월_남_90~99세,59,7,3,6,7,7,11,10,8
2021년06월_남_100세 이상,3,0,0,1,0,0,0,0,2
2021년06월_여_총인구수,"12,425","2,615",921,"1,268","1,051","1,257","1,351",882,"3,080"
2021년06월_여_연령구간인구수,"12,425","2,615",921,"1,268","1,051","1,257","1,351",882,"3,080"
2021년06월_여_0~9세,463,131,24,35,40,25,34,28,146
2021년06월_여_10~19세,548,176,20,38,43,43,38,30,160
2021년06월_여_20~29세,643,196,39,51,53,49,43,33,179
2021년06월_여_30~39세,680,209,43,55,46,45,51,30,201
2021년06월_여_40~49세,993,281,49,71,79,75,83,52,303
2021년06월_여_50~59세,"2,138",474,170,220,189,212,239,120,514
2021년06월_여_60~69세,"2,814",469,228,336,231,368,309,202,671
2021년06월_여_70~79세,"2,214",353,186,257,188,248,301,183,498
2021년06월_여_80~89세,"1,658",276,140,174,157,160,214,174,363
2021년06월_여_90~99세,261,45,22,31,23,31,36,30,43
2021년06월_여_100세 이상,13,5,0,0,2,1,3,0,2
