카테고리,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년10월_계_총인구수,"35,497","10,821","6,042","2,318","1,114","1,474",524,910,"1,670","6,232","2,744","1,648"
2021년10월_계_연령구간인구수,"35,497","10,821","6,042","2,318","1,114","1,474",524,910,"1,670","6,232","2,744","1,648"
2021년10월_계_0~9세,"1,499",729,195,38,11,34,9,25,36,330,71,21
2021년10월_계_10~19세,"2,021",919,285,59,33,36,13,34,64,414,121,43
2021년10월_계_20~29세,"2,276",914,396,121,48,62,16,41,74,450,110,44
2021년10월_계_30~39세,"2,180",938,351,107,37,52,10,31,74,412,110,58
2021년10월_계_40~49세,"3,696","1,552",611,166,61,93,26,73,147,675,195,97
2021년10월_계_50~59세,"5,982","1,824","1,118",401,193,254,80,136,292,"1,020",426,238
2021년10월_계_60~69세,"7,552","1,861","1,403",555,283,390,136,201,408,"1,246",645,424
2021년10월_계_70~79세,"5,794","1,214","1,057",478,227,300,139,193,355,914,546,371
2021년10월_계_80~89세,"3,918",747,556,335,185,223,85,158,206,657,456,310
2021년10월_계_90~99세,557,115,69,56,35,29,10,18,14,112,64,35
2021년10월_계_100세 이상,22,8,1,2,1,1,0,0,0,2,0,7
2021년10월_남_총인구수,"16,847","5,203","2,828","1,123",499,727,247,430,779,"2,909","1,291",811
2021년10월_남_연령구간인구수,"16,847","5,203","2,828","1,123",499,727,247,430,779,"2,909","1,291",811
2021년10월_남_0~9세,748,363,94,19,7,19,4,15,18,156,40,13
2021년10월_남_10~19세,"1,041",451,163,40,18,23,6,16,35,212,58,19
2021년10월_남_20~29세,"1,329",531,233,72,26,36,10,24,45,268,57,27
2021년10월_남_30~39세,"1,143",474,190,57,23,25,6,15,39,213,66,35
2021년10월_남_40~49세,"2,020",777,349,102,29,64,21,42,81,361,128,66
2021년10월_남_50~59세,"3,230",992,579,234,107,143,43,82,154,525,246,125
2021년10월_남_60~69세,"3,645",864,649,295,152,201,69,97,189,583,322,224
2021년10월_남_70~79세,"2,373",486,411,196,82,134,57,90,148,377,222,170
2021년10월_남_80~89세,"1,214",241,151,98,49,75,29,47,64,197,143,120
2021년10월_남_90~99세,101,23,9,10,6,7,2,2,6,17,9,10
2021년10월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,2
2021년10월_여_총인구수,"18,650","5,618","3,214","1,195",615,747,277,480,891,"3,323","1,453",837
2021년10월_여_연령구간인구수,"18,650","5,618","3,214","1,195",615,747,277,480,891,"3,323","1,453",837
2021년10월_여_0~9세,751,366,101,19,4,15,5,10,18,174,31,8
2021년10월_여_10~19세,980,468,122,19,15,13,7,18,29,202,63,24
2021년10월_여_20~29세,947,383,163,49,22,26,6,17,29,182,53,17
2021년10월_여_30~39세,"1,037",464,161,50,14,27,4,16,35,199,44,23
2021년10월_여_40~49세,"1,676",775,262,64,32,29,5,31,66,314,67,31
2021년10월_여_50~59세,"2,752",832,539,167,86,111,37,54,138,495,180,113
2021년10월_여_60~69세,"3,907",997,754,260,131,189,67,104,219,663,323,200
2021년10월_여_70~79세,"3,421",728,646,282,145,166,82,103,207,537,324,201
2021년10월_여_80~89세,"2,704",506,405,237,136,148,56,111,142,460,313,190
2021년10월_여_90~99세,456,92,60,46,29,22,8,16,8,95,55,25
2021년10월_여_100세 이상,19,7,1,2,1,1,0,0,0,2,0,5
