,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년07월_계_총인구수,"61,646","17,171","12,297","2,042","1,631","3,834","2,525","1,805","2,563","2,376","5,607","1,865","2,797","1,541","3,592"
2020년07월_계_연령구간인구수,"61,646","17,171","12,297","2,042","1,631","3,834","2,525","1,805","2,563","2,376","5,607","1,865","2,797","1,541","3,592"
2020년07월_계_0~9세,"3,403","1,416",981,67,27,106,68,44,142,64,219,44,99,34,92
2020년07월_계_10~19세,"4,202","1,586",957,118,59,166,246,62,174,76,361,55,157,54,131
2020년07월_계_20~29세,"5,019","1,797",947,121,97,263,135,92,204,182,518,88,217,98,260
2020년07월_계_30~39세,"5,266","1,911","1,243",101,102,245,154,107,199,142,422,115,200,79,246
2020년07월_계_40~49세,"7,164","2,395","1,747",138,142,384,184,146,289,205,650,146,295,137,306
2020년07월_계_50~59세,"11,079","2,880","2,184",329,300,717,423,287,441,479,"1,145",344,523,304,723
2020년07월_계_60~69세,"11,821","2,584","2,106",409,403,794,554,424,487,515,"1,152",415,638,404,936
2020년07월_계_70~79세,"8,086","1,593","1,315",408,268,675,424,384,353,402,714,369,391,251,539
2020년07월_계_80~89세,"4,937",894,726,299,208,427,302,223,239,271,379,258,235,155,321
2020년07월_계_90~99세,640,110,84,52,25,56,30,36,31,38,47,31,39,25,36
2020년07월_계_100세 이상,29,5,7,0,0,1,5,0,4,2,0,0,3,0,2
2020년07월_남_총인구수,"30,641","8,513","6,171","1,013",790,"1,964","1,201",878,"1,330","1,178","2,817",905,"1,365",770,"1,746"
2020년07월_남_연령구간인구수,"30,641","8,513","6,171","1,013",790,"1,964","1,201",878,"1,330","1,178","2,817",905,"1,365",770,"1,746"
2020년07월_남_0~9세,"1,763",727,509,28,15,52,36,26,83,36,109,26,51,17,48
2020년07월_남_10~19세,"2,272",826,523,73,45,104,103,27,103,39,210,34,77,33,75
2020년07월_남_20~29세,"2,889",998,542,72,59,168,81,55,126,108,309,56,111,58,146
2020년07월_남_30~39세,"2,903","1,007",651,58,63,143,92,71,112,88,243,70,122,51,132
2020년07월_남_40~49세,"3,997","1,252",983,89,78,234,118,87,175,115,361,88,159,86,172
2020년07월_남_50~59세,"5,857","1,480","1,135",172,154,437,214,168,256,274,589,188,276,142,372
2020년07월_남_60~69세,"5,919","1,236","1,037",233,207,404,274,211,250,267,574,217,326,211,472
2020년07월_남_70~79세,"3,458",697,561,174,116,280,185,161,142,165,306,143,167,130,231
2020년07월_남_80~89세,"1,475",270,219,102,46,135,87,66,79,82,109,77,71,39,93
2020년07월_남_90~99세,106,20,10,12,7,7,10,6,4,4,7,6,5,3,5
2020년07월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"31,005","8,658","6,126","1,029",841,"1,870","1,324",927,"1,233","1,198","2,790",960,"1,432",771,"1,846"
2020년07월_여_연령구간인구수,"31,005","8,658","6,126","1,029",841,"1,870","1,324",927,"1,233","1,198","2,790",960,"1,432",771,"1,846"
2020년07월_여_0~9세,"1,640",689,472,39,12,54,32,18,59,28,110,18,48,17,44
2020년07월_여_10~19세,"1,930",760,434,45,14,62,143,35,71,37,151,21,80,21,56
2020년07월_여_20~29세,"2,130",799,405,49,38,95,54,37,78,74,209,32,106,40,114
2020년07월_여_30~39세,"2,363",904,592,43,39,102,62,36,87,54,179,45,78,28,114
2020년07월_여_40~49세,"3,167","1,143",764,49,64,150,66,59,114,90,289,58,136,51,134
2020년07월_여_50~59세,"5,222","1,400","1,049",157,146,280,209,119,185,205,556,156,247,162,351
2020년07월_여_60~69세,"5,902","1,348","1,069",176,196,390,280,213,237,248,578,198,312,193,464
2020년07월_여_70~79세,"4,628",896,754,234,152,395,239,223,211,237,408,226,224,121,308
2020년07월_여_80~89세,"3,462",624,507,197,162,292,215,157,160,189,270,181,164,116,228
2020년07월_여_90~99세,534,90,74,40,18,49,20,30,27,34,40,25,34,22,31
2020년07월_여_100세 이상,27,5,6,0,0,1,4,0,4,2,0,0,3,0,2
