카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년02월_계_총인구수,"28,253","7,577","1,359","1,700","1,529","1,728","3,863","1,361","1,551","3,497","1,629","1,204","1,255"
2020년02월_계_연령구간인구수,"28,253","7,577","1,359","1,700","1,529","1,728","3,863","1,361","1,551","3,497","1,629","1,204","1,255"
2020년02월_계_0~9세,"1,451",708,39,41,67,52,127,54,39,172,52,48,52
2020년02월_계_10~19세,"1,836",729,54,78,74,87,262,59,77,203,96,52,65
2020년02월_계_20~29세,"2,371",805,89,136,112,128,308,94,85,290,168,73,83
2020년02월_계_30~39세,"2,162",848,75,106,117,96,264,70,87,260,81,81,77
2020년02월_계_40~49세,"3,055","1,082",143,166,143,158,380,134,125,365,172,85,102
2020년02월_계_50~59세,"4,874","1,073",215,356,249,314,675,255,251,694,314,247,231
2020년02월_계_60~69세,"4,868",983,243,385,299,302,738,264,308,624,277,216,229
2020년02월_계_70~79세,"4,283",765,270,231,267,333,594,257,302,531,268,247,218
2020년02월_계_80~89세,"2,911",505,202,171,173,226,453,153,239,317,165,135,172
2020년02월_계_90~99세,418,74,27,30,25,30,61,20,38,39,33,15,26
2020년02월_계_100세 이상,24,5,2,0,3,2,1,1,0,2,3,5,0
2020년02월_남_총인구수,"14,372","3,864",692,875,773,887,"1,936",715,759,"1,783",860,602,626
2020년02월_남_연령구간인구수,"14,372","3,864",692,875,773,887,"1,936",715,759,"1,783",860,602,626
2020년02월_남_0~9세,767,377,21,24,38,29,71,32,19,81,28,17,30
2020년02월_남_10~19세,973,371,28,42,47,50,147,30,36,101,61,25,35
2020년02월_남_20~29세,"1,371",474,54,70,60,75,174,57,52,162,106,39,48
2020년02월_남_30~39세,"1,176",434,43,56,71,58,147,37,45,145,54,48,38
2020년02월_남_40~49세,"1,862",614,99,99,84,98,226,85,83,235,121,53,65
2020년02월_남_50~59세,"2,743",580,122,198,139,173,382,162,141,396,174,152,124
2020년02월_남_60~69세,"2,555",494,131,211,152,166,374,153,165,311,149,117,132
2020년02월_남_70~79세,"1,857",339,114,107,119,143,244,102,135,252,108,100,94
2020년02월_남_80~89세,966,168,71,54,57,88,153,53,75,89,53,49,56
2020년02월_남_90~99세,95,12,7,14,6,6,17,3,8,11,6,1,4
2020년02월_남_100세 이상,7,1,2,0,0,1,1,1,0,0,0,1,0
2020년02월_여_총인구수,"13,881","3,713",667,825,756,841,"1,927",646,792,"1,714",769,602,629
2020년02월_여_연령구간인구수,"13,881","3,713",667,825,756,841,"1,927",646,792,"1,714",769,602,629
2020년02월_여_0~9세,684,331,18,17,29,23,56,22,20,91,24,31,22
2020년02월_여_10~19세,863,358,26,36,27,37,115,29,41,102,35,27,30
2020년02월_여_20~29세,"1,000",331,35,66,52,53,134,37,33,128,62,34,35
2020년02월_여_30~39세,986,414,32,50,46,38,117,33,42,115,27,33,39
2020년02월_여_40~49세,"1,193",468,44,67,59,60,154,49,42,130,51,32,37
2020년02월_여_50~59세,"2,131",493,93,158,110,141,293,93,110,298,140,95,107
2020년02월_여_60~69세,"2,313",489,112,174,147,136,364,111,143,313,128,99,97
2020년02월_여_70~79세,"2,426",426,156,124,148,190,350,155,167,279,160,147,124
2020년02월_여_80~89세,"1,945",337,131,117,116,138,300,100,164,228,112,86,116
2020년02월_여_90~99세,323,62,20,16,19,24,44,17,30,28,27,14,22
2020년02월_여_100세 이상,17,4,0,0,3,1,0,0,0,2,3,4,0
