카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년06월_계_총인구수,"132,313","6,696","1,914","1,272","2,015","2,188",705,"3,292","4,607","18,673","9,989","5,813","4,886","10,247","18,033","11,140","15,551","15,292"
2021년06월_계_연령구간인구수,"132,313","6,696","1,914","1,272","2,015","2,188",705,"3,292","4,607","18,673","9,989","5,813","4,886","10,247","18,033","11,140","15,551","15,292"
2021년06월_계_0~9세,"8,425",254,37,25,37,71,19,79,98,"1,518",798,238,195,778,"1,299",721,655,"1,603"
2021년06월_계_10~19세,"11,507",336,89,43,67,194,33,129,204,"2,290","1,087",389,296,902,"1,811","1,154","1,104","1,379"
2021년06월_계_20~29세,"14,675",478,109,70,77,71,35,170,351,"2,289","1,287",668,560,"1,054","2,710","1,351","1,871","1,524"
2021년06월_계_30~39세,"12,687",402,95,62,78,81,38,134,232,"1,904","1,024",456,400,"1,103","2,152","1,011","1,392","2,123"
2021년06월_계_40~49세,"17,984",691,138,76,129,172,65,232,390,"3,208","1,602",716,535,"1,446","2,669","1,710","1,857","2,348"
2021년06월_계_50~59세,"23,511","1,247",362,261,387,363,142,596,853,"3,437","1,787",990,881,"1,730","3,093","2,134","2,861","2,387"
2021년06월_계_60~69세,"23,780","1,742",556,368,600,591,193,"1,017","1,274","2,390","1,391","1,243","1,110","1,697","2,510","1,655","3,328","2,115"
2021년06월_계_70~79세,"12,365",918,274,212,383,386,93,531,705,"1,083",615,746,631,983,"1,087",897,"1,669","1,152"
2021년06월_계_80~89세,"6,496",554,214,144,236,222,71,355,429,498,339,322,256,482,631,440,708,595
2021년06월_계_90~99세,825,73,35,11,21,37,15,48,66,51,56,41,21,57,69,62,100,62
2021년06월_계_100세 이상,58,1,5,0,0,0,1,1,5,5,3,4,1,15,2,5,6,4
2021년06월_남_총인구수,"66,449","3,442","1,019",654,"1,049","1,114",360,"1,682","2,418","9,193","4,926","2,888","2,444","5,137","8,996","5,580","7,817","7,730"
2021년06월_남_연령구간인구수,"66,449","3,442","1,019",654,"1,049","1,114",360,"1,682","2,418","9,193","4,926","2,888","2,444","5,137","8,996","5,580","7,817","7,730"
2021년06월_남_0~9세,"4,320",137,25,16,19,42,8,42,46,772,430,108,102,413,651,374,327,808
2021년06월_남_10~19세,"5,960",172,54,20,35,102,17,74,116,"1,164",551,207,151,476,916,601,602,702
2021년06월_남_20~29세,"8,166",270,68,39,54,45,25,100,215,"1,225",685,348,328,595,"1,485",760,"1,074",850
2021년06월_남_30~39세,"6,702",227,57,42,53,42,22,79,154,953,506,266,224,550,"1,150",526,787,"1,064"
2021년06월_남_40~49세,"9,261",391,80,47,82,109,37,135,243,"1,534",777,376,295,773,"1,314",825,970,"1,273"
2021년06월_남_50~59세,"11,993",676,205,136,204,191,81,306,446,"1,712",896,500,446,875,"1,547","1,118","1,394","1,260"
2021년06월_남_60~69세,"11,877",907,309,196,320,309,100,537,677,"1,194",689,584,504,822,"1,290",836,"1,583","1,020"
2021년06월_남_70~79세,"5,593",438,135,102,190,190,39,263,337,454,263,352,290,432,436,366,798,508
2021년06월_남_80~89세,"2,378",212,76,55,87,78,26,136,162,176,113,135,98,181,191,160,261,231
2021년06월_남_90~99세,182,12,9,1,5,6,4,10,20,9,15,10,6,13,16,12,20,14
2021년06월_남_100세 이상,17,0,1,0,0,0,1,0,2,0,1,2,0,7,0,2,1,0
2021년06월_여_총인구수,"65,864","3,254",895,618,966,"1,074",345,"1,610","2,189","9,480","5,063","2,925","2,442","5,110","9,037","5,560","7,734","7,562"
2021년06월_여_연령구간인구수,"65,864","3,254",895,618,966,"1,074",345,"1,610","2,189","9,480","5,063","2,925","2,442","5,110","9,037","5,560","7,734","7,562"
2021년06월_여_0~9세,"4,105",117,12,9,18,29,11,37,52,746,368,130,93,365,648,347,328,795
2021년06월_여_10~19세,"5,547",164,35,23,32,92,16,55,88,"1,126",536,182,145,426,895,553,502,677
2021년06월_여_20~29세,"6,509",208,41,31,23,26,10,70,136,"1,064",602,320,232,459,"1,225",591,797,674
2021년06월_여_30~39세,"5,985",175,38,20,25,39,16,55,78,951,518,190,176,553,"1,002",485,605,"1,059"
2021년06월_여_40~49세,"8,723",300,58,29,47,63,28,97,147,"1,674",825,340,240,673,"1,355",885,887,"1,075"
2021년06월_여_50~59세,"11,518",571,157,125,183,172,61,290,407,"1,725",891,490,435,855,"1,546","1,016","1,467","1,127"
2021년06월_여_60~69세,"11,903",835,247,172,280,282,93,480,597,"1,196",702,659,606,875,"1,220",819,"1,745","1,095"
2021년06월_여_70~79세,"6,772",480,139,110,193,196,54,268,368,629,352,394,341,551,651,531,871,644
2021년06월_여_80~89세,"4,118",342,138,89,149,144,45,219,267,322,226,187,158,301,440,280,447,364
2021년06월_여_90~99세,643,61,26,10,16,31,11,38,46,42,41,31,15,44,53,50,80,48
2021년06월_여_100세 이상,41,1,4,0,0,0,0,1,3,5,2,2,1,8,2,3,5,4
