카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년03월_계_총인구수,"23,614","8,324","2,291","3,816","2,036","2,103","2,460","1,214","1,370"
2020년03월_계_연령구간인구수,"23,614","8,324","2,291","3,816","2,036","2,103","2,460","1,214","1,370"
2020년03월_계_0~9세,729,459,36,93,35,26,44,17,19
2020년03월_계_10~19세,"1,016",604,51,135,58,56,68,24,20
2020년03월_계_20~29세,"1,627",743,118,278,144,124,117,35,68
2020년03월_계_30~39세,"1,442",701,113,199,100,96,121,58,54
2020년03월_계_40~49세,"2,263","1,110",153,322,153,168,184,86,87
2020년03월_계_50~59세,"4,450","1,533",440,748,419,385,430,222,273
2020년03월_계_60~69세,"5,158","1,423",525,937,486,501,599,300,387
2020년03월_계_70~79세,"4,034","1,056",462,672,368,415,504,272,285
2020년03월_계_80~89세,"2,576",607,346,399,237,302,353,179,153
2020년03월_계_90~99세,305,81,45,32,36,27,39,21,24
2020년03월_계_100세 이상,14,7,2,1,0,3,1,0,0
2020년03월_남_총인구수,"12,069","4,326","1,166","1,956","1,040","1,048","1,197",617,719
2020년03월_남_연령구간인구수,"12,069","4,326","1,166","1,956","1,040","1,048","1,197",617,719
2020년03월_남_0~9세,394,252,18,50,22,13,14,12,13
2020년03월_남_10~19세,558,339,28,61,38,30,38,12,12
2020년03월_남_20~29세,974,443,67,172,90,71,70,21,40
2020년03월_남_30~39세,813,380,64,101,64,58,71,39,36
2020년03월_남_40~49세,"1,350",614,103,204,90,108,121,58,52
2020년03월_남_50~59세,"2,501",847,253,418,238,212,235,138,160
2020년03월_남_60~69세,"2,694",731,276,505,246,261,296,156,223
2020년03월_남_70~79세,"1,839",489,213,312,159,188,224,119,135
2020년03월_남_80~89세,881,211,133,127,84,100,121,58,47
2020년03월_남_90~99세,64,19,11,6,9,7,7,4,1
2020년03월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년03월_여_총인구수,"11,545","3,998","1,125","1,860",996,"1,055","1,263",597,651
2020년03월_여_연령구간인구수,"11,545","3,998","1,125","1,860",996,"1,055","1,263",597,651
2020년03월_여_0~9세,335,207,18,43,13,13,30,5,6
2020년03월_여_10~19세,458,265,23,74,20,26,30,12,8
2020년03월_여_20~29세,653,300,51,106,54,53,47,14,28
2020년03월_여_30~39세,629,321,49,98,36,38,50,19,18
2020년03월_여_40~49세,913,496,50,118,63,60,63,28,35
2020년03월_여_50~59세,"1,949",686,187,330,181,173,195,84,113
2020년03월_여_60~69세,"2,464",692,249,432,240,240,303,144,164
2020년03월_여_70~79세,"2,195",567,249,360,209,227,280,153,150
2020년03월_여_80~89세,"1,695",396,213,272,153,202,232,121,106
2020년03월_여_90~99세,241,62,34,26,27,20,32,17,23
2020년03월_여_100세 이상,13,6,2,1,0,3,1,0,0
