카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년02월_계_총인구수,"401,280","22,851","31,306","28,778","26,787","15,941","18,263","32,244","16,285","23,421","9,957","35,107","13,134","8,962","16,395","14,273","24,037","38,275","25,264"
2021년02월_계_연령구간인구수,"401,280","22,851","31,306","28,778","26,787","15,941","18,263","32,244","16,285","23,421","9,957","35,107","13,134","8,962","16,395","14,273","24,037","38,275","25,264"
2021년02월_계_0~9세,"28,293","1,276","2,900","2,897","2,079","1,240","1,255","2,067","1,083","1,770",507,"2,597",496,246,"1,253",371,921,"4,042","1,293"
2021년02월_계_10~19세,"37,932","1,571","3,170","3,128","2,454","1,197","2,024","2,921","1,822","2,984",509,"4,223",648,520,"1,570",761,"1,496","4,918","2,016"
2021년02월_계_20~29세,"48,580","3,018","3,509","2,871","3,395","1,693","2,814","5,040","1,949","2,992","1,171","4,150","1,446",983,"2,109","1,632","2,432","4,158","3,218"
2021년02월_계_30~39세,"46,432","2,945","3,841","3,465","3,340","2,233","2,082","4,476","1,622","2,409","1,271","3,676","1,575",808,"1,976","1,156","1,986","4,732","2,839"
2021년02월_계_40~49세,"65,584","3,449","5,352","5,019","4,615","2,756","3,240","4,990","2,523","4,052","1,321","6,236","1,737","1,157","2,622","1,735","3,156","7,780","3,844"
2021년02월_계_50~59세,"70,119","3,834","5,418","4,809","4,676","2,763","3,175","5,738","3,001","4,300","1,734","6,296","2,417","1,725","2,991","2,720","4,256","5,550","4,716"
2021년02월_계_60~69세,"58,388","3,665","3,970","3,826","3,457","2,446","1,873","3,872","2,264","2,708","1,924","4,696","2,566","1,886","2,476","2,844","5,120","4,290","4,505"
2021년02월_계_70~79세,"30,866","2,145","2,091","1,858","1,864","1,128","1,082","1,965","1,199","1,366",985,"2,211","1,567","1,099","1,027","2,064","3,182","2,035","1,998"
