,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년11월_계_총인구수,"71,159","5,809","1,107","3,216",860,"2,475","3,072","2,412","2,752","1,986","3,555","2,617","5,765","7,086","9,017","3,138","16,292"
2021년11월_계_연령구간인구수,"71,159","5,809","1,107","3,216",860,"2,475","3,072","2,412","2,752","1,986","3,555","2,617","5,765","7,086","9,017","3,138","16,292"
2021년11월_계_0~9세,"3,835",206,30,108,12,53,94,42,53,82,82,71,334,416,627,112,"1,513"
2021년11월_계_10~19세,"5,463",355,60,145,41,290,130,138,95,81,122,86,381,580,853,151,"1,955"
2021년11월_계_20~29세,"6,133",352,64,176,32,141,168,348,144,91,210,118,531,599,846,211,"2,102"
2021년11월_계_30~39세,"5,434",346,48,153,48,81,164,102,121,91,196,126,523,623,779,235,"1,798"
2021년11월_계_40~49세,"8,575",606,91,250,70,179,262,168,207,178,282,172,711,871,"1,316",318,"2,894"
2021년11월_계_50~59세,"11,824",985,230,509,185,332,469,377,468,347,615,494,969,"1,105","1,503",519,"2,717"
2021년11월_계_60~69세,"14,048","1,342",277,767,230,594,748,551,679,544,799,680,"1,159","1,431","1,609",697,"1,941"
2021년11월_계_70~79세,"9,168",941,169,560,137,387,536,361,507,314,686,460,755,954,946,516,939
2021년11월_계_80~89세,"5,781",579,122,467,92,353,419,285,415,224,491,336,363,452,475,341,367
2021년11월_계_90~99세,858,85,16,78,12,65,81,40,59,34,66,70,38,53,60,37,64
2021년11월_계_100세 이상,40,12,0,3,1,0,1,0,4,0,6,4,1,2,3,1,2
2021년11월_남_총인구수,"34,928","2,810",569,"1,570",455,"1,302","1,547","1,158","1,369","1,016","1,688","1,205","2,817","3,423","4,476","1,579","7,944"
2021년11월_남_연령구간인구수,"34,928","2,810",569,"1,570",455,"1,302","1,547","1,158","1,369","1,016","1,688","1,205","2,817","3,423","4,476","1,579","7,944"
2021년11월_남_0~9세,"1,961",100,15,55,3,22,46,21,30,40,34,38,191,212,330,46,778
2021년11월_남_10~19세,"2,965",184,34,88,25,191,67,78,52,42,73,46,214,303,490,86,992
2021년11월_남_20~29세,"3,449",214,43,107,17,83,111,136,96,58,123,66,307,342,507,121,"1,118"
2021년11월_남_30~39세,"2,863",196,27,84,21,49,88,61,71,49,111,69,283,327,390,131,906
2021년11월_남_40~49세,"4,598",333,56,140,36,116,177,97,130,108,182,105,395,465,691,200,"1,367"
2021년11월_남_50~59세,"6,147",510,131,275,113,192,266,214,267,180,347,253,451,563,744,302,"1,339"
2021년11월_남_60~69세,"6,875",659,145,407,147,312,372,289,365,314,401,328,510,635,739,352,900
2021년11월_남_70~79세,"4,012",385,78,242,59,194,253,161,227,140,274,196,319,420,402,238,424
2021년11월_남_80~89세,"1,882",208,38,153,34,129,153,94,116,77,129,91,139,148,164,99,110
2021년11월_남_90~99세,167,17,2,19,0,14,14,7,13,8,12,13,8,8,19,4,9
2021년11월_남_100세 이상,9,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1
2021년11월_여_총인구수,"36,231","2,999",538,"1,646",405,"1,173","1,525","1,254","1,383",970,"1,867","1,412","2,948","3,663","4,541","1,559","8,348"
2021년11월_여_연령구간인구수,"36,231","2,999",538,"1,646",405,"1,173","1,525","1,254","1,383",970,"1,867","1,412","2,948","3,663","4,541","1,559","8,348"
2021년11월_여_0~9세,"1,874",106,15,53,9,31,48,21,23,42,48,33,143,204,297,66,735
2021년11월_여_10~19세,"2,498",171,26,57,16,99,63,60,43,39,49,40,167,277,363,65,963
2021년11월_여_20~29세,"2,684",138,21,69,15,58,57,212,48,33,87,52,224,257,339,90,984
2021년11월_여_30~39세,"2,571",150,21,69,27,32,76,41,50,42,85,57,240,296,389,104,892
2021년11월_여_40~49세,"3,977",273,35,110,34,63,85,71,77,70,100,67,316,406,625,118,"1,527"
2021년11월_여_50~59세,"5,677",475,99,234,72,140,203,163,201,167,268,241,518,542,759,217,"1,378"
2021년11월_여_60~69세,"7,173",683,132,360,83,282,376,262,314,230,398,352,649,796,870,345,"1,041"
2021년11월_여_70~79세,"5,156",556,91,318,78,193,283,200,280,174,412,264,436,534,544,278,515
2021년11월_여_80~89세,"3,899",371,84,314,58,224,266,191,299,147,362,245,224,304,311,242,257
2021년11월_여_90~99세,691,68,14,59,12,51,67,33,46,26,54,57,30,45,41,33,55
2021년11월_여_100세 이상,31,8,0,3,1,0,1,0,2,0,4,4,1,2,3,1,1
