,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년03월_계_총인구수,"36,536","34,678","1,858"
2021년03월_계_연령구간인구수,"36,536","34,678","1,858"
2021년03월_계_0~9세,"3,142","3,100",42
2021년03월_계_10~19세,"3,349","3,273",76
2021년03월_계_20~29세,"4,453","4,337",116
2021년03월_계_30~39세,"4,617","4,522",95
2021년03월_계_40~49세,"5,536","5,344",192
2021년03월_계_50~59세,"5,992","5,664",328
2021년03월_계_60~69세,"5,090","4,607",483
2021년03월_계_70~79세,"2,672","2,393",279
2021년03월_계_80~89세,"1,507","1,291",216
2021년03월_계_90~99세,175,144,31
2021년03월_계_100세 이상,3,3,0
2021년03월_남_총인구수,"19,011","18,040",971
2021년03월_남_연령구간인구수,"19,011","18,040",971
2021년03월_남_0~9세,"1,627","1,601",26
2021년03월_남_10~19세,"1,746","1,712",34
2021년03월_남_20~29세,"2,608","2,537",71
2021년03월_남_30~39세,"2,576","2,521",55
2021년03월_남_40~49세,"2,981","2,859",122
2021년03월_남_50~59세,"3,170","2,985",185
2021년03월_남_60~69세,"2,542","2,281",261
2021년03월_남_70~79세,"1,204","1,067",137
2021년03월_남_80~89세,511,441,70
2021년03월_남_90~99세,44,34,10
2021년03월_남_100세 이상,2,2,0
2021년03월_여_총인구수,"17,525","16,638",887
2021년03월_여_연령구간인구수,"17,525","16,638",887
2021년03월_여_0~9세,"1,515","1,499",16
2021년03월_여_10~19세,"1,603","1,561",42
2021년03월_여_20~29세,"1,845","1,800",45
2021년03월_여_30~39세,"2,041","2,001",40
2021년03월_여_40~49세,"2,555","2,485",70
2021년03월_여_50~59세,"2,822","2,679",143
2021년03월_여_60~69세,"2,548","2,326",222
2021년03월_여_70~79세,"1,468","1,326",142
2021년03월_여_80~89세,996,850,146
2021년03월_여_90~99세,131,110,21
2021년03월_여_100세 이상,1,1,0
