,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년12월_계_총인구수,"53,386","21,110","2,226","2,606","2,716","2,465","2,386","2,687","1,767","3,212","2,450","3,111","1,908","2,179","2,563"
2021년12월_계_연령구간인구수,"53,386","21,110","2,226","2,606","2,716","2,465","2,386","2,687","1,767","3,212","2,450","3,111","1,908","2,179","2,563"
2021년12월_계_0~9세,"2,454","1,712",41,71,76,50,57,68,30,68,61,78,36,42,64
2021년12월_계_10~19세,"4,066","2,612",93,96,200,109,145,101,53,140,100,146,61,98,112
2021년12월_계_20~29세,"4,021","2,231",135,143,156,129,141,140,64,165,143,213,111,134,116
2021년12월_계_30~39세,"3,574","2,033",105,132,118,125,110,116,81,136,144,151,93,102,128
2021년12월_계_40~49세,"5,833","3,051",192,224,228,211,218,213,131,258,219,307,168,194,219
2021년12월_계_50~59세,"8,775","3,407",393,470,441,394,418,383,295,547,474,524,289,346,394
2021년12월_계_60~69세,"10,130","2,999",499,593,543,559,494,646,412,719,552,686,429,461,538
2021년12월_계_70~79세,"8,094","1,826",422,476,544,471,453,583,340,646,421,530,398,417,567
2021년12월_계_80~89세,"5,509","1,042",294,350,364,360,305,380,303,471,290,406,272,321,351
2021년12월_계_90~99세,905,187,50,50,44,55,45,56,57,60,45,69,51,63,73
2021년12월_계_100세 이상,25,10,2,1,2,2,0,1,1,2,1,1,0,1,1
2021년12월_남_총인구수,"26,507","10,480","1,148","1,320","1,346","1,212","1,170","1,320",872,"1,592","1,230","1,531",985,"1,048","1,253"
2021년12월_남_연령구간인구수,"26,507","10,480","1,148","1,320","1,346","1,212","1,170","1,320",872,"1,592","1,230","1,531",985,"1,048","1,253"
2021년12월_남_0~9세,"1,295",887,21,32,42,30,29,42,15,43,37,45,15,23,34
2021년12월_남_10~19세,"2,242","1,452",54,55,117,47,90,47,32,78,49,68,44,45,64
2021년12월_남_20~29세,"2,322","1,249",85,80,99,85,80,77,45,102,78,131,73,71,67
2021년12월_남_30~39세,"1,929","1,017",68,74,60,78,64,66,50,83,84,88,54,55,88
2021년12월_남_40~49세,"3,297","1,511",122,149,147,126,138,149,77,169,156,178,118,119,138
2021년12월_남_50~59세,"4,856","1,704",243,292,268,235,233,236,191,300,260,287,166,200,241
2021년12월_남_60~69세,"5,081","1,445",278,301,256,276,241,304,205,389,279,362,232,242,271
2021년12월_남_70~79세,"3,573",798,186,213,237,213,206,281,152,269,183,233,183,180,239
2021년12월_남_80~89세,"1,749",379,88,116,111,110,79,109,89,146,97,128,91,106,100
2021년12월_남_90~99세,161,37,3,8,9,12,10,9,15,13,7,11,9,7,11
2021년12월_남_100세 이상,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2021년12월_여_총인구수,"26,879","10,630","1,078","1,286","1,370","1,253","1,216","1,367",895,"1,620","1,220","1,580",923,"1,131","1,310"
2021년12월_여_연령구간인구수,"26,879","10,630","1,078","1,286","1,370","1,253","1,216","1,367",895,"1,620","1,220","1,580",923,"1,131","1,310"
2021년12월_여_0~9세,"1,159",825,20,39,34,20,28,26,15,25,24,33,21,19,30
2021년12월_여_10~19세,"1,824","1,160",39,41,83,62,55,54,21,62,51,78,17,53,48
2021년12월_여_20~29세,"1,699",982,50,63,57,44,61,63,19,63,65,82,38,63,49
2021년12월_여_30~39세,"1,645","1,016",37,58,58,47,46,50,31,53,60,63,39,47,40
2021년12월_여_40~49세,"2,536","1,540",70,75,81,85,80,64,54,89,63,129,50,75,81
2021년12월_여_50~59세,"3,919","1,703",150,178,173,159,185,147,104,247,214,237,123,146,153
2021년12월_여_60~69세,"5,049","1,554",221,292,287,283,253,342,207,330,273,324,197,219,267
2021년12월_여_70~79세,"4,521","1,028",236,263,307,258,247,302,188,377,238,297,215,237,328
2021년12월_여_80~89세,"3,760",663,206,234,253,250,226,271,214,325,193,278,181,215,251
2021년12월_여_90~99세,744,150,47,42,35,43,35,47,42,47,38,58,42,56,62
2021년12월_여_100세 이상,23,9,2,1,2,2,0,1,0,2,1,1,0,1,1
